from_tid,to_tid,edge_type,metadata
10,12,HAND_TRANSITION,"tok_age=17,hand=right"
1,9,BALLISTIC,err=16.58
2,8,BALLISTIC,err=11.56
3,6,BALLISTIC,err=9.57
4,18,BALLISTIC,err=7.72
9,13,BALLISTIC,err=14.91
11,14,BALLISTIC,err=9.86
13,16,BALLISTIC,err=8.54
14,17,BALLISTIC,err=14.41
15,25,BALLISTIC,err=10.73
16,21,BALLISTIC,err=10.17
17,24,BALLISTIC,err=11.00
18,30,BALLISTIC,err=14.75
19,22,BALLISTIC,err=10.31
20,21,BALLISTIC,err=6.49
21,29,BALLISTIC,err=17.22
22,26,BALLISTIC,err=8.96
23,24,BALLISTIC,err=11.20
25,33,BALLISTIC,err=12.82
26,31,BALLISTIC,err=14.35
27,28,BALLISTIC,err=0.58
28,32,BALLISTIC,err=16.37
29,34,BALLISTIC,err=9.05
30,37,BALLISTIC,err=8.76
31,35,BALLISTIC,err=12.83
33,36,BALLISTIC,err=11.41
35,38,BALLISTIC,err=12.86
