kind,stem,from_tid,to_tid,gap,vshape,min_hand_dist,ratio,which_hand,in_h7v2,apex_frame,apex_x,apex_y,src_to_apex_dy,tgt_to_apex_dy,src_to_apex_dist,tgt_to_apex_dist,src_above,tgt_above,both_above,src_descending,tgt_ascending,h30_pass,h30_catch_ok,h30_throw_ok
v4d_rejected,identical_balls_trick_000_018,35,40,27,V_DEEP,15.27,7.486,left,False,527,725.7,507.5,0.0,-100.9,0.0,107.8,False,True,False,False,False,True,False,True
v4d_rejected,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,15,25,11,V_DEEP,8.29,4.244,left,True,596,659.4,443.8,39.0,12.9,39.1,35.8,False,False,False,True,True,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,1,6,10,V_DEEP,41.88,4.792,right,False,26,561.3,492.9,189.6,-94.8,189.6,94.8,False,True,False,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,3,7,8,V_DEEP,22.33,10.255,right,False,41,446.8,462.3,20.9,-4.2,246.5,49.3,False,False,False,True,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,4,7,6,V_SHALLOW,58.18,2.59,right,False,33,477.9,422.8,-8.7,35.3,148.1,87.6,False,False,False,False,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,4,8,10,V_DEEP,2.97,96.221,right,False,40,462.1,476.7,-62.6,125.2,146.1,292.1,True,False,False,False,False,True,True,False
e6c_not_in_h7v2,identical_balls_trick_000_018,6,15,16,V_DEEP,2.1,46.6,right,False,140,527.2,527.2,11.6,-36.0,83.9,36.1,False,True,False,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,7,10,8,V_SHALLOW,57.35,2.239,left,False,56,735.0,425.1,0.9,87.7,160.3,156.1,False,False,False,False,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,9,12,6,V_DEEP,15.43,14.396,left,False,99,726.2,492.5,-76.3,-142.5,76.8,142.6,True,True,True,False,True,True,True,True
e6c_not_in_h7v2,identical_balls_trick_000_018,9,13,6,V_DEEP,15.43,8.169,left,False,99,726.2,492.5,-76.3,-69.2,76.8,116.9,True,True,True,False,True,True,True,True
e6c_not_in_h7v2,identical_balls_trick_000_018,10,11,8,V_DEEP,34.72,2.714,right,False,89,442.2,464.6,-37.4,7.5,37.4,7.5,True,False,False,False,False,True,True,False
e6c_not_in_h7v2,identical_balls_trick_000_018,11,13,7,V_DEEP,34.51,8.073,right,False,103,501.6,456.7,6.7,-33.5,26.9,134.6,False,True,False,False,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,11,12,7,V_DEEP,40.62,8.78,right,False,103,518.1,444.5,18.9,-94.5,46.6,233.0,False,True,False,False,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,12,17,16,V_DEEP,38.25,4.488,left,False,151,781.0,539.6,-31.0,-175.0,31.4,265.2,True,True,True,True,True,True,True,True
e6c_not_in_h7v2,identical_balls_trick_000_018,12,16,8,V_DEEP,38.25,8.854,left,False,151,781.0,539.6,-31.0,-236.2,31.4,306.9,True,True,True,True,False,True,True,True
e6c_not_in_h7v2,identical_balls_trick_000_018,14,19,14,V_SHALLOW,54.08,3.241,right,False,160,508.3,447.4,138.1,90.6,138.3,102.8,False,False,False,True,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,15,17,16,V_DEEP,27.68,3.371,right,False,162,592.1,419.8,110.3,-55.1,112.3,56.1,False,True,False,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,15,16,8,V_DEEP,46.6,5.237,right,False,157,599.0,416.8,113.3,-113.3,114.2,114.2,False,True,False,True,False,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,17,22,13,V_DEEP,22.44,17.243,right,False,208,606.1,505.6,-79.4,-380.8,80.5,381.1,True,True,True,True,True,True,True,True
e6c_not_in_h7v2,identical_balls_trick_000_018,18,21,6,V_DEEP,46.78,6.287,left,False,208,745.9,548.6,-16.9,-204.8,18.5,249.9,False,True,False,True,False,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,18,22,14,V_DEEP,46.78,10.843,left,False,208,745.9,548.6,-16.9,-423.8,18.5,451.1,False,True,False,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,35,38,11,V_DEEP,6.99,13.619,left,False,528,707.8,507.6,-0.1,0.5,17.8,89.2,False,False,False,False,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,35,36,11,V_DEEP,15.27,29.629,left,False,527,725.7,507.5,0.0,-393.5,0.0,452.9,False,True,False,False,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,40,42,11,V_DEEP,19.22,9.886,right,False,588,600.1,372.6,-29.4,146.9,37.5,187.5,True,False,False,False,True,True,True,False
e6c_not_in_h7v2,identical_balls_trick_000_018,44,53,11,V_SHALLOW,55.9,3.487,left,False,780,446.9,615.3,183.2,13.4,183.3,53.6,False,False,False,True,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,54,57,9,V_DEEP,8.51,38.118,right,False,831,576.4,496.7,-89.7,-298.2,89.8,298.4,True,True,True,True,True,True,True,True
e6c_not_in_h7v2,identical_balls_trick_000_018,56,57,10,V_DEEP,7.11,65.473,left,False,830,684.7,521.5,-40.6,-323.0,41.0,337.2,True,True,True,True,True,True,True,True
e6c_not_in_h7v2,identical_balls_trick_000_018,57,63,10,V_DEEP,42.64,7.894,right,False,890,597.9,493.0,394.3,-78.9,397.9,79.6,False,True,False,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,59,61,11,V_DEEP,18.94,5.303,right,False,879,624.5,648.6,-1.4,0.3,43.4,8.7,False,False,False,True,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,59,62,13,V_DEEP,12.52,12.529,left,False,885,679.3,543.8,103.5,0.0,104.1,0.0,False,False,False,True,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,62,65,8,V_DEEP,32.58,11.688,right,False,948,580.7,556.4,-42.2,-99.5,45.0,174.1,True,True,True,False,False,True,True,True
e6c_not_in_h7v2,identical_balls_trick_000_018,63,65,11,V_DEEP,39.9,5.315,left,False,954,748.2,542.8,171.9,-86.0,178.8,89.4,False,True,False,True,False,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,66,69,12,V_DEEP,18.3,9.55,left,False,975,689.9,500.1,4.0,-4.0,68.3,68.3,False,False,False,False,False,False,False,False
e6c_not_in_h7v2,identical_balls_trick_000_018,66,68,5,V_DEEP,10.86,19.129,left,False,970,725.3,531.5,-27.4,137.2,42.8,213.9,True,False,False,False,True,True,True,False
e6c_not_in_h7v2,identical_balls_trick_000_018,67,72,9,V_DEEP,26.14,11.886,left,False,1029,704.7,473.7,-276.2,0.0,279.8,0.0,True,False,False,False,False,True,True,False
e6c_not_in_h7v2,identical_balls_trick_000_018,67,71,9,V_DEEP,20.36,19.756,right,False,1030,520.3,513.4,-315.8,28.4,345.2,28.5,True,False,False,False,True,True,True,False
e6c_not_in_h7v2,identical_balls_trick_000_018,68,72,14,V_DEEP,12.95,16.569,right,False,1015,507.2,578.0,162.5,-104.2,162.6,223.3,False,True,False,True,False,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,68,70,14,V_DEEP,12.95,21.896,right,False,1015,507.2,578.0,162.5,-279.2,162.6,315.4,False,True,False,True,True,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,72,74,6,V_DEEP,30.89,9.946,right,False,1056,497.9,466.5,16.2,-81.0,45.4,227.0,False,True,False,False,False,True,False,True
e6c_not_in_h7v2,identical_balls_trick_000_018,73,75,10,V_DEEP,35.2,3.474,left,False,1060,749.5,453.6,-4.3,57.9,158.5,142.0,False,False,False,False,False,False,False,False
e6c_not_in_h7v2,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,1,10,15,V_DEEP,8.19,19.604,left,False,107,638.3,432.7,0.0,-122.0,0.0,127.5,False,True,False,True,True,True,False,True
e6c_not_in_h7v2,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,11,9,V_DEEP,4.69,38.56,right,False,236,554.0,439.7,51.3,-149.4,51.4,156.7,False,True,False,True,True,True,False,True
e6c_not_in_h7v2,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,20,21,12,V_DEEP,5.32,17.308,right,False,469,539.5,455.1,29.0,-51.6,31.6,66.4,False,True,False,True,True,True,False,True
e6c_not_in_h7v2,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,23,24,13,V_DEEP,7.8,4.276,right,False,589,561.8,453.3,-38.5,19.3,39.5,19.7,True,False,False,False,False,True,True,False
adjacent,identical_balls_trick_000_018,1,6,10,V_DEEP,41.88,4.792,right,False,26,561.3,492.9,189.6,-94.8,189.6,94.8,False,True,False,True,True,True,False,True
adjacent,identical_balls_trick_000_018,1,7,22,V_DEEP,45.58,3.698,right,False,37,425.9,495.5,187.0,-37.4,234.1,46.8,False,True,False,True,False,True,False,True
adjacent,identical_balls_trick_000_018,2,7,22,V_DEEP,14.34,26.331,right,False,37,482.5,476.3,91.3,-18.3,433.5,86.7,False,False,False,True,False,False,False,False
adjacent,identical_balls_trick_000_018,3,7,8,V_DEEP,22.33,10.255,right,False,41,446.8,462.3,20.9,-4.2,246.5,49.3,False,False,False,True,False,False,False,False
adjacent,identical_balls_trick_000_018,3,9,20,V_DEEP,31.58,4.93,left,False,51,724.5,452.2,30.9,-6.2,44.5,8.9,False,False,False,True,False,False,False,False
