chain_id,n_tracklets,first_frame,last_frame,duration_frames,duration_seconds,n_hand_events,n_ballistic,n_pure_hand,hand_sequence,n_hand_edges_total,unique_hands,dominant_hand,alternation_rate,catch_rate_hz,catch_per_frame,pattern_verdict,physical_ball_estimate,h10v10_quality,tids
0,1,2,17,16,0.53,0,0,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,1.0,1
1,1,2,17,16,0.53,0,0,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,0.9238095238095239,2
2,2,3,46,44,1.47,1,0,1,left,1,1,left,0.0,0.682,0.0227,SINGLE_CATCH,1,0.5976744186046512,"3,8"
3,1,21,33,13,0.43,0,0,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,1.0,4
4,2,21,122,102,3.4,1,0,1,right,1,1,right,0.0,0.294,0.0098,SINGLE_CATCH,1,0.6683168316831684,"5,6"
5,2,39,79,41,1.37,2,0,1,l->r,1,2,mixed,1.0,1.463,0.0488,CASCADE_LIKE,2,0.64,"7,10"
6,1,51,98,48,1.6,0,0,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,0.9635258358662614,9
7,2,87,160,74,2.47,1,0,1,right,1,1,right,0.0,0.405,0.0135,SINGLE_CATCH,1,0.8356164383561644,"11,14"
8,1,104,149,46,1.53,0,0,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,0.9619047619047619,12
9,1,104,133,30,1.0,0,0,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,0.9014778325123153,13
10,1,138,149,12,0.4,0,0,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,1.0,15
11,1,157,166,10,0.33,0,0,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,0.9365079365079365,16
12,3,165,255,91,3.03,2,0,1,right->right,2,1,right,0.0,0.659,0.022,FOUNTAIN_LIKE,1,0.5044444444444445,"17,23,25"
13,1,166,206,41,1.37,0,0,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,0.9714285714285714,18
14,2,174,208,35,1.17,0,1,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,0.45378151260504196,"19,20"
15,3,212,312,101,3.37,1,1,0,left,1,1,left,0.0,0.297,0.0099,SINGLE_CATCH,2,0.31600000000000006,"21,22,27"
16,1,232,328,97,3.23,0,0,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,0.9583333333333334,24
17,1,257,334,78,2.6,0,0,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,0.9109461966604824,26
18,3,333,472,140,4.67,1,1,0,left,1,1,left,0.0,0.214,0.0071,SINGLE_CATCH,2,0.6021582733812949,"28,29,34"
19,2,399,472,74,2.47,1,0,1,left,1,1,left,0.0,0.405,0.0135,SINGLE_CATCH,1,0.8669275929549902,"30,33"
20,2,411,578,168,5.6,0,1,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,0.9076133447390933,"31,36"
21,1,425,428,4,0.13,0,0,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,1.0,32
22,7,507,716,210,7.0,5,1,0,left->left->right->right->left,5,2,mixed,0.5,0.714,0.0238,CASCADE_LIKE,3,0.5583732057416269,"35,37,40,41,43,45,46"
23,3,533,766,234,7.8,2,0,1,right->left,2,2,mixed,1.0,0.256,0.0085,CASCADE_LIKE,2,0.6450643776824034,"38,39,47"
24,1,593,598,6,0.2,0,0,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,0.8857142857142857,42
25,1,623,780,158,5.27,0,0,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,0.9381255686988171,44
26,1,691,700,10,0.33,0,0,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,1.0,48
27,1,697,697,1,0.03,0,0,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,1.0,49
28,2,733,811,79,2.63,0,1,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,0.6684981684981685,"50,55"
29,5,765,885,121,4.03,5,0,1,left->right->right->l->r,4,4,mixed,0.75,1.24,0.0413,UNKNOWN,2,0.5766666666666667,"51,52,54,59,61"
30,5,791,1074,284,9.47,3,1,0,right->right->right,3,1,right,0.0,0.317,0.0106,FOUNTAIN_LIKE,2,0.40530035335689046,"53,60,64,68,71"
31,1,814,829,16,0.53,0,0,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,1.0,56
32,1,839,880,42,1.4,0,0,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,0.9442508710801394,57
33,1,855,856,2,0.07,0,0,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,1.0,58
34,2,885,965,81,2.7,1,0,1,right,1,1,right,0.0,0.37,0.0123,SINGLE_CATCH,1,0.58,"62,66"
35,1,890,945,56,1.87,0,0,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,0.9688311688311688,63
36,1,956,970,15,0.5,0,0,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,1.0,65
37,3,968,1078,111,3.7,1,1,0,left,1,1,left,0.0,0.27,0.009,SINGLE_CATCH,2,0.32363636363636367,"67,70,74"
38,1,977,1011,35,1.17,0,0,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,0.9663865546218487,69
39,2,1029,1060,32,1.07,1,0,1,right,1,1,right,0.0,0.938,0.0312,SINGLE_CATCH,1,0.6612903225806452,"72,73"
40,1,1070,1077,8,0.27,0,0,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,1.0,75
41,1,1077,1077,1,0.03,0,0,0,,0,0,none,0.0,0.0,0.0,NO_CATCH,1,1.0,76
