chain_id,n_tids,n_overlap_pairs,max_overlap,max_overlap_pair,total_overlap,verdict,tids,h32_pattern,h10v10_quality,h32_ball_estimate
0,1,0,0,,0,SINGLE_BALL,1,NO_CATCH,1.0,1
1,1,0,0,,0,SINGLE_BALL,2,NO_CATCH,0.9238095238095239,1
2,2,0,0,,0,SINGLE_BALL_CANDIDATE,"3,8",SINGLE_CATCH,0.5976744186046512,1
3,1,0,0,,0,SINGLE_BALL,4,NO_CATCH,1.0,1
4,2,0,0,,0,SINGLE_BALL_CANDIDATE,"5,6",SINGLE_CATCH,0.6683168316831684,1
5,2,0,0,,0,SINGLE_BALL_CANDIDATE,"7,10",CASCADE_LIKE,0.64,2
6,1,0,0,,0,SINGLE_BALL,9,NO_CATCH,0.9635258358662614,1
7,2,0,0,,0,SINGLE_BALL_CANDIDATE,"11,14",SINGLE_CATCH,0.8356164383561644,1
8,1,0,0,,0,SINGLE_BALL,12,NO_CATCH,0.9619047619047619,1
9,1,0,0,,0,SINGLE_BALL,13,NO_CATCH,0.9014778325123153,1
10,1,0,0,,0,SINGLE_BALL,15,NO_CATCH,1.0,1
11,1,0,0,,0,SINGLE_BALL,16,NO_CATCH,0.9365079365079365,1
12,3,0,0,,0,SINGLE_BALL_CANDIDATE,"17,23,25",FOUNTAIN_LIKE,0.5044444444444445,1
13,1,0,0,,0,SINGLE_BALL,18,NO_CATCH,0.9714285714285714,1
14,2,0,0,,0,SINGLE_BALL_CANDIDATE,"19,20",NO_CATCH,0.45378151260504196,1
15,3,0,0,,0,SINGLE_BALL_CANDIDATE,"21,22,27",SINGLE_CATCH,0.31600000000000006,2
16,1,0,0,,0,SINGLE_BALL,24,NO_CATCH,0.9583333333333334,1
17,1,0,0,,0,SINGLE_BALL,26,NO_CATCH,0.9109461966604824,1
18,3,0,0,,0,SINGLE_BALL_CANDIDATE,"28,29,34",SINGLE_CATCH,0.6021582733812949,2
19,2,0,0,,0,SINGLE_BALL_CANDIDATE,"30,33",SINGLE_CATCH,0.8669275929549902,1
20,2,0,0,,0,SINGLE_BALL_CANDIDATE,"31,36",NO_CATCH,0.9076133447390933,1
21,1,0,0,,0,SINGLE_BALL,32,NO_CATCH,1.0,1
22,7,0,0,,0,SINGLE_BALL_CANDIDATE,"35,37,40,41,43,45,46",CASCADE_LIKE,0.5583732057416269,3
23,3,0,0,,0,SINGLE_BALL_CANDIDATE,"38,39,47",CASCADE_LIKE,0.6450643776824034,2
24,1,0,0,,0,SINGLE_BALL,42,NO_CATCH,0.8857142857142857,1
25,1,0,0,,0,SINGLE_BALL,44,NO_CATCH,0.9381255686988171,1
26,1,0,0,,0,SINGLE_BALL,48,NO_CATCH,1.0,1
27,1,0,0,,0,SINGLE_BALL,49,NO_CATCH,1.0,1
28,2,0,0,,0,SINGLE_BALL_CANDIDATE,"50,55",NO_CATCH,0.6684981684981685,1
29,5,0,0,,0,SINGLE_BALL_CANDIDATE,"51,52,54,59,61",UNKNOWN,0.5766666666666667,2
30,5,0,0,,0,SINGLE_BALL_CANDIDATE,"53,60,64,68,71",FOUNTAIN_LIKE,0.40530035335689046,2
31,1,0,0,,0,SINGLE_BALL,56,NO_CATCH,1.0,1
32,1,0,0,,0,SINGLE_BALL,57,NO_CATCH,0.9442508710801394,1
33,1,0,0,,0,SINGLE_BALL,58,NO_CATCH,1.0,1
34,2,0,0,,0,SINGLE_BALL_CANDIDATE,"62,66",SINGLE_CATCH,0.58,1
35,1,0,0,,0,SINGLE_BALL,63,NO_CATCH,0.9688311688311688,1
36,1,0,0,,0,SINGLE_BALL,65,NO_CATCH,1.0,1
37,3,0,0,,0,SINGLE_BALL_CANDIDATE,"67,70,74",SINGLE_CATCH,0.32363636363636367,2
38,1,0,0,,0,SINGLE_BALL,69,NO_CATCH,0.9663865546218487,1
39,2,0,0,,0,SINGLE_BALL_CANDIDATE,"72,73",SINGLE_CATCH,0.6612903225806452,1
40,1,0,0,,0,SINGLE_BALL,75,NO_CATCH,1.0,1
41,1,0,0,,0,SINGLE_BALL,76,NO_CATCH,1.0,1
