chain_id,n_tids,n_overlap_pairs,max_overlap,max_overlap_pair,total_overlap,verdict,tids,h32_pattern,h10v10_quality,h32_ball_estimate
0,7,0,0,,0,SINGLE_BALL_CANDIDATE,"1,9,13,16,21,29,34",CASCADE_LIKE,0.6714763497372193,3
1,2,0,0,,0,SINGLE_BALL_CANDIDATE,"2,8",SINGLE_CATCH,0.5889150943396226,1
2,2,0,0,,0,SINGLE_BALL_CANDIDATE,"3,6",SINGLE_CATCH,0.5776315789473684,1
3,4,0,0,,0,SINGLE_BALL_CANDIDATE,"4,18,30,37",FOUNTAIN_LIKE,0.6799540133779265,2
4,1,0,0,,0,SINGLE_BALL,5,NO_CATCH,0.7961651917404129,1
5,1,0,0,,0,SINGLE_BALL,7,NO_CATCH,0.6333333333333333,1
6,2,0,0,,0,SINGLE_BALL_CANDIDATE,"10,12",SINGLE_CATCH,0.840625,1
7,4,0,0,,0,SINGLE_BALL_CANDIDATE,"11,14,17,24",CASCADE_LIKE,0.6156096059113301,2
8,4,0,0,,0,SINGLE_BALL_CANDIDATE,"15,25,33,36",CASCADE_LIKE,0.6755921052631579,2
9,6,0,0,,0,SINGLE_BALL_CANDIDATE,"19,22,26,31,35,38",CASCADE_LIKE,0.6144640234948605,3
10,1,0,0,,0,SINGLE_BALL,20,NO_CATCH,0.5666666666666667,1
11,1,0,0,,0,SINGLE_BALL,23,NO_CATCH,0.8333333333333333,1
12,3,0,0,,0,SINGLE_BALL_CANDIDATE,"27,28,32",CASCADE_LIKE,0.6176282051282052,2
13,1,0,0,,0,SINGLE_BALL,39,NO_CATCH,0.7333333333333333,1
14,1,0,0,,0,SINGLE_BALL,40,NO_CATCH,0.8333333333333333,1
