frame,L,R,A,event_type,hand,conservation,conservation_ok,note
0,0,0,3,HOLD,,3,True,interpolated
1,0,0,3,HOLD,,3,True,interpolated
2,0,0,3,HOLD,,3,True,interpolated
3,0,0,3,HOLD,,3,True,interpolated
4,0,0,3,HOLD,,3,True,interpolated
5,0,0,3,HOLD,,3,True,interpolated
6,0,0,3,HOLD,,3,True,interpolated
7,0,0,3,HOLD,,3,True,interpolated
8,0,0,3,HOLD,,3,True,interpolated
9,0,0,3,HOLD,,3,True,interpolated
10,0,0,3,HOLD,,3,True,interpolated
11,0,0,3,HOLD,,3,True,interpolated
12,0,0,3,HOLD,,3,True,interpolated
13,0,0,3,HOLD,,3,True,interpolated
14,0,0,3,HOLD,,3,True,interpolated
15,0,0,3,HOLD,,3,True,interpolated
16,0,0,3,HOLD,,3,True,interpolated
17,0,0,3,HOLD,,3,True,interpolated
18,0,0,3,HOLD,,3,True,interpolated
19,0,0,3,HOLD,,3,True,interpolated
20,0,0,3,HOLD,,3,True,interpolated
21,0,0,3,HOLD,,3,True,interpolated
22,0,1,2,CATCH,right,3,True,chain=4 5->6
23,0,1,2,HOLD,,3,True,interpolated
24,0,1,2,HOLD,,3,True,interpolated
25,0,1,2,HOLD,,3,True,interpolated
26,0,1,2,HOLD,,3,True,interpolated
27,0,0,3,THROW,right,3,True,chain=4 5->6
28,0,0,3,HOLD,,3,True,interpolated
29,0,0,3,HOLD,,3,True,interpolated
30,0,0,3,HOLD,,3,True,interpolated
31,1,0,2,CATCH,left,3,True,chain=2 3->8
32,1,0,2,HOLD,,3,True,interpolated
33,1,0,2,HOLD,,3,True,interpolated
34,1,0,2,HOLD,,3,True,interpolated
35,1,0,2,HOLD,,3,True,interpolated
36,1,0,2,HOLD,,3,True,interpolated
37,1,0,2,HOLD,,3,True,interpolated
38,1,0,2,HOLD,,3,True,interpolated
39,1,0,2,HOLD,,3,True,interpolated
40,1,0,2,HOLD,,3,True,interpolated
41,1,0,2,HOLD,,3,True,interpolated
42,1,0,2,HOLD,,3,True,interpolated
43,0,0,3,THROW,left,3,True,chain=2 3->8
44,0,0,3,HOLD,,3,True,interpolated
45,0,0,3,HOLD,,3,True,interpolated
46,0,0,3,HOLD,,3,True,interpolated
47,0,0,3,HOLD,,3,True,interpolated
48,0,0,3,HOLD,,3,True,interpolated
49,0,0,3,HOLD,,3,True,interpolated
50,0,0,3,HOLD,,3,True,interpolated
51,0,0,3,HOLD,,3,True,interpolated
52,0,0,3,HOLD,,3,True,interpolated
53,0,0,3,HOLD,,3,True,interpolated
54,0,0,3,HOLD,,3,True,interpolated
55,0,0,3,HOLD,,3,True,interpolated
56,0,0,3,AMBIG_H26_RECLASSIFIED_HAND_TRANSITION,unknown,3,True,chain=5 7->10
57,0,0,3,HOLD,,3,True,interpolated
58,0,0,3,HOLD,,3,True,interpolated
59,0,0,3,HOLD,,3,True,interpolated
60,0,0,3,HOLD,,3,True,interpolated
61,0,0,3,HOLD,,3,True,interpolated
62,0,0,3,HOLD,,3,True,interpolated
63,0,0,3,HOLD,,3,True,interpolated
64,0,0,3,HOLD,,3,True,interpolated
65,0,0,3,HOLD,,3,True,interpolated
66,0,0,3,HOLD,,3,True,interpolated
67,0,0,3,HOLD,,3,True,interpolated
68,0,0,3,HOLD,,3,True,interpolated
69,0,0,3,HOLD,,3,True,interpolated
70,0,0,3,HOLD,,3,True,interpolated
71,0,0,3,HOLD,,3,True,interpolated
72,0,0,3,HOLD,,3,True,interpolated
73,0,0,3,HOLD,,3,True,interpolated
74,0,0,3,HOLD,,3,True,interpolated
75,0,0,3,HOLD,,3,True,interpolated
76,0,0,3,HOLD,,3,True,interpolated
77,0,0,3,HOLD,,3,True,interpolated
78,0,0,3,HOLD,,3,True,interpolated
79,0,0,3,HOLD,,3,True,interpolated
80,0,0,3,HOLD,,3,True,interpolated
81,0,0,3,HOLD,,3,True,interpolated
82,0,0,3,HOLD,,3,True,interpolated
83,0,0,3,HOLD,,3,True,interpolated
84,0,0,3,HOLD,,3,True,interpolated
85,0,0,3,HOLD,,3,True,interpolated
86,0,0,3,HOLD,,3,True,interpolated
87,0,0,3,HOLD,,3,True,interpolated
88,0,0,3,HOLD,,3,True,interpolated
89,0,0,3,HOLD,,3,True,interpolated
90,0,0,3,HOLD,,3,True,interpolated
91,0,0,3,HOLD,,3,True,interpolated
92,0,0,3,HOLD,,3,True,interpolated
93,0,0,3,HOLD,,3,True,interpolated
94,0,0,3,HOLD,,3,True,interpolated
95,0,0,3,HOLD,,3,True,interpolated
96,0,0,3,HOLD,,3,True,interpolated
