frame,L,R,A,event_type,hand,conservation,conservation_ok,note
0,0,0,5,HOLD,,5,True,interpolated
1,0,0,5,HOLD,,5,True,interpolated
2,0,0,5,HOLD,,5,True,interpolated
3,0,0,5,HOLD,,5,True,interpolated
4,0,0,5,HOLD,,5,True,interpolated
5,0,0,5,HOLD,,5,True,interpolated
6,0,0,5,HOLD,,5,True,interpolated
7,0,0,5,HOLD,,5,True,interpolated
8,0,0,5,HOLD,,5,True,interpolated
9,0,0,5,HOLD,,5,True,interpolated
10,0,0,5,HOLD,,5,True,interpolated
11,0,0,5,HOLD,,5,True,interpolated
12,0,0,5,HOLD,,5,True,interpolated
13,0,0,5,HOLD,,5,True,interpolated
14,0,0,5,HOLD,,5,True,interpolated
15,0,0,5,HOLD,,5,True,interpolated
16,0,0,5,HOLD,,5,True,interpolated
17,0,0,5,HOLD,,5,True,interpolated
18,0,0,5,HOLD,,5,True,interpolated
19,0,0,5,HOLD,,5,True,interpolated
20,0,0,5,HOLD,,5,True,interpolated
21,0,0,5,HOLD,,5,True,interpolated
22,1,0,4,CATCH,left,5,True,chain=2 3->6
23,1,0,4,HOLD,,5,True,interpolated
24,1,0,4,HOLD,,5,True,interpolated
25,1,0,4,HOLD,,5,True,interpolated
26,1,0,4,HOLD,,5,True,interpolated
27,1,0,4,HOLD,,5,True,interpolated
28,1,0,4,HOLD,,5,True,interpolated
29,1,0,4,HOLD,,5,True,interpolated
30,1,0,4,HOLD,,5,True,interpolated
31,1,0,4,HOLD,,5,True,interpolated
32,1,0,4,HOLD,,5,True,interpolated
33,1,0,4,HOLD,,5,True,interpolated
34,0,0,5,THROW,left,5,True,chain=2 3->6
35,0,0,5,HOLD,,5,True,interpolated
36,0,0,5,HOLD,,5,True,interpolated
37,0,0,5,HOLD,,5,True,interpolated
38,0,0,5,HOLD,,5,True,interpolated
39,0,0,5,HOLD,,5,True,interpolated
40,0,0,5,HOLD,,5,True,interpolated
41,0,0,5,HOLD,,5,True,interpolated
42,0,0,5,HOLD,,5,True,interpolated
43,0,0,5,HOLD,,5,True,interpolated
44,0,0,5,HOLD,,5,True,interpolated
45,0,0,5,HOLD,,5,True,interpolated
46,0,0,5,HOLD,,5,True,interpolated
47,0,0,5,HOLD,,5,True,interpolated
48,0,0,5,HOLD,,5,True,interpolated
49,0,0,5,HOLD,,5,True,interpolated
50,0,0,5,HOLD,,5,True,interpolated
51,0,0,5,HOLD,,5,True,interpolated
52,0,0,5,HOLD,,5,True,interpolated
53,0,0,5,HOLD,,5,True,interpolated
54,0,0,5,HOLD,,5,True,interpolated
55,0,0,5,HOLD,,5,True,interpolated
56,0,0,5,HOLD,,5,True,interpolated
57,0,0,5,HOLD,,5,True,interpolated
58,0,0,5,HOLD,,5,True,interpolated
59,0,0,5,HOLD,,5,True,interpolated
60,0,0,5,HOLD,,5,True,interpolated
61,0,0,5,HOLD,,5,True,interpolated
62,0,0,5,HOLD,,5,True,interpolated
63,0,0,5,HOLD,,5,True,interpolated
64,0,0,5,HOLD,,5,True,interpolated
65,0,0,5,HOLD,,5,True,interpolated
66,0,0,5,HOLD,,5,True,interpolated
67,0,0,5,HOLD,,5,True,interpolated
68,0,0,5,HOLD,,5,True,interpolated
69,0,0,5,HOLD,,5,True,interpolated
70,0,0,5,HOLD,,5,True,interpolated
71,0,0,5,HOLD,,5,True,interpolated
72,0,1,4,CATCH,right,5,True,chain=1 2->8
73,0,1,4,HOLD,,5,True,interpolated
74,0,1,4,HOLD,,5,True,interpolated
75,0,1,4,HOLD,,5,True,interpolated
76,0,1,4,HOLD,,5,True,interpolated
77,0,1,4,HOLD,,5,True,interpolated
78,0,1,4,HOLD,,5,True,interpolated
79,0,1,4,HOLD,,5,True,interpolated
80,0,1,4,HOLD,,5,True,interpolated
81,0,1,4,HOLD,,5,True,interpolated
82,0,1,4,HOLD,,5,True,interpolated
83,0,0,5,THROW,right,5,True,chain=1 2->8
84,0,0,5,HOLD,,5,True,interpolated
85,0,0,5,HOLD,,5,True,interpolated
86,0,0,5,HOLD,,5,True,interpolated
87,0,0,5,HOLD,,5,True,interpolated
88,0,0,5,HOLD,,5,True,interpolated
89,0,0,5,HOLD,,5,True,interpolated
90,0,0,5,HOLD,,5,True,interpolated
91,0,0,5,HOLD,,5,True,interpolated
92,0,0,5,HOLD,,5,True,interpolated
93,0,0,5,HOLD,,5,True,interpolated
94,0,0,5,HOLD,,5,True,interpolated
95,0,0,5,HOLD,,5,True,interpolated
96,0,0,5,HOLD,,5,True,interpolated
97,0,0,5,HOLD,,5,True,interpolated
98,0,0,5,HOLD,,5,True,interpolated
99,0,0,5,HOLD,,5,True,interpolated
100,0,0,5,HOLD,,5,True,interpolated
101,0,0,5,HOLD,,5,True,interpolated
102,1,0,4,CATCH,left,5,True,chain=0 1->9
103,1,0,4,HOLD,,5,True,interpolated
104,1,0,4,HOLD,,5,True,interpolated
105,1,0,4,HOLD,,5,True,interpolated
106,1,0,4,HOLD,,5,True,interpolated
107,1,0,4,HOLD,,5,True,interpolated
108,1,0,4,HOLD,,5,True,interpolated
109,1,0,4,HOLD,,5,True,interpolated
110,1,0,4,HOLD,,5,True,interpolated
111,1,0,4,HOLD,,5,True,interpolated
