frame,L,R,A,event_type,hand,conservation,conservation_ok,note
-1,0,0,3,INIT,,3,True,total_balls=3
22,0,1,2,CATCH,right,3,True,chain=4 5->6
27,0,0,3,THROW,right,3,True,chain=4 5->6
31,1,0,2,CATCH,left,3,True,chain=2 3->8
43,0,0,3,THROW,left,3,True,chain=2 3->8
56,0,0,3,AMBIG_H26_RECLASSIFIED_HAND_TRANSITION,unknown,3,True,chain=5 7->10
97,0,1,2,CATCH,right,3,True,chain=7 11->14
126,0,0,3,THROW,right,3,True,chain=7 11->14
207,0,1,2,CATCH,right,3,True,chain=12 17->23
232,0,0,3,THROW,right,3,True,chain=12 17->23
235,0,1,2,CATCH,right,3,True,chain=12 23->25
243,0,0,3,THROW,right,3,True,chain=12 23->25
252,1,0,2,CATCH,left,3,True,chain=15 22->27
263,0,0,3,THROW,left,3,True,chain=15 22->27
450,1,0,2,CATCH,left,3,True,chain=19 30->33
461,0,0,3,THROW,left,3,True,chain=19 30->33
460,1,0,2,CATCH,left,3,True,chain=18 29->34
471,0,0,3,THROW,left,3,True,chain=18 29->34
522,1,0,2,CATCH,left,3,True,chain=22 35->37
533,0,0,3,THROW,left,3,True,chain=22 35->37
534,1,0,2,CATCH,left,3,True,chain=22 37->40
549,0,0,3,THROW,left,3,True,chain=22 37->40
534,0,1,2,CATCH,right,3,True,chain=23 38->39
545,0,0,3,THROW,right,3,True,chain=23 38->39
582,0,1,2,CATCH,right,3,True,chain=22 40->41
591,0,0,3,THROW,right,3,True,chain=22 40->41
622,0,1,2,CATCH,right,3,True,chain=22 43->45
631,0,0,3,THROW,right,3,True,chain=22 43->45
670,1,0,2,CATCH,left,3,True,chain=22 45->46
679,0,0,3,THROW,left,3,True,chain=22 45->46
676,1,0,2,CATCH,left,3,True,chain=23 39->47
685,0,0,3,THROW,left,3,True,chain=23 39->47
766,1,0,2,CATCH,left,3,True,chain=29 51->52
775,0,0,3,THROW,left,3,True,chain=29 51->52
780,0,1,2,CATCH,right,3,True,chain=29 52->54
797,0,0,3,THROW,right,3,True,chain=29 52->54
830,0,1,2,CATCH,right,3,True,chain=29 54->59
856,0,0,3,THROW,right,3,True,chain=29 54->59
839,0,1,2,CATCH,right,3,True,chain=30 53->60
860,0,0,3,THROW,right,3,True,chain=30 53->60
872,0,0,3,AMBIG_H26_RECLASSIFIED_HAND_TRANSITION,unknown,3,True,chain=29 59->61
948,0,1,2,CATCH,right,3,True,chain=34 62->66
957,0,0,3,THROW,right,3,True,chain=34 62->66
964,0,1,2,CATCH,right,3,True,chain=30 64->68
970,0,0,3,THROW,right,3,True,chain=30 64->68
1015,0,1,2,CATCH,right,3,True,chain=30 68->71
1029,0,0,3,THROW,right,3,True,chain=30 68->71
1050,1,0,2,CATCH,left,3,True,chain=37 70->74
1056,0,0,3,THROW,left,3,True,chain=37 70->74
1050,0,1,2,CATCH,right,3,True,chain=39 72->73
1054,0,0,3,THROW,right,3,True,chain=39 72->73
