frame,L,R,A,event_type,hand,conservation,conservation_ok,note
-1,0,0,5,INIT,,5,True,total_balls=5
22,1,0,4,CATCH,left,5,True,chain=2 3->6
34,0,0,5,THROW,left,5,True,chain=2 3->6
72,0,1,4,CATCH,right,5,True,chain=1 2->8
83,0,0,5,THROW,right,5,True,chain=1 2->8
102,1,0,4,CATCH,left,5,True,chain=0 1->9
114,0,0,5,THROW,left,5,True,chain=0 1->9
238,0,1,4,CATCH,right,5,True,chain=6 10->12
255,0,0,5,THROW,right,5,True,chain=6 10->12
256,1,0,4,CATCH,left,5,True,chain=0 9->13
267,0,0,5,THROW,left,5,True,chain=0 9->13
299,0,1,4,CATCH,right,5,True,chain=7 11->14
308,0,0,5,THROW,right,5,True,chain=7 11->14
327,0,1,4,CATCH,right,5,True,chain=0 13->16
339,0,0,5,THROW,right,5,True,chain=0 13->16
375,1,0,4,CATCH,left,5,True,chain=7 14->17
381,0,0,5,THROW,left,5,True,chain=7 14->17
411,0,1,4,CATCH,right,5,True,chain=3 4->18
420,0,0,5,THROW,right,5,True,chain=3 4->18
470,0,0,5,AMBIG_H22_RECLASSIFIED_HAND_TRANSITION,unknown,5,True,chain=10 20->21
498,0,1,4,CATCH,right,5,True,chain=9 19->22
510,0,0,5,THROW,right,5,True,chain=9 19->22
582,0,1,4,CATCH,right,5,True,chain=7 17->24
591,0,0,5,THROW,right,5,True,chain=7 17->24
595,1,0,4,CATCH,left,5,True,chain=8 15->25
606,0,0,5,THROW,left,5,True,chain=8 15->25
644,0,1,4,CATCH,right,5,True,chain=9 22->26
656,0,0,5,THROW,right,5,True,chain=9 22->26
670,1,0,4,CATCH,left,5,True,chain=12 27->28
678,0,0,5,THROW,left,5,True,chain=12 27->28
693,1,0,4,CATCH,left,5,True,chain=10 21->29
701,0,0,5,THROW,left,5,True,chain=10 21->29
709,0,1,4,CATCH,right,5,True,chain=3 18->30
715,0,0,5,THROW,right,5,True,chain=3 18->30
717,1,0,4,CATCH,left,5,True,chain=9 26->31
731,0,0,5,THROW,left,5,True,chain=9 26->31
738,0,1,4,CATCH,right,5,True,chain=12 28->32
743,0,0,5,THROW,right,5,True,chain=12 28->32
749,1,0,4,CATCH,left,5,True,chain=8 25->33
755,0,0,5,THROW,left,5,True,chain=8 25->33
761,0,1,4,CATCH,right,5,True,chain=10 29->34
769,0,0,5,THROW,right,5,True,chain=10 29->34
789,0,1,4,CATCH,right,5,True,chain=9 31->35
800,0,0,5,THROW,right,5,True,chain=9 31->35
818,0,1,4,CATCH,right,5,True,chain=8 33->36
825,0,0,5,THROW,right,5,True,chain=8 33->36
845,0,1,4,CATCH,right,5,True,chain=3 30->37
854,0,0,5,THROW,right,5,True,chain=3 30->37
862,1,0,4,CATCH,left,5,True,chain=9 35->38
869,0,0,5,THROW,left,5,True,chain=9 35->38
