frame,L,R,A,h36_event_type,h12_n_air,h12_n_l,h12_n_r,h12_n_total,h12_pattern,h12_confidence,h36_l_le_h12_l,h36_r_le_h12_r,agree
2,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.962,True,True,True
3,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True
4,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True
5,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True
6,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True
7,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True
8,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True
9,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True
10,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True
11,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True
12,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True
13,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True
14,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True
15,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True
16,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True
17,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True
18,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.598,True,True,True
19,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.598,True,True,True
20,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.598,True,True,True
21,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.378,True,True,True
22,0,1,2,CATCH,3,0,1,3,MIXED_3+_UNCONFIRMED,0.453,True,True,True
23,0,1,2,HOLD,2,0,1,3,MIXED_3+_UNCONFIRMED,0.453,True,True,True
24,0,1,2,HOLD,2,0,1,3,MIXED_3+_UNCONFIRMED,0.453,True,True,True
25,0,1,2,HOLD,2,0,1,3,MIXED_3+_UNCONFIRMED,0.453,True,True,True
26,0,1,2,HOLD,2,0,1,3,MIXED_3+_UNCONFIRMED,0.453,True,True,True
27,0,0,3,THROW,3,0,1,3,MIXED_3+_UNCONFIRMED,0.453,True,True,True
28,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.378,True,True,True
29,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.378,True,True,True
30,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.378,True,True,True
31,1,0,2,CATCH,3,1,0,3,CASCADE_3+,0.755,True,True,True
32,1,0,2,HOLD,2,0,0,2,TWO_BALL,0.834,False,True,False
33,1,0,2,HOLD,2,0,0,2,TWO_BALL,0.834,False,True,False
34,1,0,2,HOLD,1,0,0,1,SINGLE_BALL,0.668,False,True,False
35,1,0,2,HOLD,1,0,0,1,SINGLE_BALL,0.668,False,True,False
36,1,0,2,HOLD,1,0,0,1,SINGLE_BALL,0.668,False,True,False
37,1,0,2,HOLD,1,0,0,1,SINGLE_BALL,0.668,False,True,False
38,1,0,2,HOLD,1,0,0,1,SINGLE_BALL,0.668,False,True,False
39,1,0,2,HOLD,2,0,0,2,TWO_BALL,0.654,False,True,False
40,1,0,2,HOLD,2,0,0,2,TWO_BALL,0.654,False,True,False
41,1,0,2,HOLD,2,0,0,2,TWO_BALL,0.654,False,True,False
42,1,0,2,HOLD,2,0,0,2,TWO_BALL,0.654,False,True,False
43,0,0,3,THROW,3,1,0,3,MIXED_3+,0.635,True,True,True
44,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.635,True,True,True
45,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.635,True,True,True
46,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.635,True,True,True
47,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.654,True,True,True
48,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.654,True,True,True
49,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.654,True,True,True
50,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.654,True,True,True
51,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True
52,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True
53,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True
54,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True
55,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True
56,0,0,3,AMBIG_H26_RECLASSIFIED_HAND_TRANSITION,3,0,0,3,CASCADE_3+,0.757,True,True,True
57,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True
58,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True
59,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True
60,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True
61,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True
62,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True
63,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True
64,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True
65,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True
66,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True
67,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True
68,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True
69,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True
70,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True
71,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True
72,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True
73,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True
74,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True
75,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True
76,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True
77,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True
78,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True
79,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True
80,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True
81,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True
82,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True
83,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True
84,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True
85,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True
86,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True
87,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True
88,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True
89,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True
90,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True
91,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True
92,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True
93,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True
94,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True
95,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True
96,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True
97,0,1,2,CATCH,3,0,1,3,CASCADE_3+,0.822,True,True,True
98,0,1,2,HOLD,2,0,0,2,TWO_BALL,0.816,True,False,False
99,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.668,True,False,False
100,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.668,True,False,False
101,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.668,True,False,False
102,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.668,True,False,False
103,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.668,True,False,False
104,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False
105,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False
106,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False
107,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False
108,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False
109,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False
110,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False
