frame,L,R,A,h36_event_type,h12_n_air,h12_n_l,h12_n_r,h12_n_total,h12_pattern,h12_confidence,h36_l_le_h12_l,h36_r_le_h12_r,agree
2,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
3,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
4,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
5,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
6,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
7,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
8,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
9,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
10,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
11,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
12,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
13,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
14,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
15,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
16,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
17,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
18,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
19,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
20,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
21,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
22,1,0,4,CATCH,5,1,0,5,MIXED_3+_UNCONFIRMED,0.399,True,True,True
23,1,0,4,HOLD,4,0,0,4,MIXED_3+_UNCONFIRMED,0.344,False,True,False
24,1,0,4,HOLD,4,0,0,4,MIXED_3+_UNCONFIRMED,0.344,False,True,False
25,1,0,4,HOLD,4,0,0,4,MIXED_3+_UNCONFIRMED,0.344,False,True,False
26,1,0,4,HOLD,4,0,0,4,MIXED_3+_UNCONFIRMED,0.344,False,True,False
27,1,0,4,HOLD,4,0,0,4,MIXED_3+_UNCONFIRMED,0.344,False,True,False
28,1,0,4,HOLD,4,0,0,4,MIXED_3+_UNCONFIRMED,0.344,False,True,False
29,1,0,4,HOLD,4,0,0,4,MIXED_3+_UNCONFIRMED,0.344,False,True,False
30,1,0,4,HOLD,4,0,0,4,MIXED_3+_UNCONFIRMED,0.344,False,True,False
31,1,0,4,HOLD,4,0,0,4,MIXED_3+_UNCONFIRMED,0.344,False,True,False
32,1,0,4,HOLD,4,0,0,4,MIXED_3+_UNCONFIRMED,0.344,False,True,False
33,1,0,4,HOLD,4,0,0,4,MIXED_3+_UNCONFIRMED,0.344,False,True,False
34,0,0,5,THROW,5,1,0,5,MIXED_3+_UNCONFIRMED,0.399,True,True,True
35,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
36,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
37,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
38,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
39,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
40,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
41,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
42,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
43,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
44,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True
