frame,L,R,A,h36_event_type,h12_n_air,h12_n_l,h12_n_r,h12_n_total,h12_pattern,h12_confidence,h36_l_le_h12_l,h36_r_le_h12_r,agree,h39_pattern,h39_rejected
2,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
3,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
4,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
5,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
6,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
7,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
8,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
9,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
10,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
11,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
12,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
13,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
14,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
15,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
16,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
17,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
18,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
19,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED,False
