frame,L,R,A,h36_event_type,h12_n_air,h12_n_l,h12_n_r,h12_n_total,h12_pattern,h12_confidence,h36_l_le_h12_l,h36_r_le_h12_r,agree,h39v2_pattern
2,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.962,True,True,True,TWO_BALL
3,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True,MIXED_3+_UNCONFIRMED
4,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True,MIXED_3+_UNCONFIRMED
5,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True,MIXED_3+_UNCONFIRMED
6,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True,MIXED_3+_UNCONFIRMED
7,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True,MIXED_3+_UNCONFIRMED
8,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True,MIXED_3+_UNCONFIRMED
9,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True,MIXED_3+_UNCONFIRMED
10,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True,MIXED_3+_UNCONFIRMED
11,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True,MIXED_3+_UNCONFIRMED
12,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True,MIXED_3+_UNCONFIRMED
13,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True,MIXED_3+_UNCONFIRMED
14,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True,MIXED_3+_UNCONFIRMED
15,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True,MIXED_3+_UNCONFIRMED
16,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True,MIXED_3+_UNCONFIRMED
17,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.42,True,True,True,MIXED_3+_UNCONFIRMED
18,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.598,True,True,True,SINGLE_BALL
19,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.598,True,True,True,SINGLE_BALL
20,0,0,3,HOLD,1,0,0,1,SINGLE_BALL,0.598,True,True,True,SINGLE_BALL
21,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.378,True,True,True,MIXED_3+_UNCONFIRMED
22,0,1,2,CATCH,3,0,1,3,MIXED_3+_UNCONFIRMED,0.453,True,True,True,MIXED_3+_UNCONFIRMED
23,0,1,2,HOLD,2,0,1,3,MIXED_3+_UNCONFIRMED,0.453,True,True,True,MIXED_3+_UNCONFIRMED
24,0,1,2,HOLD,2,0,1,3,MIXED_3+_UNCONFIRMED,0.453,True,True,True,MIXED_3+_UNCONFIRMED
25,0,1,2,HOLD,2,0,1,3,MIXED_3+_UNCONFIRMED,0.453,True,True,True,MIXED_3+_UNCONFIRMED
26,0,1,2,HOLD,2,0,1,3,MIXED_3+_UNCONFIRMED,0.453,True,True,True,MIXED_3+_UNCONFIRMED
27,0,0,3,THROW,3,0,1,3,MIXED_3+_UNCONFIRMED,0.453,True,True,True,MIXED_3+_UNCONFIRMED
28,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.378,True,True,True,MIXED_3+_UNCONFIRMED
29,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.378,True,True,True,MIXED_3+_UNCONFIRMED
30,0,0,3,HOLD,3,0,0,3,MIXED_3+_UNCONFIRMED,0.378,True,True,True,MIXED_3+_UNCONFIRMED
31,1,0,2,CATCH,3,1,0,3,CASCADE_3+,0.755,True,True,True,CASCADE_3+
32,1,0,2,HOLD,2,0,0,2,TWO_BALL,0.834,False,True,False,TWO_BALL
33,1,0,2,HOLD,2,0,0,2,TWO_BALL,0.834,False,True,False,TWO_BALL
34,1,0,2,HOLD,1,0,0,1,SINGLE_BALL,0.668,False,True,False,SINGLE_BALL
35,1,0,2,HOLD,1,0,0,1,SINGLE_BALL,0.668,False,True,False,SINGLE_BALL
36,1,0,2,HOLD,1,0,0,1,SINGLE_BALL,0.668,False,True,False,SINGLE_BALL
37,1,0,2,HOLD,1,0,0,1,SINGLE_BALL,0.668,False,True,False,SINGLE_BALL
38,1,0,2,HOLD,1,0,0,1,SINGLE_BALL,0.668,False,True,False,SINGLE_BALL
39,1,0,2,HOLD,2,0,0,2,TWO_BALL,0.654,False,True,False,TWO_BALL
40,1,0,2,HOLD,2,0,0,2,TWO_BALL,0.654,False,True,False,TWO_BALL
41,1,0,2,HOLD,2,0,0,2,TWO_BALL,0.654,False,True,False,TWO_BALL
42,1,0,2,HOLD,2,0,0,2,TWO_BALL,0.654,False,True,False,TWO_BALL
43,0,0,3,THROW,3,1,0,3,MIXED_3+,0.635,True,True,True,MIXED_3+
44,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.635,True,True,True,MIXED_3+
45,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.635,True,True,True,MIXED_3+
46,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.635,True,True,True,MIXED_3+
47,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.654,True,True,True,TWO_BALL
48,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.654,True,True,True,TWO_BALL
49,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.654,True,True,True,TWO_BALL
50,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.654,True,True,True,TWO_BALL
51,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+
52,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+
53,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+
54,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+
55,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+
56,0,0,3,AMBIG_H26_RECLASSIFIED_HAND_TRANSITION,3,0,0,3,CASCADE_3+,0.757,True,True,True,CASCADE_3+
57,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL
58,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL
59,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL
60,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL
61,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL
62,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL
63,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL
64,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+
65,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+
66,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+
67,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+
68,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+
69,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+
70,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+
71,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+
72,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+
73,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+
74,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+
75,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+
76,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+
77,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+
78,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+
79,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.757,True,True,True,MIXED_3+
80,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL
81,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL
82,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL
83,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL
84,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL
85,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL
86,0,0,3,HOLD,2,0,0,2,TWO_BALL,0.816,True,True,True,TWO_BALL
87,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True,MIXED_3+
88,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True,MIXED_3+
89,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True,MIXED_3+
90,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True,MIXED_3+
91,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True,MIXED_3+
92,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True,MIXED_3+
93,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True,MIXED_3+
94,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True,MIXED_3+
95,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True,MIXED_3+
96,0,0,3,HOLD,3,0,0,3,MIXED_3+,0.822,True,True,True,MIXED_3+
97,0,1,2,CATCH,3,0,1,3,CASCADE_3+,0.822,True,True,True,CASCADE_3+
98,0,1,2,HOLD,2,0,0,2,TWO_BALL,0.816,True,False,False,TWO_BALL
99,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.668,True,False,False,SINGLE_BALL
100,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.668,True,False,False,SINGLE_BALL
101,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.668,True,False,False,SINGLE_BALL
102,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.668,True,False,False,SINGLE_BALL
103,0,1,2,HOLD,1,0,0,1,SINGLE_BALL,0.668,True,False,False,SINGLE_BALL
104,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+
105,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+
106,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+
107,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+
108,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+
109,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+
110,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+
111,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+
112,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+
113,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+
114,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+
115,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+
116,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+
117,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+
118,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+
119,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+
120,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+
121,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+
122,0,1,2,HOLD,3,0,0,3,CASCADE_3+,0.844,True,False,False,CASCADE_3+
123,0,1,2,HOLD,2,0,0,2,TWO_BALL,0.932,True,False,False,TWO_BALL
