frame,L,R,A,h36_event_type,h12_n_air,h12_n_l,h12_n_r,h12_n_total,h12_pattern,h12_confidence,h36_l_le_h12_l,h36_r_le_h12_r,agree,h39v2_pattern
2,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
3,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
4,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
5,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
6,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
7,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
8,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
9,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
10,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
11,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
12,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
13,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
14,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
15,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
16,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
17,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
18,0,0,5,HOLD,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333,True,True,True,MIXED_3+_UNCONFIRMED
