frame,L40,R40,A40,n_dets,L36,R36,A36,h12_pattern,h12_conf
0,0,0,0,,0,0,5,,0.0
1,0,0,0,,0,0,5,,0.0
2,0,1,2,3,0,0,5,MIXED_3+_UNCONFIRMED,0.333
3,0,1,3,4,0,0,5,MIXED_3+_UNCONFIRMED,0.333
4,1,0,1,2,0,0,5,MIXED_3+_UNCONFIRMED,0.333
5,2,0,2,4,0,0,5,MIXED_3+_UNCONFIRMED,0.333
6,2,0,0,2,0,0,5,MIXED_3+_UNCONFIRMED,0.333
7,2,0,3,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333
8,2,0,2,4,0,0,5,MIXED_3+_UNCONFIRMED,0.333
9,2,0,3,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333
10,0,1,3,4,0,0,5,MIXED_3+_UNCONFIRMED,0.333
11,2,0,2,4,0,0,5,MIXED_3+_UNCONFIRMED,0.333
12,2,1,2,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333
13,2,0,2,4,0,0,5,MIXED_3+_UNCONFIRMED,0.333
14,2,1,2,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333
15,2,1,1,4,0,0,5,MIXED_3+_UNCONFIRMED,0.333
16,1,0,0,1,0,0,5,MIXED_3+_UNCONFIRMED,0.333
17,1,1,2,4,0,0,5,MIXED_3+_UNCONFIRMED,0.333
18,1,0,3,4,0,0,5,MIXED_3+_UNCONFIRMED,0.333
19,2,0,3,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333
20,2,0,2,4,0,0,5,MIXED_3+_UNCONFIRMED,0.333
21,2,0,3,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333
22,1,0,3,4,1,0,4,MIXED_3+_UNCONFIRMED,0.399
23,1,0,2,3,1,0,4,MIXED_3+_UNCONFIRMED,0.344
24,1,0,3,4,1,0,4,MIXED_3+_UNCONFIRMED,0.344
25,1,1,2,4,1,0,4,MIXED_3+_UNCONFIRMED,0.344
26,0,2,2,4,1,0,4,MIXED_3+_UNCONFIRMED,0.344
27,0,2,2,4,1,0,4,MIXED_3+_UNCONFIRMED,0.344
28,0,2,1,3,1,0,4,MIXED_3+_UNCONFIRMED,0.344
29,0,2,2,4,1,0,4,MIXED_3+_UNCONFIRMED,0.344
30,0,1,3,4,1,0,4,MIXED_3+_UNCONFIRMED,0.344
31,0,1,3,4,1,0,4,MIXED_3+_UNCONFIRMED,0.344
32,0,1,3,4,1,0,4,MIXED_3+_UNCONFIRMED,0.344
33,1,0,3,4,1,0,4,MIXED_3+_UNCONFIRMED,0.344
34,2,0,3,5,0,0,5,MIXED_3+_UNCONFIRMED,0.399
35,2,0,3,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333
36,2,0,2,4,0,0,5,MIXED_3+_UNCONFIRMED,0.333
37,2,0,3,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333
38,2,0,2,4,0,0,5,MIXED_3+_UNCONFIRMED,0.333
39,2,0,3,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333
40,1,0,3,4,0,0,5,MIXED_3+_UNCONFIRMED,0.333
41,2,1,2,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333
42,2,0,2,4,0,0,5,MIXED_3+_UNCONFIRMED,0.333
43,2,0,2,4,0,0,5,MIXED_3+_UNCONFIRMED,0.333
44,1,1,2,4,0,0,5,MIXED_3+_UNCONFIRMED,0.333
45,1,1,2,4,0,0,5,MIXED_3+_UNCONFIRMED,0.333
46,1,0,2,3,0,0,5,MIXED_3+_UNCONFIRMED,0.333
47,1,0,3,4,0,0,5,MIXED_3+_UNCONFIRMED,0.333
48,1,0,3,4,0,0,5,MIXED_3+_UNCONFIRMED,0.333
49,2,0,3,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333
50,1,0,3,4,0,0,5,MIXED_3+_UNCONFIRMED,0.333
51,2,0,3,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333
52,2,0,3,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333
53,1,0,3,4,0,0,5,MIXED_3+_UNCONFIRMED,0.333
54,1,0,1,2,0,0,5,MIXED_3+_UNCONFIRMED,0.333
55,1,0,3,4,0,0,5,MIXED_3+_UNCONFIRMED,0.333
56,1,1,2,4,0,0,5,MIXED_3+_UNCONFIRMED,0.333
57,0,1,2,3,0,0,5,MIXED_3+_UNCONFIRMED,0.333
58,0,2,2,4,0,0,5,MIXED_3+_UNCONFIRMED,0.33
59,1,3,2,6,0,0,5,MIXED_3+_UNCONFIRMED,0.33
60,0,2,3,5,0,0,5,MIXED_3+_UNCONFIRMED,0.33
61,2,1,3,6,0,0,5,MIXED_3+_UNCONFIRMED,0.33
62,2,0,3,5,0,0,5,MIXED_3+_UNCONFIRMED,0.33
63,2,0,3,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333
64,2,0,3,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333
65,1,0,3,4,0,0,5,MIXED_3+_UNCONFIRMED,0.333
66,2,0,3,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333
67,2,0,3,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333
68,3,0,0,3,0,0,5,MIXED_3+_UNCONFIRMED,0.333
69,2,0,2,4,0,0,5,MIXED_3+_UNCONFIRMED,0.333
70,2,1,2,5,0,0,5,MIXED_3+_UNCONFIRMED,0.333
71,2,0,2,4,0,0,5,MIXED_3+_UNCONFIRMED,0.333
72,2,1,2,5,0,1,4,CASCADE_3+,0.665
73,2,1,2,5,0,1,4,CASCADE_3+,0.684
74,1,1,3,5,0,1,4,CASCADE_3+,0.684
75,1,1,3,5,0,1,4,CASCADE_3+,0.684
76,1,1,3,5,0,1,4,CASCADE_3+,0.684
