frame,L40v2,R40v2,h12_pattern,h12_conf
2,0,0,TWO_BALL,0.962
3,0,0,MIXED_3+_UNCONFIRMED,0.42
4,1,0,MIXED_3+_UNCONFIRMED,0.42
5,1,0,MIXED_3+_UNCONFIRMED,0.42
6,1,1,MIXED_3+_UNCONFIRMED,0.42
7,1,1,MIXED_3+_UNCONFIRMED,0.42
8,1,1,MIXED_3+_UNCONFIRMED,0.42
9,1,1,MIXED_3+_UNCONFIRMED,0.42
10,0,1,MIXED_3+_UNCONFIRMED,0.42
11,0,1,MIXED_3+_UNCONFIRMED,0.42
12,0,1,MIXED_3+_UNCONFIRMED,0.42
13,1,1,MIXED_3+_UNCONFIRMED,0.42
14,1,0,MIXED_3+_UNCONFIRMED,0.42
15,1,1,MIXED_3+_UNCONFIRMED,0.42
16,1,1,MIXED_3+_UNCONFIRMED,0.42
17,1,1,MIXED_3+_UNCONFIRMED,0.42
18,1,1,SINGLE_BALL,0.598
19,1,1,SINGLE_BALL,0.598
20,0,1,SINGLE_BALL,0.598
21,1,1,MIXED_3+_UNCONFIRMED,0.378
22,1,1,MIXED_3+_UNCONFIRMED,0.453
24,1,0,MIXED_3+_UNCONFIRMED,0.453
26,1,0,MIXED_3+_UNCONFIRMED,0.453
27,1,1,MIXED_3+_UNCONFIRMED,0.453
28,1,1,MIXED_3+_UNCONFIRMED,0.378
29,1,1,MIXED_3+_UNCONFIRMED,0.378
30,0,1,MIXED_3+_UNCONFIRMED,0.378
31,0,1,CASCADE_3+,0.755
32,0,1,TWO_BALL,0.834
33,0,1,TWO_BALL,0.834
34,0,1,SINGLE_BALL,0.668
36,0,0,SINGLE_BALL,0.668
37,0,0,SINGLE_BALL,0.668
38,0,0,SINGLE_BALL,0.668
39,0,1,TWO_BALL,0.654
40,0,1,TWO_BALL,0.654
41,0,1,TWO_BALL,0.654
42,0,1,TWO_BALL,0.654
43,1,1,MIXED_3+,0.635
44,1,1,MIXED_3+,0.635
45,1,1,MIXED_3+,0.635
46,1,1,MIXED_3+,0.635
47,1,1,TWO_BALL,0.654
48,1,1,TWO_BALL,0.654
49,1,1,TWO_BALL,0.654
50,1,1,TWO_BALL,0.654
51,1,1,MIXED_3+,0.757
52,1,1,MIXED_3+,0.757
53,1,1,MIXED_3+,0.757
54,1,0,MIXED_3+,0.757
55,1,1,MIXED_3+,0.757
56,1,1,CASCADE_3+,0.757
57,1,1,TWO_BALL,0.816
58,1,1,TWO_BALL,0.816
59,1,0,TWO_BALL,0.816
60,1,0,TWO_BALL,0.816
61,1,0,TWO_BALL,0.816
62,0,0,TWO_BALL,0.816
63,0,0,TWO_BALL,0.816
64,1,1,MIXED_3+,0.757
65,1,1,MIXED_3+,0.757
66,1,1,MIXED_3+,0.757
67,1,1,MIXED_3+,0.757
68,0,1,MIXED_3+,0.757
69,1,1,MIXED_3+,0.757
70,1,1,MIXED_3+,0.757
71,1,1,MIXED_3+,0.757
72,1,1,MIXED_3+,0.757
73,1,1,MIXED_3+,0.757
74,1,1,MIXED_3+,0.757
75,1,1,MIXED_3+,0.757
76,1,1,MIXED_3+,0.757
77,1,1,MIXED_3+,0.757
78,1,1,MIXED_3+,0.757
79,1,1,MIXED_3+,0.757
80,1,1,TWO_BALL,0.816
81,1,1,TWO_BALL,0.816
82,0,1,TWO_BALL,0.816
83,0,1,TWO_BALL,0.816
84,0,1,TWO_BALL,0.816
85,0,1,TWO_BALL,0.816
86,1,1,TWO_BALL,0.816
87,1,1,MIXED_3+,0.822
88,1,1,MIXED_3+,0.822
89,1,1,MIXED_3+,0.822
90,1,1,MIXED_3+,0.822
91,1,1,MIXED_3+,0.822
92,1,1,MIXED_3+,0.822
93,1,1,MIXED_3+,0.822
94,1,1,MIXED_3+,0.822
95,1,1,MIXED_3+,0.822
96,1,1,MIXED_3+,0.822
97,1,1,CASCADE_3+,0.822
98,1,1,TWO_BALL,0.816
99,1,1,SINGLE_BALL,0.668
100,1,1,SINGLE_BALL,0.668
101,1,1,SINGLE_BALL,0.668
102,1,1,SINGLE_BALL,0.668
103,1,1,SINGLE_BALL,0.668
104,1,1,CASCADE_3+,0.844
105,1,0,CASCADE_3+,0.844
106,1,1,CASCADE_3+,0.844
107,1,1,CASCADE_3+,0.844
108,1,1,CASCADE_3+,0.844
109,0,0,CASCADE_3+,0.844
110,0,0,CASCADE_3+,0.844
111,0,1,CASCADE_3+,0.844
112,1,1,CASCADE_3+,0.844
113,1,1,CASCADE_3+,0.844
114,1,1,CASCADE_3+,0.844
115,1,1,CASCADE_3+,0.844
116,1,1,CASCADE_3+,0.844
117,1,1,CASCADE_3+,0.844
118,1,1,CASCADE_3+,0.844
119,1,1,CASCADE_3+,0.844
120,1,1,CASCADE_3+,0.844
121,1,1,CASCADE_3+,0.844
122,1,1,CASCADE_3+,0.844
123,1,1,TWO_BALL,0.932
124,1,0,TWO_BALL,0.932
126,1,0,MIXED_3+,0.9
127,1,1,MIXED_3+,0.9
128,1,1,MIXED_3+,0.9
129,1,1,MIXED_3+,0.9
130,1,1,MIXED_3+,0.9
131,1,1,MIXED_3+,0.9
132,1,1,MIXED_3+,0.9
133,1,1,MIXED_3+,0.9
134,1,1,TWO_BALL,0.899
135,1,1,TWO_BALL,0.899
136,1,1,TWO_BALL,0.899
137,1,1,TWO_BALL,0.899
138,0,1,MIXED_3+,0.932
