frame,L40v2,R40v2,h12_pattern,h12_conf,h41_pattern
2,0,0,TWO_BALL,0.962,TWO_BALL
3,0,0,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
4,0,0,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
5,1,0,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
6,1,1,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
7,1,1,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
8,1,1,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
9,1,1,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
10,0,1,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
11,0,1,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
12,0,1,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
13,0,1,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
14,0,0,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
15,0,0,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
16,0,0,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
17,0,0,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
18,0,0,SINGLE_BALL,0.598,SINGLE_BALL
19,0,0,SINGLE_BALL,0.598,SINGLE_BALL
20,0,0,SINGLE_BALL,0.598,SINGLE_BALL
21,0,1,MIXED_3+_UNCONFIRMED,0.378,MIXED_3+_UNCONFIRMED
22,1,1,MIXED_3+_UNCONFIRMED,0.453,MIXED_3+_UNCONFIRMED
24,1,0,MIXED_3+_UNCONFIRMED,0.453,MIXED_3+_UNCONFIRMED
26,1,0,MIXED_3+_UNCONFIRMED,0.453,MIXED_3+_UNCONFIRMED
27,1,0,MIXED_3+_UNCONFIRMED,0.453,MIXED_3+_UNCONFIRMED
28,1,0,MIXED_3+_UNCONFIRMED,0.378,MIXED_3+_UNCONFIRMED
29,0,0,MIXED_3+_UNCONFIRMED,0.378,MIXED_3+_UNCONFIRMED
30,0,0,MIXED_3+_UNCONFIRMED,0.378,MIXED_3+_UNCONFIRMED
31,0,0,CASCADE_3+,0.755,CASCADE_3+
32,0,0,TWO_BALL,0.834,TWO_BALL
33,0,0,TWO_BALL,0.834,TWO_BALL
34,0,0,SINGLE_BALL,0.668,SINGLE_BALL
36,0,0,SINGLE_BALL,0.668,SINGLE_BALL
37,0,0,SINGLE_BALL,0.668,SINGLE_BALL
38,0,0,SINGLE_BALL,0.668,SINGLE_BALL
39,0,0,TWO_BALL,0.654,TWO_BALL
40,0,0,TWO_BALL,0.654,TWO_BALL
41,0,0,TWO_BALL,0.654,TWO_BALL
42,0,0,TWO_BALL,0.654,TWO_BALL
43,0,0,MIXED_3+,0.635,MIXED_3+
44,0,0,MIXED_3+,0.635,MIXED_3+
45,0,0,MIXED_3+,0.635,MIXED_3+
46,0,0,MIXED_3+,0.635,MIXED_3+
47,0,0,TWO_BALL,0.654,TWO_BALL
48,0,1,TWO_BALL,0.654,TWO_BALL
49,1,1,TWO_BALL,0.654,TWO_BALL
50,1,1,TWO_BALL,0.654,TWO_BALL
51,1,1,MIXED_3+,0.757,MIXED_3+
52,1,0,MIXED_3+,0.757,MIXED_3+
53,1,0,MIXED_3+,0.757,MIXED_3+
54,1,0,MIXED_3+,0.757,MIXED_3+
55,0,0,MIXED_3+,0.757,MIXED_3+
56,1,0,CASCADE_3+,0.757,CASCADE_3+
57,1,0,TWO_BALL,0.816,TWO_BALL
58,1,0,TWO_BALL,0.816,TWO_BALL
59,0,0,TWO_BALL,0.816,TWO_BALL
60,0,0,TWO_BALL,0.816,TWO_BALL
61,0,0,TWO_BALL,0.816,TWO_BALL
62,0,0,TWO_BALL,0.816,TWO_BALL
63,0,0,TWO_BALL,0.816,TWO_BALL
64,0,0,MIXED_3+,0.757,MIXED_3+
65,0,0,MIXED_3+,0.757,MIXED_3+
66,0,0,MIXED_3+,0.757,MIXED_3+
67,0,0,MIXED_3+,0.757,MIXED_3+
68,0,0,MIXED_3+,0.757,MIXED_3+
69,0,0,MIXED_3+,0.757,MIXED_3+
70,0,0,MIXED_3+,0.757,MIXED_3+
71,0,0,MIXED_3+,0.757,MIXED_3+
72,0,1,MIXED_3+,0.757,MIXED_3+
73,0,1,MIXED_3+,0.757,MIXED_3+
74,1,1,MIXED_3+,0.757,MIXED_3+
75,1,1,MIXED_3+,0.757,MIXED_3+
76,1,1,MIXED_3+,0.757,MIXED_3+
77,1,1,MIXED_3+,0.757,MIXED_3+
78,1,0,MIXED_3+,0.757,MIXED_3+
79,0,0,MIXED_3+,0.757,MIXED_3+
80,0,0,TWO_BALL,0.816,TWO_BALL
81,0,0,TWO_BALL,0.816,TWO_BALL
82,0,0,TWO_BALL,0.816,TWO_BALL
83,0,0,TWO_BALL,0.816,TWO_BALL
84,0,0,TWO_BALL,0.816,TWO_BALL
85,0,0,TWO_BALL,0.816,TWO_BALL
86,1,0,TWO_BALL,0.816,TWO_BALL
87,1,1,MIXED_3+,0.822,MIXED_3+
88,1,1,MIXED_3+,0.822,MIXED_3+
89,0,1,MIXED_3+,0.822,MIXED_3+
90,0,1,MIXED_3+,0.822,MIXED_3+
91,0,1,MIXED_3+,0.822,MIXED_3+
92,0,1,MIXED_3+,0.822,MIXED_3+
93,0,0,MIXED_3+,0.822,MIXED_3+
94,0,0,MIXED_3+,0.822,MIXED_3+
95,0,0,MIXED_3+,0.822,MIXED_3+
96,0,0,MIXED_3+,0.822,MIXED_3+
97,0,0,CASCADE_3+,0.822,CASCADE_3+
98,1,1,TWO_BALL,0.816,TWO_BALL
99,1,1,SINGLE_BALL,0.668,SINGLE_BALL
100,1,1,SINGLE_BALL,0.668,SINGLE_BALL
101,1,1,SINGLE_BALL,0.668,SINGLE_BALL
102,1,1,SINGLE_BALL,0.668,SINGLE_BALL
103,1,1,SINGLE_BALL,0.668,SINGLE_BALL
104,1,1,CASCADE_3+,0.844,CASCADE_3+
105,1,0,CASCADE_3+,0.844,CASCADE_3+
106,0,0,CASCADE_3+,0.844,CASCADE_3+
107,0,0,CASCADE_3+,0.844,CASCADE_3+
108,0,0,CASCADE_3+,0.844,CASCADE_3+
109,0,0,CASCADE_3+,0.844,CASCADE_3+
110,0,0,CASCADE_3+,0.844,CASCADE_3+
111,0,1,CASCADE_3+,0.844,CASCADE_3+
112,1,1,CASCADE_3+,0.844,CASCADE_3+
113,1,1,CASCADE_3+,0.844,CASCADE_3+
