frame,L40v2,R40v2,h12_pattern,h12_conf,h41_pattern
2,0,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
3,0,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
4,0,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
5,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
6,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
7,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
8,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
9,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
10,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
11,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
12,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
13,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
14,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
15,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
16,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
17,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
18,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
19,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
20,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
21,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
22,1,1,MIXED_3+_UNCONFIRMED,0.399,MIXED_3+_UNCONFIRMED
23,1,1,MIXED_3+_UNCONFIRMED,0.344,MIXED_3+_UNCONFIRMED
24,0,1,MIXED_3+_UNCONFIRMED,0.344,MIXED_3+_UNCONFIRMED
25,0,1,MIXED_3+_UNCONFIRMED,0.344,MIXED_3+_UNCONFIRMED
26,0,1,MIXED_3+_UNCONFIRMED,0.344,MIXED_3+_UNCONFIRMED
27,0,1,MIXED_3+_UNCONFIRMED,0.344,MIXED_3+_UNCONFIRMED
28,0,0,MIXED_3+_UNCONFIRMED,0.344,MIXED_3+_UNCONFIRMED
29,0,1,MIXED_3+_UNCONFIRMED,0.344,MIXED_3+_UNCONFIRMED
30,0,1,MIXED_3+_UNCONFIRMED,0.344,MIXED_3+_UNCONFIRMED
31,0,1,MIXED_3+_UNCONFIRMED,0.344,MIXED_3+_UNCONFIRMED
32,0,1,MIXED_3+_UNCONFIRMED,0.344,MIXED_3+_UNCONFIRMED
33,0,1,MIXED_3+_UNCONFIRMED,0.344,MIXED_3+_UNCONFIRMED
34,1,1,MIXED_3+_UNCONFIRMED,0.399,MIXED_3+_UNCONFIRMED
35,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
36,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
37,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
38,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
39,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
40,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
41,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
42,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
43,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
44,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
45,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
46,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
47,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
48,1,0,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
49,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
50,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
51,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
52,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
53,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
54,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
55,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
56,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
57,1,0,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
58,1,0,MIXED_3+_UNCONFIRMED,0.33,MIXED_3+_UNCONFIRMED
59,1,0,MIXED_3+_UNCONFIRMED,0.33,MIXED_3+_UNCONFIRMED
60,1,1,MIXED_3+_UNCONFIRMED,0.33,MIXED_3+_UNCONFIRMED
61,1,1,MIXED_3+_UNCONFIRMED,0.33,MIXED_3+_UNCONFIRMED
62,1,1,MIXED_3+_UNCONFIRMED,0.33,MIXED_3+_UNCONFIRMED
63,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
64,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
65,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
66,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
67,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
68,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
69,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
70,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
71,1,1,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
72,1,1,CASCADE_3+,0.665,CASCADE_3+
73,1,1,CASCADE_3+,0.684,CASCADE_3+
74,1,1,CASCADE_3+,0.684,CASCADE_3+
75,1,1,CASCADE_3+,0.684,CASCADE_3+
76,1,1,CASCADE_3+,0.684,CASCADE_3+
77,1,1,CASCADE_3+,0.684,CASCADE_3+
78,1,1,CASCADE_3+,0.684,CASCADE_3+
79,1,1,CASCADE_3+,0.684,CASCADE_3+
80,1,0,CASCADE_3+,0.684,CASCADE_3+
81,1,0,CASCADE_3+,0.684,CASCADE_3+
82,1,0,CASCADE_3+,0.684,CASCADE_3+
83,1,1,MIXED_3+,0.665,MIXED_3+
84,1,1,MIXED_3+,0.665,MIXED_3+
85,0,1,MIXED_3+,0.665,MIXED_3+
86,0,0,MIXED_3+,0.665,MIXED_3+
87,0,0,MIXED_3+,0.665,MIXED_3+
88,0,0,MIXED_3+,0.665,MIXED_3+
89,0,1,MIXED_3+,0.665,MIXED_3+
90,1,1,MIXED_3+,0.665,MIXED_3+
91,1,1,MIXED_3+,0.665,MIXED_3+
92,1,1,MIXED_3+,0.665,MIXED_3+
93,1,1,MIXED_3+,0.665,MIXED_3+
94,1,1,MIXED_3+,0.665,MIXED_3+
95,1,1,MIXED_3+,0.665,MIXED_3+
96,1,1,MIXED_3+,0.665,MIXED_3+
97,1,1,MIXED_3+,0.665,MIXED_3+
98,0,1,MIXED_3+,0.687,MIXED_3+
99,0,0,MIXED_3+,0.687,MIXED_3+
100,1,0,MIXED_3+,0.687,MIXED_3+
101,1,0,MIXED_3+,0.687,MIXED_3+
102,1,0,CASCADE_3+,0.687,CASCADE_3+
103,1,0,CASCADE_3+,0.688,CASCADE_3+
104,1,0,CASCADE_3+,0.688,CASCADE_3+
105,1,0,CASCADE_3+,0.688,CASCADE_3+
106,1,0,CASCADE_3+,0.688,CASCADE_3+
107,1,0,CASCADE_3+,0.688,CASCADE_3+
108,1,0,CASCADE_3+,0.688,CASCADE_3+
109,1,0,CASCADE_3+,0.688,CASCADE_3+
110,0,0,CASCADE_3+,0.688,CASCADE_3+
111,0,0,CASCADE_3+,0.688,CASCADE_3+
112,0,0,CASCADE_3+,0.688,CASCADE_3+
113,0,0,CASCADE_3+,0.688,CASCADE_3+
114,1,1,MIXED_3+,0.687,MIXED_3+
115,1,1,MIXED_3+,0.687,MIXED_3+
116,1,1,MIXED_3+,0.687,MIXED_3+
117,1,1,MIXED_3+,0.718,MIXED_3+
118,1,1,MIXED_3+,0.718,MIXED_3+
119,1,1,MIXED_3+,0.718,MIXED_3+
120,1,1,MIXED_3+,0.718,MIXED_3+
121,0,1,MIXED_3+,0.718,MIXED_3+
122,1,1,MIXED_3+,0.718,MIXED_3+
123,1,1,MIXED_3+,0.718,MIXED_3+
124,1,1,MIXED_3+,0.718,MIXED_3+
125,1,1,MIXED_3+,0.718,MIXED_3+
126,1,1,MIXED_3+,0.718,MIXED_3+
127,1,1,MIXED_3+,0.718,MIXED_3+
128,0,1,MIXED_3+,0.718,MIXED_3+
129,1,0,MIXED_3+,0.718,MIXED_3+
130,1,1,MIXED_3+,0.718,MIXED_3+
131,1,1,MIXED_3+,0.718,MIXED_3+
132,1,1,MIXED_3+,0.718,MIXED_3+
133,1,0,MIXED_3+,0.718,MIXED_3+
134,1,1,MIXED_3+,0.718,MIXED_3+
135,1,1,MIXED_3+,0.718,MIXED_3+
136,1,1,MIXED_3+,0.718,MIXED_3+
137,1,1,MIXED_3+,0.718,MIXED_3+
138,1,1,MIXED_3+,0.718,MIXED_3+
139,1,1,MIXED_3+,0.718,MIXED_3+
140,1,1,MIXED_3+,0.718,MIXED_3+
141,0,0,MIXED_3+,0.718,MIXED_3+
142,1,0,MIXED_3+,0.718,MIXED_3+
143,1,0,MIXED_3+,0.718,MIXED_3+
144,1,1,MIXED_3+,0.718,MIXED_3+
145,1,1,MIXED_3+,0.718,MIXED_3+
146,1,1,MIXED_3+,0.718,MIXED_3+
147,1,1,MIXED_3+,0.718,MIXED_3+
148,1,1,MIXED_3+,0.718,MIXED_3+
149,1,1,MIXED_3+,0.718,MIXED_3+
150,1,1,MIXED_3+,0.718,MIXED_3+
151,1,1,MIXED_3+,0.718,MIXED_3+
152,1,1,MIXED_3+,0.718,MIXED_3+
153,1,1,MIXED_3+,0.718,MIXED_3+
154,1,1,MIXED_3+,0.718,MIXED_3+
155,1,1,MIXED_3+,0.718,MIXED_3+
156,1,0,MIXED_3+,0.718,MIXED_3+
157,1,0,MIXED_3+,0.718,MIXED_3+
158,1,1,MIXED_3+,0.718,MIXED_3+
159,1,1,MIXED_3+,0.718,MIXED_3+
160,1,1,MIXED_3+,0.718,MIXED_3+
161,1,1,MIXED_3+,0.718,MIXED_3+
162,1,1,MIXED_3+,0.718,MIXED_3+
163,1,1,MIXED_3+,0.718,MIXED_3+
164,1,1,MIXED_3+,0.718,MIXED_3+
165,1,1,MIXED_3+,0.718,MIXED_3+
166,1,1,MIXED_3+,0.718,MIXED_3+
167,1,1,MIXED_3+,0.718,MIXED_3+
168,1,1,MIXED_3+,0.718,MIXED_3+
169,0,1,MIXED_3+,0.718,MIXED_3+
170,0,1,MIXED_3+,0.718,MIXED_3+
171,0,1,MIXED_3+,0.718,MIXED_3+
172,0,1,MIXED_3+,0.718,MIXED_3+
173,0,1,MIXED_3+,0.718,MIXED_3+
174,0,1,MIXED_3+,0.718,MIXED_3+
175,0,1,MIXED_3+,0.718,MIXED_3+
176,1,1,MIXED_3+,0.718,MIXED_3+
177,1,1,MIXED_3+,0.718,MIXED_3+
178,1,1,MIXED_3+,0.718,MIXED_3+
179,1,1,MIXED_3+,0.718,MIXED_3+
180,1,1,MIXED_3+,0.718,MIXED_3+
181,1,1,MIXED_3+,0.718,MIXED_3+
182,1,1,MIXED_3+,0.718,MIXED_3+
183,1,1,MIXED_3+,0.718,MIXED_3+
184,1,1,MIXED_3+,0.718,MIXED_3+
185,0,0,MIXED_3+,0.718,MIXED_3+
186,1,0,MIXED_3+,0.718,MIXED_3+
187,1,0,MIXED_3+,0.718,MIXED_3+
188,1,1,MIXED_3+,0.718,MIXED_3+
189,1,1,MIXED_3+,0.718,MIXED_3+
190,1,1,MIXED_3+,0.718,MIXED_3+
191,1,1,MIXED_3+,0.718,MIXED_3+
192,1,0,MIXED_3+,0.718,MIXED_3+
193,1,1,MIXED_3+,0.718,MIXED_3+
194,1,1,MIXED_3+,0.718,MIXED_3+
195,1,1,MIXED_3+,0.718,MIXED_3+
196,1,1,MIXED_3+,0.718,MIXED_3+
197,0,1,MIXED_3+,0.718,MIXED_3+
198,0,1,MIXED_3+,0.718,MIXED_3+
199,0,1,MIXED_3+,0.718,MIXED_3+
200,0,0,MIXED_3+,0.718,MIXED_3+
201,0,1,MIXED_3+,0.718,MIXED_3+
