frame,L42,R42,A42,source,L36,R36,A36,L40v2,R40v2,h12_pattern,h12_conf
0,0,0,5,hold,0,0,5,0,0,,0.0
1,0,0,5,hold,0,0,5,0,0,,0.0
2,0,1,4,h40,0,0,5,0,1,MIXED_3+_UNCONFIRMED,0.333
3,0,1,4,h40,0,0,5,0,1,MIXED_3+_UNCONFIRMED,0.333
4,0,1,4,h40,0,0,5,0,1,MIXED_3+_UNCONFIRMED,0.333
5,1,1,3,h40,0,0,5,1,1,MIXED_3+_UNCONFIRMED,0.333
6,1,1,3,h40,0,0,5,1,1,MIXED_3+_UNCONFIRMED,0.333
7,1,1,3,h40,0,0,5,1,1,MIXED_3+_UNCONFIRMED,0.333
8,1,1,3,h40,0,0,5,1,1,MIXED_3+_UNCONFIRMED,0.333
9,1,1,3,h40,0,0,5,1,1,MIXED_3+_UNCONFIRMED,0.333
10,1,1,3,h40,0,0,5,1,1,MIXED_3+_UNCONFIRMED,0.333
11,1,1,3,h40,0,0,5,1,1,MIXED_3+_UNCONFIRMED,0.333
12,1,1,3,h40,0,0,5,1,1,MIXED_3+_UNCONFIRMED,0.333
13,1,1,3,h40,0,0,5,1,1,MIXED_3+_UNCONFIRMED,0.333
14,1,1,3,h40,0,0,5,1,1,MIXED_3+_UNCONFIRMED,0.333
15,1,1,3,h40,0,0,5,1,1,MIXED_3+_UNCONFIRMED,0.333
16,1,1,3,h40,0,0,5,1,1,MIXED_3+_UNCONFIRMED,0.333
17,1,1,3,h40,0,0,5,1,1,MIXED_3+_UNCONFIRMED,0.333
18,1,1,3,h40,0,0,5,1,1,MIXED_3+_UNCONFIRMED,0.333
19,1,1,3,h40,0,0,5,1,1,MIXED_3+_UNCONFIRMED,0.333
20,1,1,3,h40,0,0,5,1,1,MIXED_3+_UNCONFIRMED,0.333
21,1,1,3,h40,0,0,5,1,1,MIXED_3+_UNCONFIRMED,0.333
22,1,0,4,h36,1,0,4,1,1,MIXED_3+_UNCONFIRMED,0.399
23,1,0,4,h36,1,0,4,1,1,MIXED_3+_UNCONFIRMED,0.344
24,1,0,4,h36,1,0,4,1,1,MIXED_3+_UNCONFIRMED,0.344
25,1,0,4,h36,1,0,4,1,1,MIXED_3+_UNCONFIRMED,0.344
26,1,0,4,h36,1,0,4,1,1,MIXED_3+_UNCONFIRMED,0.344
27,1,0,4,h36,1,0,4,1,1,MIXED_3+_UNCONFIRMED,0.344
28,1,0,4,h36,1,0,4,0,1,MIXED_3+_UNCONFIRMED,0.344
29,1,0,4,h36,1,0,4,0,1,MIXED_3+_UNCONFIRMED,0.344
30,1,0,4,h36,1,0,4,0,1,MIXED_3+_UNCONFIRMED,0.344
31,1,0,4,h36,1,0,4,0,1,MIXED_3+_UNCONFIRMED,0.344
32,1,0,4,h36,1,0,4,0,1,MIXED_3+_UNCONFIRMED,0.344
33,1,0,4,h36,1,0,4,0,1,MIXED_3+_UNCONFIRMED,0.344
34,1,1,3,h40,0,0,5,1,1,MIXED_3+_UNCONFIRMED,0.399
35,1,1,3,h40,0,0,5,1,1,MIXED_3+_UNCONFIRMED,0.333
