frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,h43_pattern
2,2,0,0,2,0.962,TWO_BALL,0.962,TWO_BALL
3,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
4,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
5,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
6,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
7,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
8,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
9,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
10,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
11,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
12,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
13,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
14,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
15,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
16,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
17,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
18,1,0,0,1,0.598,SINGLE_BALL,0.598,SINGLE_BALL
19,1,0,0,1,0.598,SINGLE_BALL,0.598,SINGLE_BALL
20,1,0,0,1,0.598,SINGLE_BALL,0.598,SINGLE_BALL
21,3,0,0,3,0.755,MIXED_3+_UNCONFIRMED,0.378,MIXED_3+_UNCONFIRMED
22,3,0,1,3,0.755,MIXED_3+_UNCONFIRMED,0.453,MIXED_3+_UNCONFIRMED
23,2,0,1,3,0.755,MIXED_3+_UNCONFIRMED,0.453,MIXED_3+_UNCONFIRMED
24,2,0,1,3,0.755,MIXED_3+_UNCONFIRMED,0.453,MIXED_3+_UNCONFIRMED
25,2,0,1,3,0.755,MIXED_3+_UNCONFIRMED,0.453,MIXED_3+_UNCONFIRMED
26,2,0,1,3,0.755,MIXED_3+_UNCONFIRMED,0.453,MIXED_3+_UNCONFIRMED
27,3,0,1,3,0.755,MIXED_3+_UNCONFIRMED,0.453,MIXED_3+_UNCONFIRMED
28,3,0,0,3,0.755,MIXED_3+_UNCONFIRMED,0.378,MIXED_3+_UNCONFIRMED
29,3,0,0,3,0.755,MIXED_3+_UNCONFIRMED,0.378,MIXED_3+_UNCONFIRMED
30,3,0,0,3,0.755,MIXED_3+_UNCONFIRMED,0.378,MIXED_3+_UNCONFIRMED
31,3,1,0,3,0.755,CASCADE_3+,0.755,CASCADE_3+
32,2,0,0,2,0.834,TWO_BALL,0.834,TWO_BALL
33,2,0,0,2,0.834,TWO_BALL,0.834,TWO_BALL
34,1,0,0,1,0.668,SINGLE_BALL,0.668,SINGLE_BALL
35,1,0,0,1,0.668,SINGLE_BALL,0.668,SINGLE_BALL
36,1,0,0,1,0.668,SINGLE_BALL,0.668,SINGLE_BALL
37,1,0,0,1,0.668,SINGLE_BALL,0.668,SINGLE_BALL
38,1,0,0,1,0.668,SINGLE_BALL,0.668,SINGLE_BALL
39,2,0,0,2,0.654,TWO_BALL,0.654,TWO_BALL
40,2,0,0,2,0.654,TWO_BALL,0.654,TWO_BALL
41,2,0,0,2,0.654,TWO_BALL,0.654,TWO_BALL
42,2,0,0,2,0.654,TWO_BALL,0.654,TWO_BALL
43,3,1,0,3,0.635,MIXED_3+,0.635,MIXED_3+
44,3,0,0,3,0.635,MIXED_3+,0.635,MIXED_3+
45,3,0,0,3,0.635,MIXED_3+,0.635,MIXED_3+
46,3,0,0,3,0.635,MIXED_3+,0.635,MIXED_3+
47,2,0,0,2,0.654,TWO_BALL,0.654,TWO_BALL
48,2,0,0,2,0.654,TWO_BALL,0.654,TWO_BALL
49,2,0,0,2,0.654,TWO_BALL,0.654,TWO_BALL
50,2,0,0,2,0.654,TWO_BALL,0.654,TWO_BALL
51,3,0,0,3,0.757,MIXED_3+,0.757,MIXED_3+
52,3,0,0,3,0.757,MIXED_3+,0.757,MIXED_3+
53,3,0,0,3,0.757,MIXED_3+,0.757,MIXED_3+
54,3,0,0,3,0.757,MIXED_3+,0.757,MIXED_3+
55,3,0,0,3,0.757,MIXED_3+,0.757,MIXED_3+
56,3,0,0,3,0.757,CASCADE_3+,0.757,CASCADE_3+
57,2,0,0,2,0.816,TWO_BALL,0.816,TWO_BALL
58,2,0,0,2,0.816,TWO_BALL,0.816,TWO_BALL
59,2,0,0,2,0.816,TWO_BALL,0.816,TWO_BALL
60,2,0,0,2,0.816,TWO_BALL,0.816,TWO_BALL
61,2,0,0,2,0.816,TWO_BALL,0.816,TWO_BALL
62,2,0,0,2,0.816,TWO_BALL,0.816,TWO_BALL
63,2,0,0,2,0.816,TWO_BALL,0.816,TWO_BALL
64,3,0,0,3,0.757,MIXED_3+,0.757,MIXED_3+
