frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,h43_pattern
2,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
3,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
4,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
5,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
6,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
7,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
8,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
9,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
10,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
11,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
12,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
13,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
14,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
15,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
16,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
17,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
18,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
19,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
20,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
21,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
22,5,1,0,5,0.665,MIXED_3+_UNCONFIRMED,0.399,MIXED_3+_UNCONFIRMED
23,4,0,0,4,0.687,MIXED_3+_UNCONFIRMED,0.344,MIXED_3+_UNCONFIRMED
24,4,0,0,4,0.687,MIXED_3+_UNCONFIRMED,0.344,MIXED_3+_UNCONFIRMED
25,4,0,0,4,0.687,MIXED_3+_UNCONFIRMED,0.344,MIXED_3+_UNCONFIRMED
26,4,0,0,4,0.687,MIXED_3+_UNCONFIRMED,0.344,MIXED_3+_UNCONFIRMED
27,4,0,0,4,0.687,MIXED_3+_UNCONFIRMED,0.344,MIXED_3+_UNCONFIRMED
28,4,0,0,4,0.687,MIXED_3+_UNCONFIRMED,0.344,MIXED_3+_UNCONFIRMED
29,4,0,0,4,0.687,MIXED_3+_UNCONFIRMED,0.344,MIXED_3+_UNCONFIRMED
30,4,0,0,4,0.687,MIXED_3+_UNCONFIRMED,0.344,MIXED_3+_UNCONFIRMED
31,4,0,0,4,0.687,MIXED_3+_UNCONFIRMED,0.344,MIXED_3+_UNCONFIRMED
32,4,0,0,4,0.687,MIXED_3+_UNCONFIRMED,0.344,MIXED_3+_UNCONFIRMED
33,4,0,0,4,0.687,MIXED_3+_UNCONFIRMED,0.344,MIXED_3+_UNCONFIRMED
34,5,1,0,5,0.665,MIXED_3+_UNCONFIRMED,0.399,MIXED_3+_UNCONFIRMED
35,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
36,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
37,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
38,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
39,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
40,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
41,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
42,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
43,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
44,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
45,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
46,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
47,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
48,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
49,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
50,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
51,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
52,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
53,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
54,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
55,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
56,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
57,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
58,6,0,0,6,0.66,MIXED_3+_UNCONFIRMED,0.33,MIXED_3+_UNCONFIRMED
59,6,0,0,6,0.66,MIXED_3+_UNCONFIRMED,0.33,MIXED_3+_UNCONFIRMED
60,6,0,0,6,0.66,MIXED_3+_UNCONFIRMED,0.33,MIXED_3+_UNCONFIRMED
61,6,0,0,6,0.66,MIXED_3+_UNCONFIRMED,0.33,MIXED_3+_UNCONFIRMED
62,6,0,0,6,0.66,MIXED_3+_UNCONFIRMED,0.33,MIXED_3+_UNCONFIRMED
63,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
64,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
65,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
66,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
67,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
68,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
69,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
70,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
71,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333,MIXED_3+_UNCONFIRMED
72,5,0,1,5,0.665,CASCADE_3+,0.665,CASCADE_3+
73,4,0,0,4,0.684,CASCADE_3+,0.684,CASCADE_3+
74,4,0,0,4,0.684,CASCADE_3+,0.684,CASCADE_3+
75,4,0,0,4,0.684,CASCADE_3+,0.684,CASCADE_3+
76,4,0,0,4,0.684,CASCADE_3+,0.684,CASCADE_3+
77,4,0,0,4,0.684,CASCADE_3+,0.684,CASCADE_3+
78,4,0,0,4,0.684,CASCADE_3+,0.684,CASCADE_3+
79,4,0,0,4,0.684,CASCADE_3+,0.684,CASCADE_3+
80,4,0,0,4,0.684,CASCADE_3+,0.684,CASCADE_3+
81,4,0,0,4,0.684,CASCADE_3+,0.684,CASCADE_3+
82,4,0,0,4,0.684,CASCADE_3+,0.684,CASCADE_3+
83,5,0,1,5,0.665,MIXED_3+,0.665,MIXED_3+
84,5,0,0,5,0.665,MIXED_3+,0.665,MIXED_3+
85,5,0,0,5,0.665,MIXED_3+,0.665,MIXED_3+
86,5,0,0,5,0.665,MIXED_3+,0.665,MIXED_3+
87,5,0,0,5,0.665,MIXED_3+,0.665,MIXED_3+
88,5,0,0,5,0.665,MIXED_3+,0.665,MIXED_3+
89,5,0,0,5,0.665,MIXED_3+,0.665,MIXED_3+
90,5,0,0,5,0.665,MIXED_3+,0.665,MIXED_3+
91,5,0,0,5,0.665,MIXED_3+,0.665,MIXED_3+
92,5,0,0,5,0.665,MIXED_3+,0.665,MIXED_3+
93,5,0,0,5,0.665,MIXED_3+,0.665,MIXED_3+
