stem,chain_id,throw_tid,throw_frame,next_catch_tid,next_catch_frame,flight_time
identical_balls_trick_000_018,12,23,232,25,235,3
identical_balls_trick_000_018,22,37,533,40,534,1
identical_balls_trick_000_018,22,40,549,41,582,33
identical_balls_trick_000_018,22,41,591,45,622,31
identical_balls_trick_000_018,22,45,631,46,670,39
identical_balls_trick_000_018,23,39,545,47,676,131
identical_balls_trick_000_018,29,52,775,54,780,5
identical_balls_trick_000_018,29,54,797,59,830,33
identical_balls_trick_000_018,29,59,856,61,872,16
identical_balls_trick_000_018,30,60,860,68,964,104
identical_balls_trick_000_018,30,68,970,71,1015,45
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,0,9,114,13,256,142
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,0,13,267,16,327,60
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,3,18,420,30,709,289
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,3,30,715,37,845,130
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,7,14,308,17,375,67
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,7,17,381,24,582,201
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,8,25,606,33,749,143
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,8,33,755,36,818,63
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,9,22,510,26,644,134
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,9,26,656,31,717,61
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,9,31,731,35,789,58
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,9,35,800,38,862,62
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,21,482,29,693,211
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,29,701,34,761,60
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,12,28,678,32,738,60
