stem,chain_id,src_tid,tgt_tid,throw_frame,catch_frame,flight_time,v_in,v_out,in_descending,out_ascending,src_n_pts,tgt_n_pts,verdict
identical_balls_trick_000_018,12,23,25,232,235,3,1.45,14.28,False,True,9,14,BOUNCE_VIOLATION
identical_balls_trick_000_018,22,37,40,533,534,1,-2.03,-4.22,True,False,6,39,BOUNCE_VIOLATION
identical_balls_trick_000_018,22,40,41,549,582,33,-0.31,-0.42,False,False,39,23,BOUNCE_VIOLATION
identical_balls_trick_000_018,22,41,45,591,622,31,-0.73,-0.25,True,False,23,45,BOUNCE_VIOLATION
identical_balls_trick_000_018,22,45,46,631,670,39,3.65,5.7,False,True,45,43,BOUNCE_VIOLATION
identical_balls_trick_000_018,23,39,47,545,676,131,6.31,8.86,False,True,137,87,BOUNCE_VIOLATION
identical_balls_trick_000_018,29,52,54,775,780,5,-8.65,1.28,True,True,11,39,BOUNCE_OK
identical_balls_trick_000_018,29,54,59,797,830,33,-22.43,5.09,True,True,39,19,BOUNCE_OK
identical_balls_trick_000_018,29,59,61,856,872,16,23.02,-26.64,False,False,19,8,BOUNCE_VIOLATION
identical_balls_trick_000_018,30,60,68,860,964,104,-2.35,-29.09,True,False,82,51,BOUNCE_VIOLATION
identical_balls_trick_000_018,30,68,71,970,1015,45,32.51,-30.71,False,False,51,50,BOUNCE_VIOLATION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,0,9,13,114,256,142,8.65,-16.29,False,False,148,64,BOUNCE_VIOLATION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,0,13,16,267,327,60,7.36,-14.06,False,False,64,135,BOUNCE_VIOLATION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,3,18,30,420,709,289,0.55,-10.4,False,False,294,136,BOUNCE_VIOLATION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,3,30,37,715,845,130,6.74,-14.76,False,False,136,46,BOUNCE_VIOLATION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,7,14,17,308,375,67,-0.21,-13.14,False,False,72,205,BOUNCE_VIOLATION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,7,17,24,381,582,201,10.25,-2.07,False,False,205,68,BOUNCE_VIOLATION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,8,25,33,606,749,143,6.88,-13.77,False,False,149,66,BOUNCE_VIOLATION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,8,33,36,755,818,63,7.83,-13.87,False,False,66,75,BOUNCE_VIOLATION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,9,22,26,510,644,134,7.32,-13.98,False,False,140,67,BOUNCE_VIOLATION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,9,26,31,656,717,61,6.49,-15.95,False,False,67,64,BOUNCE_VIOLATION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,9,31,35,731,789,58,8.91,-13.43,False,False,64,67,BOUNCE_VIOLATION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,9,35,38,800,862,62,4.99,-14.14,False,False,67,31,BOUNCE_VIOLATION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,21,29,482,693,211,2.42,-13.59,False,False,217,66,BOUNCE_VIOLATION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,29,34,701,761,60,6.62,-10.84,False,False,66,131,BOUNCE_VIOLATION
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,12,28,32,678,738,60,-3.48,-13.71,True,False,65,141,BOUNCE_VIOLATION
