chain_id,from_tid,to_tid,gap_frames,f_catch,f_throw,h50_drop,h52_min2_drop,h52_verdict,v_disc,src_n,tgt_n
2,3,8,12,31,43,False,True,VIOLATING,34.665,28,4
4,5,6,5,22,27,True,True,VIOLATING,27.986,2,91
8,11,14,29,97,126,False,True,VIOLATING,35.59,11,32
13,17,23,25,207,232,False,True,VIOLATING,19.544,36,4
13,23,25,8,235,243,True,True,VIOLATING,9.875,4,6
16,22,27,11,252,263,False,True,VIOLATING,41.133,32,45
19,29,34,11,460,471,False,True,VIOLATING,13.24,63,2
20,30,33,11,450,461,False,False,OK,2.549,48,8
23,35,37,11,522,533,False,False,OK,1.299,14,2
23,37,40,15,534,549,False,True,VIOLATING,11.051,2,33
23,40,41,9,582,591,True,False,OK,4.899,33,14
23,43,45,9,622,631,True,False,OK,4.555,2,40
23,45,46,9,670,679,True,False,OK,2.45,40,30
24,38,39,11,534,545,False,True,VIOLATING,14.178,2,127
24,39,47,9,676,685,True,False,OK,1.385,127,72
30,51,52,9,766,775,True,True,VIOLATING,18.111,2,6
30,52,54,17,780,797,False,False,OK,1.497,6,31
30,54,59,26,830,856,False,True,VIOLATING,31.006,31,11
30,59,63,18,872,890,False,True,VIOLATING,70.288,11,52
31,53,60,21,839,860,False,True,VIOLATING,81.083,47,71
31,64,68,6,964,970,True,True,VIOLATING,27.953,18,37
31,68,71,14,1015,1029,False,True,VIOLATING,77.168,37,43
36,62,66,9,948,957,True,True,VIOLATING,14.468,50,6
38,70,74,6,1050,1056,True,False,OK,2.094,19,22
40,72,73,4,1050,1054,True,False,OK,4.791,22,6
