chain_id,from_tid,to_tid,gap_frames,f_catch,f_throw,h50_drop,h52_min2_drop,h52_verdict,v_disc,src_n,tgt_n
0,1,9,12,102,114,False,True,VIOLATING,15.849,96,132
0,9,13,11,256,267,False,True,VIOLATING,27.871,132,56
0,13,16,12,327,339,False,True,VIOLATING,27.372,56,126
0,16,21,14,468,482,False,True,VIOLATING,27.67,126,191
0,21,29,8,693,701,True,True,VIOLATING,16.824,191,48
0,29,34,8,761,769,True,True,VIOLATING,22.929,48,120
1,2,8,11,72,83,False,True,VIOLATING,23.929,62,311
2,3,6,12,22,34,False,True,VIOLATING,27.283,21,59
3,4,18,9,411,420,True,True,VIOLATING,24.747,358,260
3,18,30,6,709,715,True,True,VIOLATING,14.96,260,119
3,30,37,9,845,854,True,True,VIOLATING,23.142,119,44
6,10,12,17,238,255,False,True,VIOLATING,34.557,116,54
7,11,14,9,299,308,True,True,VIOLATING,27.198,50,59
7,14,17,6,375,381,True,True,VIOLATING,16.17,59,184
7,17,24,9,582,591,True,True,VIOLATING,23.839,184,58
8,15,25,11,595,606,False,True,VIOLATING,27.036,247,122
8,25,33,6,749,755,True,True,VIOLATING,22.214,122,55
8,33,36,7,818,825,True,True,VIOLATING,26.172,55,64
9,19,22,12,498,510,False,True,VIOLATING,25.117,51,125
9,22,26,12,644,656,False,True,VIOLATING,26.642,125,57
9,26,31,14,717,731,False,True,VIOLATING,28.908,57,57
9,31,35,11,789,800,False,True,VIOLATING,25.325,57,55
9,35,38,7,862,869,True,True,VIOLATING,22.147,55,30
12,27,28,8,670,678,True,False,INSUFFICIENT_DATA,0.0,1,53
12,28,32,5,738,743,True,True,VIOLATING,13.462,53,120
