chain_id,from_tid,to_tid,flight_time,h50_drop,h52_min2_drop,h52_verdict,v_disc,src_n,tgt_n
0,9,13,154,False,True,VIOLATING,93.651,132,56
0,13,16,71,False,True,VIOLATING,54.512,56,126
0,16,21,141,False,True,VIOLATING,86.09,126,191
0,21,29,225,False,True,VIOLATING,116.644,191,48
0,29,34,68,False,True,VIOLATING,50.529,48,120
3,18,30,298,False,True,VIOLATING,149.28,260,119
3,30,37,136,False,True,VIOLATING,81.562,119,44
7,14,17,76,False,True,VIOLATING,48.37,59,184
7,17,24,207,False,True,VIOLATING,114.919,184,58
8,25,33,154,False,True,VIOLATING,90.294,122,55
8,33,36,69,False,True,VIOLATING,54.692,55,64
9,22,26,146,False,True,VIOLATING,88.282,125,57
9,26,31,73,False,True,VIOLATING,56.048,57,57
9,31,35,72,False,True,VIOLATING,53.385,57,55
9,35,38,73,False,True,VIOLATING,52.507,55,30
12,28,32,68,False,True,VIOLATING,42.442,53,120
