chain_id,n_tracklets,n_arcs_total,n_arcs_clean,g_mean_all,g_mean_clean,g_std_clean,g_cv_clean,h10_quality_v10
0,1,1,0,-2.136,,,,1.0
1,1,1,0,-0.077,,,,0.9238
2,2,3,3,1.366,1.366,0.755,0.553,0.5977
3,1,1,1,1.004,1.004,,,1.0
4,2,5,5,1.033,1.033,0.64,0.619,0.6683
5,2,3,1,-0.617,0.089,,,0.64
6,1,3,2,0.576,1.34,1.151,0.859,0.9635
7,2,4,3,0.847,1.302,0.938,0.72,0.8356
8,1,3,2,0.68,1.266,1.04,0.821,0.9619
9,1,3,1,0.385,1.233,,,0.9015
10,1,2,1,-0.036,0.845,,,1.0
11,1,1,1,0.732,0.732,,,0.9365
12,3,5,1,-0.57,0.087,,,0.5044
13,1,3,2,0.529,0.903,0.581,0.643,0.9714
14,2,2,2,0.857,0.857,0.933,1.089,0.4538
15,3,3,2,1.129,1.74,0.569,0.327,0.316
16,1,2,2,1.006,1.006,1.278,1.27,0.9583
17,1,2,0,-0.225,,,,0.9109
18,3,4,2,0.057,0.133,0.021,0.16,0.6022
19,2,2,1,-0.111,0.104,,,0.8669
20,2,3,3,0.113,0.113,0.004,0.037,0.9076
21,1,1,0,-0.238,,,,1.0
22,7,8,4,0.184,0.385,0.591,1.537,0.5584
23,3,4,2,-0.022,0.126,0.019,0.15,0.6451
24,1,1,1,0.129,0.129,,,0.8857
25,1,2,2,0.233,0.233,0.215,0.924,0.9381
26,1,2,0,0.002,,,,1.0
27,1,0,0,,,,,1.0
28,2,3,2,0.315,0.775,0.913,1.179,0.6685
29,5,5,4,0.391,0.84,0.698,0.831,0.5767
30,5,10,8,1.002,1.433,0.597,0.417,0.4053
31,1,2,1,-0.742,0.266,,,1.0
32,1,2,2,2.138,2.138,0.913,0.427,0.9443
33,1,0,0,,,,,1.0
34,2,6,2,-0.015,0.912,0.962,1.055,0.58
35,1,2,1,0.884,2.088,,,0.9688
36,1,1,1,1.412,1.412,,,1.0
37,3,6,6,0.942,0.942,0.8,0.849,0.3236
38,1,4,2,-0.066,0.173,0.115,0.664,0.9664
39,2,4,3,0.399,0.521,0.528,1.014,0.6613
40,1,1,0,-1.067,,,,1.0
41,1,0,0,,,,,1.0
