chain_id,n_tracklets,n_arcs_total,n_arcs_clean,g_mean_all,g_mean_clean,g_std_clean,g_cv_clean,h10_quality_v10
0,4,13,13,0.402,0.402,0.163,0.405,0.6827
1,2,12,12,0.417,0.417,0.21,0.503,0.5889
2,2,3,3,0.358,0.358,0.23,0.642,0.5776
3,4,27,27,0.466,0.466,0.39,0.837,0.68
4,1,7,6,0.206,0.351,0.193,0.552,0.7962
5,1,0,0,,,,,0.6333
6,2,6,6,0.466,0.466,0.199,0.427,0.8406
7,4,13,13,0.552,0.552,0.47,0.852,0.6156
8,4,17,16,0.263,0.398,0.192,0.481,0.6756
9,6,13,13,0.412,0.412,0.23,0.56,0.6145
10,4,13,11,0.349,0.409,0.183,0.447,0.6071
11,1,0,0,,,,,0.8333
12,3,7,6,0.711,0.834,0.983,1.179,0.6176
13,1,1,1,0.834,0.834,,,0.7333
14,1,1,1,0.752,0.752,,,0.8333
