tid,n_arcs,arc_idx,g,n_pts,residual,f_start,f_end,is_clean
1,1,0,-2.136,21,101.68,2,22,False
2,1,0,-0.077,21,19.23,2,22,False
3,2,0,2.126,13,2.05,3,15,True
3,2,1,1.356,21,36.92,16,36,True
4,1,0,1.004,18,21.13,21,38,True
6,5,0,2.048,14,2.05,27,40,True
6,5,1,0.655,27,356.3,41,67,True
6,5,2,1.236,25,269.85,67,91,True
6,5,3,0.425,28,509.28,91,118,True
6,5,4,0.802,10,15.96,118,127,True
7,2,0,-1.416,14,23.89,39,52,False
7,2,1,-0.525,9,0.94,53,61,False
8,1,0,0.616,9,4.7,43,51,True
9,3,0,2.154,14,1.77,51,64,True
9,3,1,0.526,27,297.84,65,91,True
9,3,2,-0.953,13,69.57,91,103,False
10,1,0,0.089,21,111.86,64,84,True
11,2,0,-0.517,6,0.27,87,92,False
11,2,1,0.242,10,2.82,93,102,True
12,3,0,2.002,12,1.17,104,115,True
12,3,1,0.531,27,494.21,116,142,True
12,3,2,-0.491,13,22.67,142,154,False
13,3,0,1.233,14,11.1,104,117,True
13,3,1,-0.007,11,13.68,118,128,False
13,3,2,-0.073,11,2.41,128,138,False
14,2,0,2.023,17,3.5,126,142,True
14,2,1,1.641,23,55.7,143,165,True
15,2,0,-0.917,7,7.47,138,144,False
15,2,1,0.845,10,23.35,145,154,True
16,1,0,0.732,15,15.47,157,171,True
17,3,0,-0.72,9,0.09,165,173,False
17,3,1,0.087,25,414.19,174,198,True
17,3,2,-1.621,15,66.65,198,212,False
18,3,0,1.314,5,0.06,166,170,True
18,3,1,0.492,29,670.93,171,199,True
18,3,2,-0.218,13,7.22,199,211,False
19,1,0,1.517,27,59.58,174,200,True
20,1,0,0.197,12,9.08,202,213,True
22,2,0,2.142,10,1.62,220,229,True
22,2,1,1.337,28,121.5,230,257,True
23,1,0,-0.069,9,0.49,232,240,False
24,2,0,1.909,23,39.36,232,254,True
24,2,1,0.102,79,2.59,255,333,True
25,1,0,-0.524,14,18.44,243,256,False
26,2,0,-0.498,12,0.15,257,268,False
26,2,1,0.048,71,93.67,269,339,False
27,1,0,-0.091,55,111.68,263,317,False
28,3,0,0.148,43,0.63,333,375,True
28,3,1,-0.038,7,0.0,376,382,False
28,3,2,0.0,6,0.0,382,387,False
29,1,0,0.118,75,5.97,391,465,True
30,1,0,0.104,57,0.76,399,455,True
31,2,0,0.108,89,13.53,411,499,True
31,2,1,0.117,28,1.05,500,527,True
32,1,0,-0.238,9,0.47,425,433,False
33,1,0,-0.327,17,3.3,461,477,False
35,1,0,-0.11,21,0.55,507,527,False
36,1,0,0.114,49,2.27,533,581,True
39,2,0,0.113,79,1.45,545,623,True
39,2,1,0.139,58,1.58,624,681,True
40,1,0,0.107,39,0.54,549,587,True
41,1,0,-0.025,23,0.23,591,613,False
42,1,0,0.129,10,0.6,593,602,True
44,2,0,0.081,91,120.91,623,713,True
44,2,1,0.385,72,2072.08,714,785,True
45,2,0,0.048,5,0.0,631,635,False
45,2,1,0.103,40,0.57,636,675,True
46,3,0,0.057,27,2.03,679,705,True
46,3,1,1.271,5,0.02,706,710,True
46,3,2,0.021,12,0.6,710,721,False
47,2,0,-0.131,59,13.25,685,743,False
47,2,1,-0.208,28,7.27,744,771,False
48,2,0,-0.001,8,0.0,691,698,False
48,2,1,0.004,7,0.0,699,705,False
50,3,0,0.129,5,0.0,733,737,True
50,3,1,-0.604,56,877.44,738,793,False
50,3,2,1.42,18,38.84,793,810,True
52,1,0,0.413,11,1.64,775,785,True
53,2,0,0.743,29,766.95,791,819,True
53,2,1,1.706,25,51.61,820,844,True
54,2,0,0.128,26,400.95,797,822,True
54,2,1,-1.405,13,100.44,823,835,False
56,2,0,-1.75,10,4.75,814,823,False
56,2,1,0.266,11,27.87,824,834,True
57,2,0,2.784,12,10.21,839,850,True
57,2,1,1.493,35,523.13,851,885,True
59,1,0,1.163,19,21.73,856,874,True
60,3,0,2.25,15,2.58,860,874,True
60,3,1,1.102,27,503.63,875,901,True
60,3,2,0.588,41,2170.8,901,941,True
61,1,0,1.658,8,5.41,883,890,True
62,5,0,1.592,17,28.27,885,901,True
62,5,1,-0.343,6,7.33,902,907,False
62,5,2,0.231,6,0.28,907,912,True
62,5,3,-0.452,29,547.83,912,940,False
62,5,4,-0.761,14,20.48,940,953,False
63,2,0,2.088,19,2.97,890,908,True
63,2,1,-0.32,42,735.34,909,950,False
64,1,0,-1.297,26,652.56,944,969,False
65,1,0,1.412,20,42.55,956,975,True
66,1,0,-0.356,13,1.33,957,969,False
67,2,0,0.507,27,353.23,968,994,True
67,2,1,0.958,31,536.08,995,1025,True
68,2,0,1.727,24,59.16,970,993,True
68,2,1,1.32,27,58.06,994,1020,True
69,4,0,-0.605,6,0.64,977,982,False
69,4,1,0.254,5,0.09,983,987,True
69,4,2,-0.004,12,14.15,987,998,False
69,4,3,0.092,19,16.5,998,1016,True
70,2,0,0.138,16,32.15,1029,1044,True
70,2,1,0.239,11,38.98,1045,1055,True
71,2,0,2.029,19,2.89,1029,1047,True
71,2,1,-0.148,31,1071.83,1048,1078,False
72,3,0,1.112,5,0.07,1029,1033,True
72,3,1,0.035,13,12.41,1034,1046,False
72,3,2,0.354,10,2.23,1046,1055,True
73,1,0,0.096,12,0.74,1054,1065,True
74,2,0,1.986,12,1.55,1056,1067,True
74,2,1,1.824,11,0.02,1068,1078,True
75,1,0,-1.067,9,1.58,1070,1078,False
