tid,n_arcs,arc_idx,g,n_pts,residual,f_start,f_end,is_clean
1,3,0,0.273,43,164.81,2,44,True
1,3,1,0.492,34,44.29,45,78,True
1,3,2,0.494,30,5.02,78,107,True
2,2,0,0.561,33,63.15,2,34,True
2,2,1,0.164,43,176.08,35,77,True
3,1,0,0.141,26,21.41,2,27,True
4,12,0,0.615,21,0.24,2,22,True
4,12,1,0.204,37,130.31,23,59,True
4,12,2,0.509,33,67.55,59,91,True
4,12,3,0.231,39,132.17,91,129,True
4,12,4,0.485,35,91.03,129,163,True
4,12,5,0.225,40,110.15,163,202,True
4,12,6,0.58,35,33.45,202,236,True
4,12,7,0.234,39,90.73,236,274,True
4,12,8,0.564,34,17.56,274,307,True
4,12,9,0.232,39,99.75,307,345,True
4,12,10,0.533,35,55.06,345,379,True
4,12,11,0.201,38,91.41,379,416,True
5,7,0,-0.665,13,0.14,2,14,False
5,7,1,0.488,35,77.4,15,49,True
5,7,2,0.251,38,95.46,49,86,True
5,7,3,0.414,36,117.18,86,121,True
5,7,4,0.148,41,229.52,121,161,True
5,7,5,0.634,32,6.47,161,192,True
5,7,6,0.17,40,139.44,192,231,True
6,2,0,0.599,31,8.06,34,64,True
6,2,1,0.335,38,60.0,65,102,True
8,10,0,0.667,24,1.39,83,106,True
8,10,1,0.218,39,86.73,107,145,True
8,10,2,0.58,33,17.1,145,177,True
8,10,3,0.212,42,131.29,177,218,True
8,10,4,0.632,34,22.5,218,251,True
8,10,5,0.302,39,99.94,251,289,True
8,10,6,0.583,34,13.74,289,322,True
8,10,7,0.174,41,168.33,322,362,True
8,10,8,0.655,33,9.26,362,394,True
8,10,9,0.256,38,76.54,394,431,True
9,4,0,0.407,34,115.06,114,147,True
9,4,1,0.219,40,132.04,148,187,True
9,4,2,0.54,35,56.75,187,221,True
9,4,3,0.237,41,117.81,221,261,True
10,4,0,0.664,18,0.24,117,134,True
10,4,1,0.196,39,80.71,135,173,True
10,4,2,0.577,34,20.64,173,206,True
10,4,3,0.383,36,36.65,206,241,True
11,2,0,0.69,13,0.44,247,259,True
11,2,1,0.191,45,177.79,260,304,True
12,2,0,0.67,23,2.28,255,277,True
12,2,1,0.308,37,54.32,278,314,True
13,2,0,0.631,25,1.85,267,291,True
13,2,1,0.188,39,112.53,292,330,True
14,3,0,0.656,25,3.88,308,332,True
14,3,1,0.243,41,153.24,333,373,True
14,3,2,1.993,7,2.44,373,379,True
15,8,0,0.634,20,0.36,329,348,True
15,8,1,0.188,40,166.48,349,388,True
15,8,2,0.531,35,52.58,388,422,True
15,8,3,0.247,39,122.46,422,460,True
15,8,4,0.494,33,63.7,460,492,True
15,8,5,0.264,39,106.49,492,530,True
15,8,6,0.495,36,56.38,530,565,True
15,8,7,0.319,36,48.85,565,600,True
16,4,0,0.66,25,0.94,339,363,True
16,4,1,0.272,39,101.18,364,402,True
16,4,2,0.511,34,48.05,402,435,True
