chain_id,n_tracklets,is_multi,n_arcs_total,n_arcs_clean,g_mean_clean,g_std_clean,g_cv_clean,h10_quality_v10,h11_label
0,1,False,1,0,,,,1.0,CONFIDENT
1,1,False,1,0,,,,0.9238,CONFIDENT
2,2,True,3,3,1.366,0.755,0.553,0.5977,UNCERTAIN
3,1,False,1,1,1.004,,,1.0,CONFIDENT
4,2,True,5,5,1.033,0.64,0.619,0.6683,UNCERTAIN
5,2,True,3,1,0.089,,,0.64,UNCERTAIN
6,1,False,3,2,1.34,1.151,0.859,0.9635,CONFIDENT
7,2,True,4,3,1.302,0.938,0.72,0.8356,CONFIDENT
8,1,False,3,2,1.266,1.04,0.821,0.9619,CONFIDENT
9,1,False,3,1,1.233,,,0.9015,CONFIDENT
10,1,False,2,1,0.845,,,1.0,CONFIDENT
11,1,False,1,1,0.732,,,0.9365,CONFIDENT
12,3,True,5,1,0.087,,,0.5044,UNCERTAIN
13,1,False,3,2,0.903,0.581,0.643,0.9714,CONFIDENT
14,2,True,2,2,0.857,0.933,1.089,0.4538,UNCERTAIN
15,3,True,3,2,1.74,0.569,0.327,0.316,LOW
16,1,False,2,2,1.006,1.278,1.27,0.9583,CONFIDENT
17,1,False,2,0,,,,0.9109,CONFIDENT
18,3,True,4,2,0.133,0.021,0.16,0.6022,UNCERTAIN
19,2,True,2,1,0.104,,,0.8669,CONFIDENT
20,2,True,3,3,0.113,0.004,0.037,0.9076,CONFIDENT
21,1,False,1,0,,,,1.0,CONFIDENT
22,7,True,8,4,0.385,0.591,1.537,0.5584,UNCERTAIN
23,3,True,4,2,0.126,0.019,0.15,0.6451,UNCERTAIN
24,1,False,1,1,0.129,,,0.8857,CONFIDENT
25,1,False,2,2,0.233,0.215,0.924,0.9381,CONFIDENT
26,1,False,2,0,,,,1.0,CONFIDENT
27,1,False,0,0,,,,1.0,CONFIDENT
28,2,True,3,2,0.775,0.913,1.179,0.6685,UNCERTAIN
29,5,True,5,4,0.84,0.698,0.831,0.5767,UNCERTAIN
30,5,True,10,8,1.433,0.597,0.417,0.4053,UNCERTAIN
31,1,False,2,1,0.266,,,1.0,CONFIDENT
32,1,False,2,2,2.138,0.913,0.427,0.9443,CONFIDENT
33,1,False,0,0,,,,1.0,CONFIDENT
34,2,True,6,2,0.912,0.962,1.055,0.58,UNCERTAIN
35,1,False,2,1,2.088,,,0.9688,CONFIDENT
36,1,False,1,1,1.412,,,1.0,CONFIDENT
37,3,True,6,6,0.942,0.8,0.849,0.3236,LOW
38,1,False,4,2,0.173,0.115,0.664,0.9664,CONFIDENT
39,2,True,4,3,0.521,0.528,1.014,0.6613,UNCERTAIN
40,1,False,1,0,,,,1.0,CONFIDENT
41,1,False,0,0,,,,1.0,CONFIDENT
