chain_id,event,tid,prev_tid,event_frame,gap_frames,hand,edge_type,q11,q11_label
4,CATCH,6,5,22,5,right,RECLASSIFIED_HAND_TRANSITION,0.5969,UNCERTAIN
4,THROW,6,5,27,5,right,RECLASSIFIED_HAND_TRANSITION,0.5969,UNCERTAIN
2,CATCH,8,3,31,12,left,RECLASSIFIED_HAND_TRANSITION,0.5659,UNCERTAIN
2,THROW,8,3,43,12,left,RECLASSIFIED_HAND_TRANSITION,0.5659,UNCERTAIN
8,CATCH,14,11,97,29,right,AMBIGUOUS_HAND_TRANSITION,0.9619,CONFIDENT
8,THROW,14,11,126,29,right,AMBIGUOUS_HAND_TRANSITION,0.9619,CONFIDENT
13,CATCH,23,17,207,25,right,HAND_TRANSITION,0.9714,CONFIDENT
13,THROW,23,17,232,25,right,HAND_TRANSITION,0.9714,CONFIDENT
13,CATCH,25,23,235,8,unknown,V_RECLASSIFIED_HAND_TRANSITION,0.9714,CONFIDENT
13,THROW,25,23,243,8,unknown,V_RECLASSIFIED_HAND_TRANSITION,0.9714,CONFIDENT
16,CATCH,27,22,252,11,left,RECLASSIFIED_HAND_TRANSITION,0.9583,CONFIDENT
16,THROW,27,22,263,11,left,RECLASSIFIED_HAND_TRANSITION,0.9583,CONFIDENT
20,CATCH,33,30,450,11,unknown,V_RECLASSIFIED_HAND_TRANSITION,0.9076,CONFIDENT
19,CATCH,34,29,460,11,left,RECLASSIFIED_HAND_TRANSITION,0.8669,CONFIDENT
20,THROW,33,30,461,11,unknown,V_RECLASSIFIED_HAND_TRANSITION,0.9076,CONFIDENT
19,THROW,34,29,471,11,left,RECLASSIFIED_HAND_TRANSITION,0.8669,CONFIDENT
23,CATCH,37,35,522,11,left,RECLASSIFIED_HAND_TRANSITION,0.6451,UNCERTAIN
23,THROW,37,35,533,11,left,RECLASSIFIED_HAND_TRANSITION,0.6451,UNCERTAIN
23,CATCH,40,37,534,15,left,RECLASSIFIED_HAND_TRANSITION,0.6451,UNCERTAIN
24,CATCH,39,38,534,11,right,RECLASSIFIED_HAND_TRANSITION,0.8857,CONFIDENT
24,THROW,39,38,545,11,right,RECLASSIFIED_HAND_TRANSITION,0.8857,CONFIDENT
23,THROW,40,37,549,15,left,RECLASSIFIED_HAND_TRANSITION,0.6451,UNCERTAIN
23,CATCH,41,40,582,9,right,RECLASSIFIED_HAND_TRANSITION,0.6451,UNCERTAIN
23,THROW,41,40,591,9,right,RECLASSIFIED_HAND_TRANSITION,0.6451,UNCERTAIN
23,CATCH,45,43,622,9,right,RECLASSIFIED_HAND_TRANSITION,0.6451,UNCERTAIN
23,THROW,45,43,631,9,right,RECLASSIFIED_HAND_TRANSITION,0.6451,UNCERTAIN
23,CATCH,46,45,670,9,left,RECLASSIFIED_HAND_TRANSITION,0.6451,UNCERTAIN
24,CATCH,47,39,676,9,unknown,V_RECLASSIFIED_HAND_TRANSITION,0.8857,CONFIDENT
23,THROW,46,45,679,9,left,RECLASSIFIED_HAND_TRANSITION,0.6451,UNCERTAIN
24,THROW,47,39,685,9,unknown,V_RECLASSIFIED_HAND_TRANSITION,0.8857,CONFIDENT
30,CATCH,52,51,766,9,unknown,V_RECLASSIFIED_HAND_TRANSITION,0.4053,UNCERTAIN
30,THROW,52,51,775,9,unknown,V_RECLASSIFIED_HAND_TRANSITION,0.4053,UNCERTAIN
30,CATCH,54,52,780,17,right,HAND_TRANSITION,0.4053,UNCERTAIN
30,THROW,54,52,797,17,right,HAND_TRANSITION,0.4053,UNCERTAIN
30,CATCH,59,54,830,26,right,AMBIGUOUS_HAND_TRANSITION,0.4053,UNCERTAIN
31,CATCH,60,53,839,21,right,HAND_TRANSITION,1.0,CONFIDENT
30,THROW,59,54,856,26,right,AMBIGUOUS_HAND_TRANSITION,0.4053,UNCERTAIN
31,THROW,60,53,860,21,right,HAND_TRANSITION,1.0,CONFIDENT
30,CATCH,63,59,872,18,right,AMBIGUOUS_HAND_TRANSITION,0.4053,UNCERTAIN
30,THROW,63,59,890,18,right,AMBIGUOUS_HAND_TRANSITION,0.4053,UNCERTAIN
36,CATCH,66,62,948,9,right,RECLASSIFIED_HAND_TRANSITION,1.0,CONFIDENT
36,THROW,66,62,957,9,right,RECLASSIFIED_HAND_TRANSITION,1.0,CONFIDENT
31,CATCH,68,64,964,6,right,RECLASSIFIED_HAND_TRANSITION,1.0,CONFIDENT
31,THROW,68,64,970,6,right,RECLASSIFIED_HAND_TRANSITION,1.0,CONFIDENT
31,CATCH,71,68,1015,14,right,HAND_TRANSITION,1.0,CONFIDENT
31,THROW,71,68,1029,14,right,HAND_TRANSITION,1.0,CONFIDENT
38,CATCH,74,70,1050,6,left,HAND_TRANSITION,0.9664,CONFIDENT
40,CATCH,73,72,1050,4,right,HAND_TRANSITION,1.0,CONFIDENT
40,THROW,73,72,1054,4,right,HAND_TRANSITION,1.0,CONFIDENT
38,THROW,74,70,1056,6,left,HAND_TRANSITION,0.9664,CONFIDENT
