chain_id,event,tid,prev_tid,event_frame,gap_frames,hand,edge_type,q11,q11_label
2,CATCH,6,3,22,12,left,RECLASSIFIED_HAND_TRANSITION,0.4924,UNCERTAIN
2,THROW,6,3,34,12,left,RECLASSIFIED_HAND_TRANSITION,0.4924,UNCERTAIN
1,CATCH,8,2,72,11,right,RECLASSIFIED_HAND_TRANSITION,0.5871,UNCERTAIN
1,THROW,8,2,83,11,right,RECLASSIFIED_HAND_TRANSITION,0.5871,UNCERTAIN
0,CATCH,9,1,102,12,left,RECLASSIFIED_HAND_TRANSITION,0.6827,UNCERTAIN
0,THROW,9,1,114,12,left,RECLASSIFIED_HAND_TRANSITION,0.6827,UNCERTAIN
6,CATCH,12,10,238,17,right,HAND_TRANSITION,0.8406,CONFIDENT
6,THROW,12,10,255,17,right,HAND_TRANSITION,0.8406,CONFIDENT
0,CATCH,13,9,256,11,left,RECLASSIFIED_HAND_TRANSITION,0.6827,UNCERTAIN
0,THROW,13,9,267,11,left,RECLASSIFIED_HAND_TRANSITION,0.6827,UNCERTAIN
7,CATCH,14,11,299,9,right,RECLASSIFIED_HAND_TRANSITION,0.4044,UNCERTAIN
7,THROW,14,11,308,9,right,RECLASSIFIED_HAND_TRANSITION,0.4044,UNCERTAIN
0,CATCH,16,13,327,12,right,RECLASSIFIED_HAND_TRANSITION,0.6827,UNCERTAIN
0,THROW,16,13,339,12,right,RECLASSIFIED_HAND_TRANSITION,0.6827,UNCERTAIN
7,CATCH,17,14,375,6,left,RECLASSIFIED_HAND_TRANSITION,0.4044,UNCERTAIN
7,THROW,17,14,381,6,left,RECLASSIFIED_HAND_TRANSITION,0.4044,UNCERTAIN
3,CATCH,18,4,411,9,right,RECLASSIFIED_HAND_TRANSITION,0.4778,UNCERTAIN
3,THROW,18,4,420,9,right,RECLASSIFIED_HAND_TRANSITION,0.4778,UNCERTAIN
0,CATCH,21,16,468,14,right,RECLASSIFIED_HAND_TRANSITION,0.6827,UNCERTAIN
0,THROW,21,16,482,14,right,RECLASSIFIED_HAND_TRANSITION,0.6827,UNCERTAIN
9,CATCH,22,19,498,12,right,RECLASSIFIED_HAND_TRANSITION,0.5785,UNCERTAIN
9,THROW,22,19,510,12,right,RECLASSIFIED_HAND_TRANSITION,0.5785,UNCERTAIN
7,CATCH,24,17,582,9,right,RECLASSIFIED_HAND_TRANSITION,0.4044,UNCERTAIN
7,THROW,24,17,591,9,right,RECLASSIFIED_HAND_TRANSITION,0.4044,UNCERTAIN
8,CATCH,25,15,595,11,left,RECLASSIFIED_HAND_TRANSITION,0.6756,UNCERTAIN
8,THROW,25,15,606,11,left,RECLASSIFIED_HAND_TRANSITION,0.6756,UNCERTAIN
9,CATCH,26,22,644,12,right,RECLASSIFIED_HAND_TRANSITION,0.5785,UNCERTAIN
9,THROW,26,22,656,12,right,RECLASSIFIED_HAND_TRANSITION,0.5785,UNCERTAIN
12,CATCH,28,27,670,8,unknown,V_RECLASSIFIED_HAND_TRANSITION,0.3176,LOW
12,THROW,28,27,678,8,unknown,V_RECLASSIFIED_HAND_TRANSITION,0.3176,LOW
0,CATCH,29,21,693,8,left,RECLASSIFIED_HAND_TRANSITION,0.6827,UNCERTAIN
0,THROW,29,21,701,8,left,RECLASSIFIED_HAND_TRANSITION,0.6827,UNCERTAIN
3,CATCH,30,18,709,6,right,RECLASSIFIED_HAND_TRANSITION,0.4778,UNCERTAIN
3,THROW,30,18,715,6,right,RECLASSIFIED_HAND_TRANSITION,0.4778,UNCERTAIN
9,CATCH,31,26,717,14,left,RECLASSIFIED_HAND_TRANSITION,0.5785,UNCERTAIN
9,THROW,31,26,731,14,left,RECLASSIFIED_HAND_TRANSITION,0.5785,UNCERTAIN
12,CATCH,32,28,738,5,right,RECLASSIFIED_HAND_TRANSITION,0.3176,LOW
12,THROW,32,28,743,5,right,RECLASSIFIED_HAND_TRANSITION,0.3176,LOW
8,CATCH,33,25,749,6,left,RECLASSIFIED_HAND_TRANSITION,0.6756,UNCERTAIN
8,THROW,33,25,755,6,left,RECLASSIFIED_HAND_TRANSITION,0.6756,UNCERTAIN
0,CATCH,34,29,761,8,right,RECLASSIFIED_HAND_TRANSITION,0.6827,UNCERTAIN
0,THROW,34,29,769,8,right,RECLASSIFIED_HAND_TRANSITION,0.6827,UNCERTAIN
9,CATCH,35,31,789,11,right,RECLASSIFIED_HAND_TRANSITION,0.5785,UNCERTAIN
9,THROW,35,31,800,11,right,RECLASSIFIED_HAND_TRANSITION,0.5785,UNCERTAIN
8,CATCH,36,33,818,7,right,RECLASSIFIED_HAND_TRANSITION,0.6756,UNCERTAIN
8,THROW,36,33,825,7,right,RECLASSIFIED_HAND_TRANSITION,0.6756,UNCERTAIN
3,CATCH,37,30,845,9,right,RECLASSIFIED_HAND_TRANSITION,0.4778,UNCERTAIN
3,THROW,37,30,854,9,right,RECLASSIFIED_HAND_TRANSITION,0.4778,UNCERTAIN
9,CATCH,38,35,862,7,left,RECLASSIFIED_HAND_TRANSITION,0.5785,UNCERTAIN
9,THROW,38,35,869,7,left,RECLASSIFIED_HAND_TRANSITION,0.5785,UNCERTAIN
