throw_frame,throw_hand,next_catch_frame,next_catch_hand,same_hand,gap_frames,q11,q11_band,chain_id
34,left,72,right,False,38,0.5776315789473684,UNC,2
83,right,102,left,False,19,0.5889150943396226,UNC,1
114,left,238,right,False,124,0.6714763497372193,UNC,0
255,right,256,left,False,1,0.840625,CONF,6
267,left,299,right,False,32,0.6714763497372193,UNC,0
308,right,327,right,True,19,0.6156096059113301,UNC,7
339,right,375,left,False,36,0.6714763497372193,UNC,0
381,left,411,right,False,30,0.6156096059113301,UNC,7
420,right,468,right,True,48,0.6799540133779265,UNC,3
482,right,498,right,True,16,0.6714763497372193,UNC,0
510,right,582,right,True,72,0.6144640234948605,UNC,9
591,right,595,left,False,4,0.6156096059113301,UNC,7
606,left,644,right,False,38,0.6755921052631579,UNC,8
656,right,693,left,False,37,0.6144640234948605,UNC,9
701,left,709,right,False,8,0.6714763497372193,UNC,0
715,right,717,left,False,2,0.6799540133779265,UNC,3
731,left,738,right,False,7,0.6144640234948605,UNC,9
743,right,749,left,False,6,0.6176282051282052,UNC,12
755,left,761,right,False,6,0.6755921052631579,UNC,8
769,right,789,right,True,20,0.6714763497372193,UNC,0
800,right,818,right,True,18,0.6144640234948605,UNC,9
825,right,845,right,True,20,0.6755921052631579,UNC,8
854,right,862,left,False,8,0.6799540133779265,UNC,3
