throw_frame,throw_hand,next_catch_frame,next_catch_hand,same_hand,gap_frames,q11,q11_band,chain_id,phase
27,right,31,left,False,4,0.6683168316831684,UNC,4,pre
43,left,97,right,False,54,0.5976744186046512,UNC,2,pre
126,right,207,right,True,81,0.8356164383561644,CONF,8,pre
232,right,252,left,False,20,0.5044444444444445,UNC,13,pre
263,left,460,left,True,197,0.31600000000000006,LOW,16,post
471,left,522,left,True,51,0.6021582733812949,UNC,19,post
533,left,534,left,True,1,0.5583732057416269,UNC,23,post
545,right,582,right,True,37,0.6450643776824034,UNC,24,post
549,left,582,right,False,33,0.5583732057416269,UNC,23,post
591,right,622,right,True,31,0.5583732057416269,UNC,23,post
631,right,670,left,False,39,0.5583732057416269,UNC,23,post
679,left,780,right,False,101,0.5583732057416269,UNC,23,post
797,right,830,right,True,33,0.7266666666666667,CONF,30,post
856,right,872,right,True,16,0.7266666666666667,CONF,30,post
860,right,872,right,True,12,0.40530035335689046,UNC,31,post
890,right,948,right,True,58,0.7266666666666667,CONF,30,post
957,right,964,right,True,7,0.58,UNC,36,post
970,right,1015,right,True,45,0.40530035335689046,UNC,31,post
1029,right,1050,left,False,21,0.40530035335689046,UNC,31,post
