frame,h50_pattern,h50_confidence,h67_pattern,h43_rejected,h66_rejected,h67_rejected
2,TWO_BALL,0.962,TWO_BALL,no,no,no
3,MIXED_3+_UNCONFIRMED,0.420,MIXED_3+_UNCONFIRMED,no,no,no
4,MIXED_3+_UNCONFIRMED,0.420,MIXED_3+_UNCONFIRMED,no,no,no
5,MIXED_3+_UNCONFIRMED,0.420,MIXED_3+_UNCONFIRMED,no,no,no
6,MIXED_3+_UNCONFIRMED,0.420,MIXED_3+_UNCONFIRMED,no,no,no
7,MIXED_3+_UNCONFIRMED,0.420,MIXED_3+_UNCONFIRMED,no,no,no
8,MIXED_3+_UNCONFIRMED,0.420,MIXED_3+_UNCONFIRMED,no,no,no
9,MIXED_3+_UNCONFIRMED,0.420,MIXED_3+_UNCONFIRMED,no,no,no
10,MIXED_3+_UNCONFIRMED,0.420,MIXED_3+_UNCONFIRMED,no,no,no
11,MIXED_3+_UNCONFIRMED,0.420,MIXED_3+_UNCONFIRMED,no,no,no
12,MIXED_3+_UNCONFIRMED,0.420,MIXED_3+_UNCONFIRMED,no,no,no
13,MIXED_3+_UNCONFIRMED,0.420,MIXED_3+_UNCONFIRMED,no,no,no
14,MIXED_3+_UNCONFIRMED,0.420,MIXED_3+_UNCONFIRMED,no,no,no
15,MIXED_3+_UNCONFIRMED,0.420,MIXED_3+_UNCONFIRMED,no,no,no
16,MIXED_3+_UNCONFIRMED,0.420,MIXED_3+_UNCONFIRMED,no,no,no
17,MIXED_3+_UNCONFIRMED,0.420,MIXED_3+_UNCONFIRMED,no,no,no
18,SINGLE_BALL,0.598,SINGLE_BALL,no,no,no
19,SINGLE_BALL,0.598,SINGLE_BALL,no,no,no
20,SINGLE_BALL,0.598,SINGLE_BALL,no,no,no
21,MIXED_3+_UNCONFIRMED,0.378,MIXED_3+_UNCONFIRMED,no,no,no
22,MIXED_3+_UNCONFIRMED,0.378,MIXED_3+_UNCONFIRMED,no,no,no
23,TWO_BALL,0.799,TWO_BALL,no,no,no
24,TWO_BALL,0.799,TWO_BALL,no,no,no
25,TWO_BALL,0.799,TWO_BALL,no,no,no
26,TWO_BALL,0.799,TWO_BALL,no,no,no
27,MIXED_3+_UNCONFIRMED,0.378,MIXED_3+_UNCONFIRMED,no,no,no
28,MIXED_3+_UNCONFIRMED,0.378,MIXED_3+_UNCONFIRMED,no,no,no
29,MIXED_3+_UNCONFIRMED,0.378,MIXED_3+_UNCONFIRMED,no,no,no
30,MIXED_3+_UNCONFIRMED,0.378,MIXED_3+_UNCONFIRMED,no,no,no
31,CASCADE_3+,0.755,CASCADE_3+,no,no,no
32,TWO_BALL,0.834,TWO_BALL,no,no,no
33,TWO_BALL,0.834,TWO_BALL,no,no,no
34,SINGLE_BALL,0.668,SINGLE_BALL,no,no,no
35,SINGLE_BALL,0.668,SINGLE_BALL,no,no,no
36,SINGLE_BALL,0.668,SINGLE_BALL,no,no,no
37,SINGLE_BALL,0.668,SINGLE_BALL,no,no,no
38,SINGLE_BALL,0.668,SINGLE_BALL,no,no,no
39,TWO_BALL,0.834,TWO_BALL,no,no,no
40,TWO_BALL,0.834,TWO_BALL,no,no,no
41,TWO_BALL,0.834,TWO_BALL,no,no,no
42,TWO_BALL,0.834,TWO_BALL,no,no,no
43,MIXED_3+,0.755,MIXED_3+,no,no,no
44,MIXED_3+,0.755,MIXED_3+,no,no,no
45,MIXED_3+,0.755,MIXED_3+,no,no,no
46,MIXED_3+,0.755,MIXED_3+,no,no,no
47,TWO_BALL,0.834,TWO_BALL,no,no,no
48,TWO_BALL,0.834,TWO_BALL,no,no,no
49,TWO_BALL,0.834,TWO_BALL,no,no,no
50,TWO_BALL,0.834,TWO_BALL,no,no,no
51,MIXED_3+,0.877,MIXED_3+,no,no,no
52,MIXED_3+,0.877,MIXED_3+,no,no,no
53,MIXED_3+,0.877,MIXED_3+,no,no,no
54,MIXED_3+,0.877,MIXED_3+,no,no,no
55,MIXED_3+,0.877,MIXED_3+,no,no,no
56,MIXED_3+,0.877,MIXED_3+,no,no,no
57,TWO_BALL,0.816,TWO_BALL,no,no,no
58,TWO_BALL,0.816,TWO_BALL,no,no,no
59,TWO_BALL,0.816,TWO_BALL,no,no,no
60,TWO_BALL,0.816,TWO_BALL,no,no,no
61,TWO_BALL,0.816,TWO_BALL,no,no,no
62,TWO_BALL,0.816,TWO_BALL,no,no,no
63,TWO_BALL,0.816,TWO_BALL,no,no,no
64,MIXED_3+,0.877,MIXED_3+,no,no,no
65,MIXED_3+,0.877,MIXED_3+,no,no,no
66,MIXED_3+,0.877,MIXED_3+,no,no,no
67,MIXED_3+,0.877,MIXED_3+,no,no,no
68,MIXED_3+,0.877,MIXED_3+,no,no,no
69,MIXED_3+,0.877,MIXED_3+,no,no,no
70,MIXED_3+,0.877,MIXED_3+,no,no,no
71,MIXED_3+,0.877,MIXED_3+,no,no,no
72,MIXED_3+,0.877,MIXED_3+,no,no,no
73,MIXED_3+,0.877,MIXED_3+,no,no,no
74,MIXED_3+,0.877,MIXED_3+,no,no,no
75,MIXED_3+,0.877,MIXED_3+,no,no,no
76,MIXED_3+,0.877,MIXED_3+,no,no,no
77,MIXED_3+,0.877,MIXED_3+,no,no,no
78,MIXED_3+,0.877,MIXED_3+,no,no,no
79,MIXED_3+,0.877,MIXED_3+,no,no,no
80,TWO_BALL,0.816,TWO_BALL,no,no,no
81,TWO_BALL,0.816,TWO_BALL,no,no,no
82,TWO_BALL,0.816,TWO_BALL,no,no,no
83,TWO_BALL,0.816,TWO_BALL,no,no,no
84,TWO_BALL,0.816,TWO_BALL,no,no,no
85,TWO_BALL,0.816,TWO_BALL,no,no,no
86,TWO_BALL,0.816,TWO_BALL,no,no,no
87,MIXED_3+,0.822,MIXED_3+,no,no,no
88,MIXED_3+,0.822,MIXED_3+,no,no,no
89,MIXED_3+,0.822,MIXED_3+,no,no,no
90,MIXED_3+,0.822,MIXED_3+,no,no,no
91,MIXED_3+,0.822,MIXED_3+,no,no,no
92,MIXED_3+,0.822,MIXED_3+,no,no,no
93,MIXED_3+,0.822,MIXED_3+,no,no,no
94,MIXED_3+,0.822,MIXED_3+,no,no,no
95,MIXED_3+,0.822,MIXED_3+,no,no,no
96,MIXED_3+,0.822,MIXED_3+,no,no,no
97,MIXED_3+,0.822,MIXED_3+,no,no,no
98,TWO_BALL,0.816,TWO_BALL,no,no,no
99,SINGLE_BALL,0.668,SINGLE_BALL,no,no,no
100,SINGLE_BALL,0.668,SINGLE_BALL,no,no,no
101,SINGLE_BALL,0.668,SINGLE_BALL,no,no,no
102,SINGLE_BALL,0.668,SINGLE_BALL,no,no,no
103,SINGLE_BALL,0.668,SINGLE_BALL,no,no,no
104,MIXED_3+,0.844,MIXED_3+,no,no,no
105,MIXED_3+,0.844,MIXED_3+,no,no,no
106,MIXED_3+,0.844,MIXED_3+,no,no,no
107,MIXED_3+,0.844,MIXED_3+,no,no,no
108,MIXED_3+,0.844,MIXED_3+,no,no,no
109,MIXED_3+,0.844,MIXED_3+,no,no,no
110,MIXED_3+,0.844,MIXED_3+,no,no,no
111,MIXED_3+,0.844,MIXED_3+,no,no,no
112,MIXED_3+,0.844,MIXED_3+,no,no,no
113,MIXED_3+,0.844,MIXED_3+,no,no,no
114,MIXED_3+,0.844,MIXED_3+,no,no,no
115,MIXED_3+,0.844,MIXED_3+,no,no,no
116,MIXED_3+,0.844,MIXED_3+,no,no,no
117,MIXED_3+,0.844,MIXED_3+,no,no,no
118,MIXED_3+,0.844,MIXED_3+,no,no,no
119,MIXED_3+,0.844,MIXED_3+,no,no,no
120,MIXED_3+,0.844,MIXED_3+,no,no,no
121,MIXED_3+,0.844,MIXED_3+,no,no,no
122,MIXED_3+,0.844,MIXED_3+,no,no,no
123,TWO_BALL,0.932,TWO_BALL,no,no,no
124,TWO_BALL,0.932,TWO_BALL,no,no,no
125,TWO_BALL,0.932,TWO_BALL,no,no,no
126,MIXED_3+,0.900,MIXED_3+,no,no,no
127,MIXED_3+,0.900,MIXED_3+,no,no,no
128,MIXED_3+,0.900,MIXED_3+,no,no,no
129,MIXED_3+,0.900,MIXED_3+,no,no,no
130,MIXED_3+,0.900,MIXED_3+,no,no,no
131,MIXED_3+,0.900,MIXED_3+,no,no,no
132,MIXED_3+,0.900,MIXED_3+,no,no,no
133,MIXED_3+,0.900,MIXED_3+,no,no,no
134,TWO_BALL,0.899,TWO_BALL,no,no,no
135,TWO_BALL,0.899,TWO_BALL,no,no,no
