frame,h50_pattern,h50_confidence,h68_pattern,h43_rejected,h66_rejected,h68_rejected
2,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
3,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
4,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
5,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
6,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
7,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
8,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
9,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
10,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
11,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
12,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
13,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
14,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
15,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
16,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
17,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
18,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
19,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
20,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
21,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
22,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
23,MIXED_3+_UNCONFIRMED,0.342,MIXED_3+_UNCONFIRMED,no,no,no
24,MIXED_3+_UNCONFIRMED,0.342,MIXED_3+_UNCONFIRMED,no,no,no
25,MIXED_3+_UNCONFIRMED,0.342,MIXED_3+_UNCONFIRMED,no,no,no
26,MIXED_3+_UNCONFIRMED,0.342,MIXED_3+_UNCONFIRMED,no,no,no
27,MIXED_3+_UNCONFIRMED,0.342,MIXED_3+_UNCONFIRMED,no,no,no
28,MIXED_3+_UNCONFIRMED,0.342,MIXED_3+_UNCONFIRMED,no,no,no
29,MIXED_3+_UNCONFIRMED,0.342,MIXED_3+_UNCONFIRMED,no,no,no
30,MIXED_3+_UNCONFIRMED,0.342,MIXED_3+_UNCONFIRMED,no,no,no
31,MIXED_3+_UNCONFIRMED,0.342,MIXED_3+_UNCONFIRMED,no,no,no
32,MIXED_3+_UNCONFIRMED,0.342,MIXED_3+_UNCONFIRMED,no,no,no
33,MIXED_3+_UNCONFIRMED,0.342,MIXED_3+_UNCONFIRMED,no,no,no
34,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
35,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
36,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
37,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
38,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
39,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
40,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
41,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
42,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
43,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
44,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
45,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
46,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
47,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
48,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
49,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
50,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
51,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
52,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
53,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
54,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
55,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
56,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
57,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
58,MIXED_3+_UNCONFIRMED,0.329,MIXED_3+_UNCONFIRMED,no,no,no
59,MIXED_3+_UNCONFIRMED,0.329,MIXED_3+_UNCONFIRMED,no,no,no
60,MIXED_3+_UNCONFIRMED,0.329,MIXED_3+_UNCONFIRMED,no,no,no
61,MIXED_3+_UNCONFIRMED,0.329,MIXED_3+_UNCONFIRMED,no,no,no
62,MIXED_3+_UNCONFIRMED,0.329,MIXED_3+_UNCONFIRMED,no,no,no
63,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
64,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
65,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
66,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
67,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
68,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
69,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
70,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
71,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED,no,no,no
72,CASCADE_3+,0.663,CASCADE_3+,no,no,no
73,CASCADE_3+,0.681,CASCADE_3+,no,no,no
74,CASCADE_3+,0.681,CASCADE_3+,no,no,no
75,CASCADE_3+,0.681,CASCADE_3+,no,no,no
76,CASCADE_3+,0.681,CASCADE_3+,no,no,no
77,CASCADE_3+,0.681,CASCADE_3+,no,no,no
78,CASCADE_3+,0.681,CASCADE_3+,no,no,no
79,CASCADE_3+,0.681,CASCADE_3+,no,no,no
80,CASCADE_3+,0.681,CASCADE_3+,no,no,no
81,CASCADE_3+,0.681,CASCADE_3+,no,no,no
82,CASCADE_3+,0.681,CASCADE_3+,no,no,no
83,MIXED_3+,0.663,MIXED_3+,no,no,no
84,MIXED_3+,0.663,MIXED_3+,no,no,no
85,MIXED_3+,0.663,MIXED_3+,no,no,no
86,MIXED_3+,0.663,MIXED_3+,no,no,no
87,MIXED_3+,0.663,MIXED_3+,no,no,no
88,MIXED_3+,0.663,MIXED_3+,no,no,no
89,MIXED_3+,0.663,MIXED_3+,no,no,no
90,MIXED_3+,0.663,MIXED_3+,no,no,no
91,MIXED_3+,0.663,MIXED_3+,no,no,no
92,MIXED_3+,0.663,MIXED_3+,no,no,no
93,MIXED_3+,0.663,MIXED_3+,no,no,no
94,MIXED_3+,0.663,MIXED_3+,no,no,no
95,MIXED_3+,0.663,MIXED_3+,no,no,no
96,MIXED_3+,0.663,MIXED_3+,no,no,no
97,MIXED_3+,0.663,MIXED_3+,no,no,no
98,MIXED_3+,0.684,MIXED_3+,no,no,no
99,MIXED_3+,0.684,MIXED_3+,no,no,no
100,MIXED_3+,0.684,MIXED_3+,no,no,no
101,MIXED_3+,0.684,MIXED_3+,no,no,no
102,CASCADE_3+,0.684,CASCADE_3+,no,no,no
103,CASCADE_3+,0.688,CASCADE_3+,no,no,no
104,CASCADE_3+,0.688,CASCADE_3+,no,no,no
105,CASCADE_3+,0.688,CASCADE_3+,no,no,no
106,CASCADE_3+,0.688,CASCADE_3+,no,no,no
107,CASCADE_3+,0.688,CASCADE_3+,no,no,no
108,CASCADE_3+,0.688,CASCADE_3+,no,no,no
109,CASCADE_3+,0.688,CASCADE_3+,no,no,no
110,CASCADE_3+,0.688,CASCADE_3+,no,no,no
111,CASCADE_3+,0.688,CASCADE_3+,no,no,no
112,CASCADE_3+,0.688,CASCADE_3+,no,no,no
113,CASCADE_3+,0.688,CASCADE_3+,no,no,no
114,MIXED_3+,0.684,MIXED_3+,no,no,no
115,MIXED_3+,0.684,MIXED_3+,no,no,no
116,MIXED_3+,0.684,MIXED_3+,no,no,no
117,MIXED_3+,0.715,MIXED_3+,no,no,no
118,MIXED_3+,0.715,MIXED_3+,no,no,no
119,MIXED_3+,0.715,MIXED_3+,no,no,no
120,MIXED_3+,0.715,MIXED_3+,no,no,no
121,MIXED_3+,0.715,MIXED_3+,no,no,no
122,MIXED_3+,0.715,MIXED_3+,no,no,no
123,MIXED_3+,0.715,MIXED_3+,no,no,no
124,MIXED_3+,0.715,MIXED_3+,no,no,no
125,MIXED_3+,0.715,MIXED_3+,no,no,no
126,MIXED_3+,0.715,MIXED_3+,no,no,no
127,MIXED_3+,0.715,MIXED_3+,no,no,no
128,MIXED_3+,0.715,MIXED_3+,no,no,no
129,MIXED_3+,0.715,MIXED_3+,no,no,no
130,MIXED_3+,0.715,MIXED_3+,no,no,no
131,MIXED_3+,0.715,MIXED_3+,no,no,no
132,MIXED_3+,0.715,MIXED_3+,no,no,no
133,MIXED_3+,0.715,MIXED_3+,no,no,no
134,MIXED_3+,0.715,MIXED_3+,no,no,no
135,MIXED_3+,0.715,MIXED_3+,no,no,no
136,MIXED_3+,0.715,MIXED_3+,no,no,no
137,MIXED_3+,0.715,MIXED_3+,no,no,no
138,MIXED_3+,0.715,MIXED_3+,no,no,no
139,MIXED_3+,0.715,MIXED_3+,no,no,no
140,MIXED_3+,0.715,MIXED_3+,no,no,no
141,MIXED_3+,0.715,MIXED_3+,no,no,no
142,MIXED_3+,0.715,MIXED_3+,no,no,no
143,MIXED_3+,0.715,MIXED_3+,no,no,no
144,MIXED_3+,0.715,MIXED_3+,no,no,no
145,MIXED_3+,0.715,MIXED_3+,no,no,no
146,MIXED_3+,0.715,MIXED_3+,no,no,no
147,MIXED_3+,0.715,MIXED_3+,no,no,no
148,MIXED_3+,0.715,MIXED_3+,no,no,no
149,MIXED_3+,0.715,MIXED_3+,no,no,no
150,MIXED_3+,0.715,MIXED_3+,no,no,no
151,MIXED_3+,0.715,MIXED_3+,no,no,no
152,MIXED_3+,0.715,MIXED_3+,no,no,no
153,MIXED_3+,0.715,MIXED_3+,no,no,no
154,MIXED_3+,0.715,MIXED_3+,no,no,no
155,MIXED_3+,0.715,MIXED_3+,no,no,no
156,MIXED_3+,0.715,MIXED_3+,no,no,no
157,MIXED_3+,0.715,MIXED_3+,no,no,no
158,MIXED_3+,0.715,MIXED_3+,no,no,no
159,MIXED_3+,0.715,MIXED_3+,no,no,no
160,MIXED_3+,0.715,MIXED_3+,no,no,no
161,MIXED_3+,0.715,MIXED_3+,no,no,no
162,MIXED_3+,0.715,MIXED_3+,no,no,no
163,MIXED_3+,0.715,MIXED_3+,no,no,no
164,MIXED_3+,0.715,MIXED_3+,no,no,no
165,MIXED_3+,0.715,MIXED_3+,no,no,no
166,MIXED_3+,0.715,MIXED_3+,no,no,no
167,MIXED_3+,0.715,MIXED_3+,no,no,no
168,MIXED_3+,0.715,MIXED_3+,no,no,no
169,MIXED_3+,0.715,MIXED_3+,no,no,no
170,MIXED_3+,0.715,MIXED_3+,no,no,no
171,MIXED_3+,0.715,MIXED_3+,no,no,no
172,MIXED_3+,0.715,MIXED_3+,no,no,no
173,MIXED_3+,0.715,MIXED_3+,no,no,no
174,MIXED_3+,0.715,MIXED_3+,no,no,no
175,MIXED_3+,0.715,MIXED_3+,no,no,no
176,MIXED_3+,0.715,MIXED_3+,no,no,no
177,MIXED_3+,0.715,MIXED_3+,no,no,no
178,MIXED_3+,0.715,MIXED_3+,no,no,no
179,MIXED_3+,0.715,MIXED_3+,no,no,no
180,MIXED_3+,0.715,MIXED_3+,no,no,no
181,MIXED_3+,0.715,MIXED_3+,no,no,no
182,MIXED_3+,0.715,MIXED_3+,no,no,no
183,MIXED_3+,0.715,MIXED_3+,no,no,no
184,MIXED_3+,0.715,MIXED_3+,no,no,no
185,MIXED_3+,0.715,MIXED_3+,no,no,no
186,MIXED_3+,0.715,MIXED_3+,no,no,no
187,MIXED_3+,0.715,MIXED_3+,no,no,no
188,MIXED_3+,0.715,MIXED_3+,no,no,no
189,MIXED_3+,0.715,MIXED_3+,no,no,no
190,MIXED_3+,0.715,MIXED_3+,no,no,no
191,MIXED_3+,0.715,MIXED_3+,no,no,no
192,MIXED_3+,0.715,MIXED_3+,no,no,no
193,MIXED_3+,0.715,MIXED_3+,no,no,no
194,MIXED_3+,0.715,MIXED_3+,no,no,no
195,MIXED_3+,0.715,MIXED_3+,no,no,no
196,MIXED_3+,0.715,MIXED_3+,no,no,no
197,MIXED_3+,0.715,MIXED_3+,no,no,no
198,MIXED_3+,0.715,MIXED_3+,no,no,no
199,MIXED_3+,0.715,MIXED_3+,no,no,no
200,MIXED_3+,0.715,MIXED_3+,no,no,no
201,MIXED_3+,0.715,MIXED_3+,no,no,no
202,MIXED_3+,0.715,MIXED_3+,no,no,no
203,MIXED_3+,0.715,MIXED_3+,no,no,no
204,MIXED_3+,0.715,MIXED_3+,no,no,no
205,MIXED_3+,0.715,MIXED_3+,no,no,no
206,MIXED_3+,0.715,MIXED_3+,no,no,no
207,MIXED_3+,0.715,MIXED_3+,no,no,no
208,MIXED_3+,0.715,MIXED_3+,no,no,no
209,MIXED_3+,0.715,MIXED_3+,no,no,no
210,MIXED_3+,0.715,MIXED_3+,no,no,no
211,MIXED_3+,0.715,MIXED_3+,no,no,no
212,MIXED_3+,0.715,MIXED_3+,no,no,no
213,MIXED_3+,0.715,MIXED_3+,no,no,no
214,MIXED_3+,0.715,MIXED_3+,no,no,no
215,MIXED_3+,0.715,MIXED_3+,no,no,no
216,MIXED_3+,0.715,MIXED_3+,no,no,no
217,MIXED_3+,0.715,MIXED_3+,no,no,no
218,MIXED_3+,0.715,MIXED_3+,no,no,no
219,MIXED_3+,0.715,MIXED_3+,no,no,no
220,MIXED_3+,0.715,MIXED_3+,no,no,no
221,MIXED_3+,0.715,MIXED_3+,no,no,no
222,MIXED_3+,0.715,MIXED_3+,no,no,no
223,MIXED_3+,0.715,MIXED_3+,no,no,no
224,MIXED_3+,0.715,MIXED_3+,no,no,no
225,MIXED_3+,0.715,MIXED_3+,no,no,no
226,MIXED_3+,0.715,MIXED_3+,no,no,no
227,MIXED_3+,0.715,MIXED_3+,no,no,no
