phase_start,phase_end,frame,A
631,669,631,1
631,669,632,1
631,669,633,1
631,669,634,1
631,669,635,1
631,669,636,1
631,669,637,1
631,669,638,1
631,669,639,0
631,669,640,0
631,669,641,2
631,669,642,2
631,669,643,2
631,669,644,2
631,669,645,2
631,669,646,2
631,669,647,2
631,669,648,2
631,669,649,2
631,669,650,2
631,669,651,2
631,669,652,2
631,669,653,2
631,669,654,2
631,669,655,3
631,669,656,3
631,669,657,2
631,669,658,3
631,669,659,3
631,669,660,3
631,669,661,3
631,669,662,2
631,669,663,2
631,669,664,2
631,669,665,2
631,669,666,1
631,669,667,2
631,669,668,2
631,669,669,1
890,936,890,2
890,936,891,0
890,936,892,0
890,936,893,1
890,936,894,1
890,936,895,1
890,936,896,1
890,936,897,1
890,936,898,1
890,936,899,1
890,936,900,1
890,936,901,1
890,936,902,1
890,936,903,1
890,936,904,1
890,936,905,1
890,936,906,1
890,936,907,2
890,936,908,2
890,936,909,2
890,936,910,2
890,936,911,3
890,936,912,2
890,936,913,3
890,936,914,3
890,936,915,1
890,936,916,1
890,936,917,2
890,936,918,2
890,936,919,1
890,936,920,0
890,936,921,1
890,936,922,1
890,936,923,1
890,936,924,1
890,936,925,1
977,1011,977,2
977,1011,978,2
977,1011,979,1
977,1011,980,1
977,1011,981,1
977,1011,982,1
977,1011,983,1
977,1011,984,0
977,1011,985,1
977,1011,986,0
977,1011,987,1
977,1011,988,0
977,1011,989,0
977,1011,990,0
977,1011,991,0
977,1011,992,0
977,1011,993,0
977,1011,994,0
977,1011,995,0
977,1011,996,0
977,1011,997,1
977,1011,998,1
977,1011,999,1
977,1011,1000,1
977,1011,1001,2
1029,1049,1029,1
1029,1049,1030,1
1029,1049,1031,1
1029,1049,1032,1
1029,1049,1033,0
1029,1049,1034,1
1029,1049,1035,1
1029,1049,1036,0
1029,1049,1037,1
1029,1049,1038,1
1029,1049,1039,1
1029,1049,1040,1
1029,1049,1041,1
