phase_start,phase_end,frame,A
339,374,339,1
339,374,340,1
339,374,341,3
339,374,342,2
339,374,343,2
339,374,344,1
339,374,345,2
339,374,346,1
339,374,347,2
339,374,348,1
339,374,349,3
339,374,350,1
339,374,351,1
339,374,352,2
339,374,353,2
339,374,354,2
339,374,355,0
339,374,356,2
339,374,357,2
339,374,358,3
339,374,359,3
339,374,360,3
339,374,361,3
339,374,362,3
339,374,363,2
339,374,364,2
339,374,365,1
339,374,366,1
339,374,367,0
339,374,368,1
339,374,369,1
339,374,370,0
339,374,371,3
482,594,482,2
482,594,483,1
482,594,484,1
482,594,485,1
482,594,486,2
482,594,487,1
482,594,488,2
482,594,489,2
482,594,490,2
482,594,491,3
482,594,492,3
482,594,493,3
482,594,494,3
482,594,495,2
482,594,496,3
482,594,497,1
482,594,498,1
482,594,499,1
482,594,500,2
482,594,501,1
482,594,502,3
482,594,503,1
482,594,504,2
482,594,505,3
482,594,506,2
482,594,507,2
482,594,508,2
482,594,509,3
482,594,510,3
482,594,511,2
482,594,512,1
482,594,513,1
482,594,514,1
482,594,515,2
482,594,516,0
482,594,517,3
482,594,518,3
482,594,519,2
482,594,520,2
482,594,521,2
482,594,522,3
482,594,523,1
482,594,524,2
482,594,525,1
482,594,526,0
482,594,527,0
482,594,528,0
482,594,529,0
482,594,530,1
482,594,531,1
482,594,532,2
482,594,533,3
482,594,534,3
482,594,535,1
482,594,536,3
482,594,537,3
482,594,538,3
482,594,539,1
482,594,540,1
482,594,541,1
482,594,542,2
482,594,543,2
482,594,544,3
482,594,545,1
482,594,546,1
482,594,547,3
482,594,548,3
482,594,549,0
482,594,550,1
482,594,551,2
482,594,552,2
482,594,553,2
482,594,554,2
482,594,555,0
482,594,556,0
482,594,557,0
482,594,558,3
482,594,559,3
482,594,560,1
482,594,561,3
482,594,562,3
482,594,563,2
482,594,564,0
482,594,565,0
482,594,566,2
482,594,567,0
482,594,568,2
482,594,569,1
482,594,570,3
482,594,571,0
482,594,572,3
482,594,573,2
482,594,574,1
482,594,575,1
482,594,576,2
482,594,577,0
482,594,578,1
482,594,579,2
482,594,580,0
482,594,581,0
482,594,582,1
482,594,583,1
482,594,584,2
482,594,585,2
800,861,800,2
800,861,801,3
800,861,802,1
800,861,803,1
800,861,804,1
800,861,805,1
800,861,806,1
800,861,807,0
800,861,808,3
800,861,809,3
800,861,810,3
800,861,811,3
800,861,812,2
800,861,813,1
800,861,814,2
800,861,815,1
800,861,816,0
800,861,817,0
800,861,818,1
800,861,819,2
800,861,820,2
800,861,821,2
800,861,822,2
800,861,823,2
800,861,824,1
800,861,825,1
800,861,826,3
800,861,827,1
800,861,828,0
800,861,829,1
800,861,830,0
800,861,831,3
800,861,832,2
800,861,833,0
800,861,834,1
800,861,835,0
800,861,836,0
800,861,837,0
800,861,838,2
800,861,839,2
800,861,840,1
800,861,841,0
800,861,842,0
800,861,843,1
800,861,844,0
800,861,845,1
800,861,846,1
800,861,847,2
800,861,848,2
800,861,849,2
800,861,850,0
800,861,851,1
800,861,852,0
800,861,853,2
800,861,854,1
800,861,855,2
800,861,856,2
