frame,pattern,confidence,new_pattern
2,TWO_BALL,0.962,TWO_BALL
3,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
4,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
5,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
6,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
7,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
8,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
9,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
10,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
11,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
12,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
13,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
14,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
15,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
16,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
17,MIXED_3+_UNCONFIRMED,0.42,MIXED_3+_UNCONFIRMED
18,SINGLE_BALL,0.598,SINGLE_BALL
19,SINGLE_BALL,0.598,SINGLE_BALL
20,SINGLE_BALL,0.598,SINGLE_BALL
21,MIXED_3+_UNCONFIRMED,0.378,MIXED_3+_UNCONFIRMED
22,MIXED_3+_UNCONFIRMED,0.378,MIXED_3+_UNCONFIRMED
23,TWO_BALL,0.799,TWO_BALL
24,TWO_BALL,0.799,TWO_BALL
25,TWO_BALL,0.799,TWO_BALL
26,TWO_BALL,0.799,TWO_BALL
27,MIXED_3+_UNCONFIRMED,0.378,MIXED_3+_UNCONFIRMED
28,MIXED_3+_UNCONFIRMED,0.378,MIXED_3+_UNCONFIRMED
29,MIXED_3+_UNCONFIRMED,0.378,MIXED_3+_UNCONFIRMED
30,MIXED_3+_UNCONFIRMED,0.378,MIXED_3+_UNCONFIRMED
31,CASCADE_3+,0.755,CASCADE_3+
32,TWO_BALL,0.834,TWO_BALL
33,TWO_BALL,0.834,TWO_BALL
34,SINGLE_BALL,0.668,SINGLE_BALL
35,SINGLE_BALL,0.668,SINGLE_BALL
36,SINGLE_BALL,0.668,SINGLE_BALL
37,SINGLE_BALL,0.668,SINGLE_BALL
38,SINGLE_BALL,0.668,SINGLE_BALL
39,TWO_BALL,0.834,TWO_BALL
40,TWO_BALL,0.834,TWO_BALL
41,TWO_BALL,0.834,TWO_BALL
42,TWO_BALL,0.834,TWO_BALL
43,MIXED_3+,0.755,MIXED_3+
44,MIXED_3+,0.755,MIXED_3+
45,MIXED_3+,0.755,MIXED_3+
46,MIXED_3+,0.755,MIXED_3+
47,TWO_BALL,0.834,TWO_BALL
48,TWO_BALL,0.834,TWO_BALL
49,TWO_BALL,0.834,TWO_BALL
50,TWO_BALL,0.834,TWO_BALL
51,MIXED_3+,0.877,MIXED_3+
52,MIXED_3+,0.877,MIXED_3+
53,MIXED_3+,0.877,MIXED_3+
54,MIXED_3+,0.877,MIXED_3+
55,MIXED_3+,0.877,MIXED_3+
56,MIXED_3+,0.877,MIXED_3+
57,TWO_BALL,0.816,TWO_BALL
58,TWO_BALL,0.816,TWO_BALL
59,TWO_BALL,0.816,TWO_BALL
60,TWO_BALL,0.816,TWO_BALL
61,TWO_BALL,0.816,TWO_BALL
62,TWO_BALL,0.816,TWO_BALL
63,TWO_BALL,0.816,TWO_BALL
64,MIXED_3+,0.877,MIXED_3+
65,MIXED_3+,0.877,MIXED_3+
66,MIXED_3+,0.877,MIXED_3+
67,MIXED_3+,0.877,MIXED_3+
68,MIXED_3+,0.877,MIXED_3+
69,MIXED_3+,0.877,MIXED_3+
70,MIXED_3+,0.877,MIXED_3+
71,MIXED_3+,0.877,MIXED_3+
72,MIXED_3+,0.877,MIXED_3+
73,MIXED_3+,0.877,MIXED_3+
74,MIXED_3+,0.877,MIXED_3+
75,MIXED_3+,0.877,MIXED_3+
76,MIXED_3+,0.877,MIXED_3+
77,MIXED_3+,0.877,MIXED_3+
78,MIXED_3+,0.877,MIXED_3+
79,MIXED_3+,0.877,MIXED_3+
80,TWO_BALL,0.816,TWO_BALL
81,TWO_BALL,0.816,TWO_BALL
82,TWO_BALL,0.816,TWO_BALL
83,TWO_BALL,0.816,TWO_BALL
84,TWO_BALL,0.816,TWO_BALL
85,TWO_BALL,0.816,TWO_BALL
86,TWO_BALL,0.816,TWO_BALL
87,MIXED_3+,0.822,MIXED_3+
88,MIXED_3+,0.822,MIXED_3+
89,MIXED_3+,0.822,MIXED_3+
90,MIXED_3+,0.822,MIXED_3+
91,MIXED_3+,0.822,MIXED_3+
92,MIXED_3+,0.822,MIXED_3+
93,MIXED_3+,0.822,MIXED_3+
94,MIXED_3+,0.822,MIXED_3+
95,MIXED_3+,0.822,MIXED_3+
96,MIXED_3+,0.822,MIXED_3+
97,MIXED_3+,0.822,MIXED_3+
98,TWO_BALL,0.816,TWO_BALL
99,SINGLE_BALL,0.668,SINGLE_BALL
100,SINGLE_BALL,0.668,SINGLE_BALL
101,SINGLE_BALL,0.668,SINGLE_BALL
102,SINGLE_BALL,0.668,SINGLE_BALL
103,SINGLE_BALL,0.668,SINGLE_BALL
