frame,pattern,confidence,new_pattern
2,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED
3,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED
4,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED
5,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED
6,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED
7,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED
8,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED
9,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED
10,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED
11,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED
12,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED
13,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED
14,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED
15,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED
16,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED
17,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED
18,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED
19,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED
20,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED
21,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED
22,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED
23,MIXED_3+_UNCONFIRMED,0.342,MIXED_3+_UNCONFIRMED
24,MIXED_3+_UNCONFIRMED,0.342,MIXED_3+_UNCONFIRMED
25,MIXED_3+_UNCONFIRMED,0.342,MIXED_3+_UNCONFIRMED
26,MIXED_3+_UNCONFIRMED,0.342,MIXED_3+_UNCONFIRMED
27,MIXED_3+_UNCONFIRMED,0.342,MIXED_3+_UNCONFIRMED
28,MIXED_3+_UNCONFIRMED,0.342,MIXED_3+_UNCONFIRMED
29,MIXED_3+_UNCONFIRMED,0.342,MIXED_3+_UNCONFIRMED
30,MIXED_3+_UNCONFIRMED,0.342,MIXED_3+_UNCONFIRMED
31,MIXED_3+_UNCONFIRMED,0.342,MIXED_3+_UNCONFIRMED
32,MIXED_3+_UNCONFIRMED,0.342,MIXED_3+_UNCONFIRMED
33,MIXED_3+_UNCONFIRMED,0.342,MIXED_3+_UNCONFIRMED
34,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED
35,MIXED_3+_UNCONFIRMED,0.332,MIXED_3+_UNCONFIRMED
