pattern,phase_start,phase_end,n_frames,mean_confidence,mean_A,max_A,min_A,spectral_concentration,ac_peak_value,ac_peak_lag,h65_verdict
MIXED_3+_UNCONFIRMED,2,71,68,0.333,1.721,3,0,0.075,0.163,15,N/A
MIXED_3+,114,255,128,0.705,1.477,3,0,0.124,0.134,26,N/A
MIXED_3+,267,298,32,0.679,1.875,3,0,0.175,0.15,12,N/A
MIXED_3+,308,338,28,0.642,1.607,3,0,0.235,0.259,14,N/A
FOUNTAIN_3+,339,374,33,0.646,1.727,3,0,0.164,0.152,15,FOUNTAIN
MIXED_3+,375,410,33,0.647,1.424,3,0,0.216,0.137,15,N/A
MIXED_3+,420,481,56,0.651,1.768,3,0,0.165,0.173,25,N/A
FOUNTAIN_3+,482,594,104,0.653,1.654,3,0,0.14,0.254,14,OTHER
MIXED_3+,595,643,43,0.65,1.395,3,0,0.17,0.269,14,N/A
MIXED_3+,769,799,27,0.655,1.852,3,0,0.214,0.344,12,N/A
FOUNTAIN_3+,800,861,57,0.651,1.298,3,0,0.088,0.175,8,CASCADE
MIXED_3+,862,899,34,0.675,1.353,3,0,0.249,0.295,5,N/A
