stem,pattern,phase_start,phase_end,n_frames,verdict,n_frames_with_pose,mean_wrist_dist,median_wrist_dist,min_wrist_dist,max_wrist_dist,std_wrist_dist,pct_close_lt100,pct_far_gt200,pct_crossed_lt60
identical_balls_trick_000_018,MIXED_3+,263,312,50,JUGGLING,50,120.63,122.95,102.37,133.61,9.01,0.0,0.0,0.0
identical_balls_trick_000_018,MIXED_3+,411,450,40,JUGGLING,40,103.47,107.1,50.92,151.16,33.71,0.45,0.0,0.15
identical_balls_trick_000_018,MIXED_3+,549,578,30,JUGGLING,30,118.59,114.52,109.16,139.12,9.19,0.0,0.0,0.0
identical_balls_trick_000_018,FOUNTAIN_3+,631,669,39,FOUNTAIN,39,86.46,90.81,8.06,158.95,49.94,0.513,0.0,0.359
identical_balls_trick_000_018,CASCADE_3+,685,716,32,MANIPULATION,32,157.47,153.85,114.56,205.2,31.6,0.0,0.125,0.0
identical_balls_trick_000_018,FOUNTAIN_3+,890,936,47,OTHER,47,163.23,159.5,18.24,254.39,65.72,0.213,0.362,0.043
identical_balls_trick_000_018,FOUNTAIN_3+,977,1011,35,FOUNTAIN,35,215.73,211.46,182.59,244.42,17.19,0.0,0.829,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,MIXED_3+_UNCONFIRMED,2,71,70,STATIC_DEMO,70,93.41,91.53,66.31,124.88,11.88,0.671,0.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,MIXED_3+,114,255,142,JUGGLING_STARTUP,142,96.24,95.89,69.78,136.67,12.44,0.613,0.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,MIXED_3+,267,298,32,JUGGLING,32,97.8,97.54,79.8,113.69,9.34,0.594,0.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,MIXED_3+,308,338,31,JUGGLING,31,98.07,96.09,72.84,114.93,10.47,0.581,0.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,FOUNTAIN_3+,339,374,36,FOUNTAIN,36,95.7,95.06,74.58,114.85,9.39,0.694,0.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,MIXED_3+,375,410,36,JUGGLING,36,94.04,94.03,66.32,112.88,11.71,0.722,0.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,MIXED_3+,420,481,62,JUGGLING,62,93.53,93.37,69.46,137.78,12.07,0.742,0.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,FOUNTAIN_3+,482,594,113,STATIC_HOLD,113,95.41,94.78,68.61,135.86,12.29,0.69,0.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,MIXED_3+,595,643,49,JUGGLING,49,94.04,92.1,71.74,114.1,8.48,0.755,0.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,MIXED_3+,769,799,31,JUGGLING,31,102.14,102.31,84.1,127.23,10.35,0.419,0.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,FOUNTAIN_3+,800,861,62,CASCADE,62,97.19,98.11,71.52,116.68,10.62,0.548,0.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,MIXED_3+,862,899,38,JUGGLING,38,101.65,100.89,84.77,125.55,9.8,0.447,0.0,0.0
