stem,pattern,phase_start,phase_end,verdict,n_frames,mean_wrist_dist,median_wrist_dist,min_wrist_dist,max_wrist_dist,range_wrist_dist,std_wrist_dist,mean_diff_per_frame,max_diff_per_frame,ac_peak_lag,ac_peak_value,pct_lt80,pct_lt100,pct_gt200,pct_gt250
identical_balls_trick_000_018,FOUNTAIN_3+,631,669,FOUNTAIN,39,86.46,90.81,8.06,158.95,150.88,49.94,7.76,36.61,1,0.92,0.462,0.513,0.0,0.0
identical_balls_trick_000_018,FOUNTAIN_3+,890,936,OTHER_CROSSED_ARM,47,163.23,159.5,18.24,254.39,236.15,65.72,14.25,45.4,1,0.951,0.085,0.213,0.362,0.085
identical_balls_trick_000_018,FOUNTAIN_3+,977,1011,FOUNTAIN,35,215.73,211.46,182.59,244.42,61.83,17.19,4.33,14.07,1,0.901,0.0,0.0,0.829,0.0
identical_balls_trick_000_018,CASCADE_3+,685,716,MANIPULATION,32,157.47,153.85,114.56,205.2,90.64,31.6,3.2,12.31,1,0.923,0.0,0.0,0.125,0.0
identical_balls_trick_000_018,CASCADE_3+,733,766,STATIC_HOLD,34,112.7,114.18,104.0,121.66,17.66,5.07,1.24,6.68,1,0.865,0.0,0.0,0.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,MIXED_3+_UNCONFIRMED,2,71,STATIC_DEMO,70,93.41,91.53,66.31,124.88,58.57,11.88,4.98,22.2,1,0.811,0.1,0.671,0.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,MIXED_3+,114,255,JUGGLING_STARTUP,142,96.24,95.89,69.78,136.67,66.89,12.44,4.6,20.36,1,0.878,0.099,0.613,0.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,FOUNTAIN_3+,339,374,FOUNTAIN,36,95.7,95.06,74.58,114.85,40.26,9.39,5.56,19.17,1,0.697,0.056,0.694,0.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,FOUNTAIN_3+,482,594,STATIC_HOLD,113,95.41,94.78,68.61,135.86,67.25,12.29,5.08,20.13,1,0.847,0.106,0.69,0.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,FOUNTAIN_3+,800,861,CASCADE,62,97.19,98.11,71.52,116.68,45.16,10.62,4.89,23.95,1,0.804,0.081,0.548,0.0,0.0
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,MIXED_3+,769,799,JUGGLING,31,102.14,102.31,84.1,127.23,43.13,10.35,4.8,15.39,1,0.792,0.0,0.419,0.0,0.0
