stem,phase_start,phase_end,pattern,gt_verdict,h12_conf,spec_conc,h43_rejects,h69_rejects,h74_rejects,h78_rejects,h71_rejects,h75_rejected,h78_stack_rejected,is_real,is_misclass
identical_balls_trick_000_018,263,312,MIXED_3+,JUGGLING,0.728,0.182,False,False,False,False,False,False,False,True,False
identical_balls_trick_000_018,411,450,MIXED_3+,JUGGLING,0.797,0.196,False,False,False,False,False,False,False,True,False
identical_balls_trick_000_018,549,578,MIXED_3+,JUGGLING,0.704,0.332,False,False,False,False,False,False,False,True,False
identical_balls_trick_000_018,631,669,FOUNTAIN_3+,FOUNTAIN,0.714,0.411,False,False,False,False,False,False,False,True,False
identical_balls_trick_000_018,685,716,CASCADE_3+,MANIPULATION,0.738,0.498,False,False,False,True,False,False,True,False,True
identical_balls_trick_000_018,890,936,FOUNTAIN_3+,OTHER_CROSSED_ARM,0.571,0.308,False,False,False,False,False,False,False,False,True
identical_balls_trick_000_018,977,1011,FOUNTAIN_3+,FOUNTAIN,0.565,0.326,False,False,False,True,False,False,True,True,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,2,71,MIXED_3+_UNCONFIRMED,STATIC_DEMO,0.333,0.075,False,False,True,False,True,True,True,False,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,114,255,MIXED_3+,JUGGLING_STARTUP,0.705,0.124,False,False,False,False,False,False,False,True,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,267,298,MIXED_3+,JUGGLING,0.679,0.175,False,False,True,False,False,True,True,True,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,308,338,MIXED_3+,JUGGLING,0.642,0.235,False,False,False,False,False,False,False,True,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,339,374,FOUNTAIN_3+,FOUNTAIN,0.646,0.164,False,False,False,False,False,False,False,True,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,375,410,MIXED_3+,JUGGLING,0.647,0.216,False,False,True,False,False,True,True,True,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,420,481,MIXED_3+,JUGGLING,0.651,0.165,False,False,False,False,False,False,False,True,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,482,594,FOUNTAIN_3+,STATIC_HOLD,0.653,0.14,False,True,True,False,False,True,True,False,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,595,643,MIXED_3+,JUGGLING,0.65,0.17,False,False,False,False,False,False,False,True,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,769,799,MIXED_3+,JUGGLING,0.655,0.214,False,False,False,True,False,False,True,True,False
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,800,861,FOUNTAIN_3+,CASCADE_REAL,0.651,0.088,False,True,True,False,False,True,True,False,True
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,862,899,MIXED_3+,JUGGLING,0.675,0.249,False,False,False,False,False,False,False,True,False
