from_tid,to_tid,edge_type,metadata,cost
17,23,HAND_TRANSITION,"tok_age=25,hand=right",1.000
52,54,HAND_TRANSITION,"tok_age=17,hand=right",1.000
53,60,HAND_TRANSITION,"tok_age=21,hand=right",1.000
68,71,HAND_TRANSITION,"tok_age=14,hand=right",1.000
72,73,HAND_TRANSITION,"tok_age=4,hand=right",1.000
70,74,HAND_TRANSITION,"tok_age=6,hand=left",1.000
3,9,AMBIGUOUS_HAND_TRANSITION,"tok_age=20,hand=left",1.500
11,14,AMBIGUOUS_HAND_TRANSITION,"tok_age=29,hand=right",1.500
54,59,AMBIGUOUS_HAND_TRANSITION,"tok_age=26,hand=right",1.500
59,63,AMBIGUOUS_HAND_TRANSITION,"tok_age=18,hand=right",1.500
5,6,BALLISTIC,err=2.49,2.624
50,55,BALLISTIC,err=1.23,2.662
19,20,BALLISTIC,err=1.52,2.776
21,22,BALLISTIC,err=1.82,2.791
43,45,BALLISTIC,err=0.48,2.924
28,29,BALLISTIC,err=0.59,2.929
60,64,BALLISTIC,err=2.65,2.933
45,46,BALLISTIC,err=1.03,2.951
39,47,BALLISTIC,err=1.36,2.968
40,41,BALLISTIC,err=2.42,3.021
51,52,BALLISTIC,err=4.27,3.113
31,36,BALLISTIC,err=1.29,3.164
38,39,BALLISTIC,err=1.39,3.170
35,37,BALLISTIC,err=1.65,3.183
23,25,BALLISTIC,err=8.10,3.205
25,27,BALLISTIC,err=9.11,3.255
67,70,BALLISTIC,err=7.11,3.256
29,34,BALLISTIC,err=3.49,3.275
30,33,BALLISTIC,err=4.17,3.308
41,43,BALLISTIC,err=1.25,3.362
37,40,BALLISTIC,err=0.85,3.542
62,66,BALLISTIC,err=15.55,3.677
64,68,BALLISTIC,err=21.73,3.687
