from_tid,to_tid,edge_type,metadata,cost
10,12,HAND_TRANSITION,"tok_age=17,hand=right",1.000
27,28,BALLISTIC,err=0.58,2.829
25,33,BALLISTIC,err=12.82,3.241
29,34,BALLISTIC,err=9.05,3.253
33,36,BALLISTIC,err=11.41,3.271
4,18,BALLISTIC,err=7.72,3.286
28,32,BALLISTIC,err=16.37,3.319
14,17,BALLISTIC,err=14.41,3.321
18,30,BALLISTIC,err=14.75,3.337
30,37,BALLISTIC,err=8.76,3.338
35,38,BALLISTIC,err=12.86,3.343
11,14,BALLISTIC,err=9.86,3.393
17,24,BALLISTIC,err=11.00,3.450
20,21,BALLISTIC,err=6.49,3.525
13,16,BALLISTIC,err=8.54,3.627
15,25,BALLISTIC,err=10.73,3.637
22,26,BALLISTIC,err=8.96,3.648
21,29,BALLISTIC,err=17.22,3.661
2,8,BALLISTIC,err=11.56,3.678
3,6,BALLISTIC,err=9.57,3.679
19,22,BALLISTIC,err=10.31,3.716
31,35,BALLISTIC,err=12.83,3.742
9,13,BALLISTIC,err=14.91,3.845
1,9,BALLISTIC,err=16.58,4.029
26,31,BALLISTIC,err=14.35,4.118
