chain_id,n_tracklets,first_frame,last_frame,tids
0,1,2,17,1
1,1,2,17,2
2,2,3,98,"3,9"
3,1,21,33,4
4,2,21,122,"5,6"
5,1,39,56,7
6,1,43,46,8
7,1,64,79,10
8,2,87,160,"11,14"
9,1,104,149,12
10,1,104,133,13
11,1,138,149,15
12,1,157,166,16
13,4,165,312,"17,23,25,27"
14,1,166,206,18
15,2,174,208,"19,20"
16,2,212,252,"21,22"
17,1,232,328,24
18,1,257,334,26
19,3,333,472,"28,29,34"
20,2,399,472,"30,33"
21,2,411,578,"31,36"
22,1,425,428,32
23,7,507,716,"35,37,40,41,43,45,46"
24,3,533,766,"38,39,47"
25,1,593,598,42
26,1,623,780,44
27,1,691,700,48
28,1,697,697,49
29,2,733,811,"50,55"
30,5,765,945,"51,52,54,59,63"
31,5,791,1074,"53,60,64,68,71"
32,1,814,829,56
33,1,839,880,57
34,1,855,856,58
35,1,883,885,61
36,2,885,965,"62,66"
37,1,956,970,65
38,3,968,1078,"67,70,74"
39,1,977,1011,69
40,2,1029,1060,"72,73"
41,1,1070,1077,75
42,1,1077,1077,76
