from_tid,to_tid,edge_type,metadata,cost,reclassify_reason
17,23,HAND_TRANSITION,"tok_age=25,hand=right",1.000,
52,54,HAND_TRANSITION,"tok_age=17,hand=right",1.000,
53,60,HAND_TRANSITION,"tok_age=21,hand=right",1.000,
68,71,HAND_TRANSITION,"tok_age=14,hand=right",1.000,
72,73,HAND_TRANSITION,"tok_age=4,hand=right",1.000,
70,74,HAND_TRANSITION,"tok_age=6,hand=left",1.000,
3,8,RECLASSIFIED_HAND_TRANSITION,err=18.31,1.000,src_catch_dist=106.2_slope=-23.59_side=left
5,6,RECLASSIFIED_HAND_TRANSITION,err=2.49,1.000,tgt_throw_dist=96.2_slope=21.41_side=right
22,27,RECLASSIFIED_HAND_TRANSITION,err=12.85,1.000,src_catch_dist=46.7_slope=-7.84_side=left
29,34,RECLASSIFIED_HAND_TRANSITION,err=3.49,1.000,src_catch_dist=47.5_slope=-5.14_side=left
35,37,RECLASSIFIED_HAND_TRANSITION,err=1.65,1.000,src_catch_dist=19.2_slope=-2.31_side=left
37,40,RECLASSIFIED_HAND_TRANSITION,err=0.85,1.000,tgt_throw_dist=94.0_slope=3.95_side=left
38,39,RECLASSIFIED_HAND_TRANSITION,err=1.39,1.000,tgt_throw_dist=62.7_slope=4.60_side=right
40,41,RECLASSIFIED_HAND_TRANSITION,err=2.42,1.000,src_catch_dist=63.0_slope=-1.39_side=right
43,45,RECLASSIFIED_HAND_TRANSITION,err=0.48,1.000,tgt_throw_dist=60.9_slope=1.72_side=right
45,46,RECLASSIFIED_HAND_TRANSITION,err=1.03,1.000,tgt_throw_dist=89.4_slope=2.31_side=left
62,66,RECLASSIFIED_HAND_TRANSITION,err=15.55,1.000,src_catch_dist=22.2_slope=-4.91_side=right
64,68,RECLASSIFIED_HAND_TRANSITION,err=21.73,1.000,tgt_throw_dist=36.2_slope=2.48_side=right
11,14,AMBIGUOUS_HAND_TRANSITION,"tok_age=29,hand=right",1.500,
54,59,AMBIGUOUS_HAND_TRANSITION,"tok_age=26,hand=right",1.500,
59,63,AMBIGUOUS_HAND_TRANSITION,"tok_age=18,hand=right",1.500,
50,55,BALLISTIC,err=1.23,2.662,
19,20,BALLISTIC,err=1.52,2.776,
21,22,BALLISTIC,err=1.82,2.791,
28,29,BALLISTIC,err=0.59,2.929,
60,64,BALLISTIC,err=2.65,2.933,
39,47,BALLISTIC,err=1.36,2.968,
51,52,BALLISTIC,err=4.27,3.113,
31,36,BALLISTIC,err=1.29,3.164,
23,25,BALLISTIC,err=8.10,3.205,
67,70,BALLISTIC,err=7.11,3.256,
30,33,BALLISTIC,err=4.17,3.308,
41,43,BALLISTIC,err=1.25,3.362,
