from_tid,to_tid,gap,reason
1,9,12,src_catch_dist=29.0_slope=-11.66_side=left
2,8,11,tgt_throw_dist=38.2_slope=11.38_side=right
3,6,12,tgt_throw_dist=5.6_slope=4.64_side=left
4,18,9,tgt_throw_dist=10.4_slope=6.06_side=right
9,13,11,tgt_throw_dist=18.7_slope=11.89_side=left
11,14,9,tgt_throw_dist=13.5_slope=10.76_side=right
13,16,12,tgt_throw_dist=21.7_slope=11.72_side=right
14,17,6,tgt_throw_dist=21.7_slope=11.31_side=left
15,25,11,src_catch_dist=6.6_slope=-2.08_side=left
16,21,14,tgt_throw_dist=35.3_slope=10.35_side=right
17,24,9,src_catch_dist=6.7_slope=-4.91_side=right
18,30,6,tgt_throw_dist=35.0_slope=13.25_side=right
19,22,12,tgt_throw_dist=34.5_slope=10.52_side=right
20,21,12,tgt_throw_dist=35.3_slope=10.35_side=right
21,29,8,tgt_throw_dist=32.9_slope=13.03_side=left
22,26,12,tgt_throw_dist=33.7_slope=12.32_side=right
23,24,13,tgt_throw_dist=13.9_slope=5.28_side=right
25,33,6,tgt_throw_dist=11.5_slope=10.32_side=left
26,31,14,tgt_throw_dist=50.2_slope=14.35_side=left
28,32,5,tgt_throw_dist=30.0_slope=14.13_side=right
29,34,8,tgt_throw_dist=4.5_slope=9.06_side=right
30,37,9,tgt_throw_dist=12.4_slope=10.98_side=right
31,35,11,tgt_throw_dist=23.3_slope=11.20_side=right
33,36,7,tgt_throw_dist=10.1_slope=10.38_side=right
35,38,7,tgt_throw_dist=16.8_slope=11.96_side=left
