from_tid,to_tid,edge_type,metadata,cost,reclassify_reason,v_reclassify_reason,h22_reason,h26_reason
17,23,HAND_TRANSITION,"tok_age=25,hand=right",1.000,,,,
52,54,HAND_TRANSITION,"tok_age=17,hand=right",1.000,,,,
53,60,HAND_TRANSITION,"tok_age=21,hand=right",1.000,,,,
68,71,HAND_TRANSITION,"tok_age=14,hand=right",1.000,,,,
72,73,HAND_TRANSITION,"tok_age=4,hand=right",1.000,,,,
70,74,HAND_TRANSITION,"tok_age=6,hand=left",1.000,,,,
3,8,RECLASSIFIED_HAND_TRANSITION,err=18.31,1.000,src_catch_dist=106.2_slope=-23.59_side=left,,,
5,6,RECLASSIFIED_HAND_TRANSITION,err=2.49,1.000,tgt_throw_dist=96.2_slope=21.41_side=right,,,
22,27,RECLASSIFIED_HAND_TRANSITION,err=12.85,1.000,src_catch_dist=46.7_slope=-7.84_side=left,,,
29,34,RECLASSIFIED_HAND_TRANSITION,err=3.49,1.000,src_catch_dist=47.5_slope=-5.14_side=left,,,
35,37,RECLASSIFIED_HAND_TRANSITION,err=1.65,1.000,src_catch_dist=19.2_slope=-2.31_side=left,,,
37,40,RECLASSIFIED_HAND_TRANSITION,err=0.85,1.000,tgt_throw_dist=94.0_slope=3.95_side=left,,,
38,39,RECLASSIFIED_HAND_TRANSITION,err=1.39,1.000,tgt_throw_dist=62.7_slope=4.60_side=right,,,
40,41,RECLASSIFIED_HAND_TRANSITION,err=2.42,1.000,src_catch_dist=63.0_slope=-1.39_side=right,,,
43,45,RECLASSIFIED_HAND_TRANSITION,err=0.48,1.000,tgt_throw_dist=60.9_slope=1.72_side=right,,,
45,46,RECLASSIFIED_HAND_TRANSITION,err=1.03,1.000,tgt_throw_dist=89.4_slope=2.31_side=left,,,
62,66,RECLASSIFIED_HAND_TRANSITION,err=15.55,1.000,src_catch_dist=22.2_slope=-4.91_side=right,,,
64,68,RECLASSIFIED_HAND_TRANSITION,err=21.73,1.000,tgt_throw_dist=36.2_slope=2.48_side=right,,,
39,47,V_RECLASSIFIED_HAND_TRANSITION,err=1.36,1.000,,v_shape_v_shallow_hand=left,,
51,52,V_RECLASSIFIED_HAND_TRANSITION,err=4.27,1.000,,v_shape_v_deep_hand=left,,
23,25,V_RECLASSIFIED_HAND_TRANSITION,err=8.10,1.000,,v_shape_v_deep_hand=right,,
30,33,V_RECLASSIFIED_HAND_TRANSITION,err=4.17,1.000,,v_shape_v_shallow_hand=left,,
7,10,H26_RECLASSIFIED_HAND_TRANSITION,h26_vshape=V_SHALLOW_h24=REAL_min_d=57.35,1.000,,,,H24 visually-confirmed REAL H20-KEPT-not-in-h7v2 (R->L hand-off)
59,61,H26_RECLASSIFIED_HAND_TRANSITION,h26_vshape=V_DEEP_h24=REAL_min_d=18.94,1.000,,,,"H24 visually-confirmed REAL H20-KEPT-not-in-h7v2 (R->L hand-off, V_DEEP)"
11,14,AMBIGUOUS_HAND_TRANSITION,"tok_age=29,hand=right",1.500,,,,
54,59,AMBIGUOUS_HAND_TRANSITION,"tok_age=26,hand=right",1.500,,,,
50,55,BALLISTIC,err=1.23,2.600,,,,
19,20,BALLISTIC,err=1.52,2.700,,,,
21,22,BALLISTIC,err=1.82,2.700,,,,
60,64,BALLISTIC,err=2.65,2.800,,,,
28,29,BALLISTIC,err=0.59,2.900,,,,
67,70,BALLISTIC,err=7.11,2.900,,,,
31,36,BALLISTIC,err=1.29,3.100,,,,
41,43,BALLISTIC,err=1.25,3.300,,,,
