from_tid,to_tid,edge_type,metadata,cost,reclassify_reason,v_reclassify_reason,h22_reason,h26_reason
10,12,HAND_TRANSITION,"tok_age=17,hand=right",1.000,,,,
1,9,RECLASSIFIED_HAND_TRANSITION,err=16.58,1.000,src_catch_dist=29.0_slope=-11.66_side=left,,,
2,8,RECLASSIFIED_HAND_TRANSITION,err=11.56,1.000,tgt_throw_dist=38.2_slope=11.38_side=right,,,
3,6,RECLASSIFIED_HAND_TRANSITION,err=9.57,1.000,tgt_throw_dist=5.6_slope=4.64_side=left,,,
4,18,RECLASSIFIED_HAND_TRANSITION,err=7.72,1.000,tgt_throw_dist=10.4_slope=6.06_side=right,,,
9,13,RECLASSIFIED_HAND_TRANSITION,err=14.91,1.000,tgt_throw_dist=18.7_slope=11.89_side=left,,,
11,14,RECLASSIFIED_HAND_TRANSITION,err=9.86,1.000,tgt_throw_dist=13.5_slope=10.76_side=right,,,
13,16,RECLASSIFIED_HAND_TRANSITION,err=8.54,1.000,tgt_throw_dist=21.7_slope=11.72_side=right,,,
14,17,RECLASSIFIED_HAND_TRANSITION,err=14.41,1.000,tgt_throw_dist=21.7_slope=11.31_side=left,,,
15,25,RECLASSIFIED_HAND_TRANSITION,err=10.73,1.000,src_catch_dist=6.6_slope=-2.08_side=left,,,
17,24,RECLASSIFIED_HAND_TRANSITION,err=11.00,1.000,src_catch_dist=6.7_slope=-4.91_side=right,,,
18,30,RECLASSIFIED_HAND_TRANSITION,err=14.75,1.000,tgt_throw_dist=35.0_slope=13.25_side=right,,,
19,22,RECLASSIFIED_HAND_TRANSITION,err=10.31,1.000,tgt_throw_dist=34.5_slope=10.52_side=right,,,
21,29,RECLASSIFIED_HAND_TRANSITION,err=17.22,1.000,tgt_throw_dist=32.9_slope=13.03_side=left,,,
22,26,RECLASSIFIED_HAND_TRANSITION,err=8.96,1.000,tgt_throw_dist=33.7_slope=12.32_side=right,,,
25,33,RECLASSIFIED_HAND_TRANSITION,err=12.82,1.000,tgt_throw_dist=11.5_slope=10.32_side=left,,,
26,31,RECLASSIFIED_HAND_TRANSITION,err=14.35,1.000,tgt_throw_dist=50.2_slope=14.35_side=left,,,
28,32,RECLASSIFIED_HAND_TRANSITION,err=16.37,1.000,tgt_throw_dist=30.0_slope=14.13_side=right,,,
29,34,RECLASSIFIED_HAND_TRANSITION,err=9.05,1.000,tgt_throw_dist=4.5_slope=9.06_side=right,,,
30,37,RECLASSIFIED_HAND_TRANSITION,err=8.76,1.000,tgt_throw_dist=12.4_slope=10.98_side=right,,,
31,35,RECLASSIFIED_HAND_TRANSITION,err=12.83,1.000,tgt_throw_dist=23.3_slope=11.20_side=right,,,
33,36,RECLASSIFIED_HAND_TRANSITION,err=11.41,1.000,tgt_throw_dist=10.1_slope=10.38_side=right,,,
35,38,RECLASSIFIED_HAND_TRANSITION,err=12.86,1.000,tgt_throw_dist=16.8_slope=11.96_side=left,,,
27,28,V_RECLASSIFIED_HAND_TRANSITION,err=0.58,1.000,,v_shape_v_deep_hand=left,,
20,21,H22_RECLASSIFIED_HAND_TRANSITION,h22_vshape=V_DEEP_min_d=5.3,1.0,,,veto: H20-KEPT min_d=5.3 overrides existing 16->21 (target start_dist=35.3),
