chain_id,n_tracklets,first_frame,last_frame,tids
0,1,2,17,1
1,1,2,17,2
2,2,3,46,"3,8"
3,1,21,33,4
4,3,21,149,"5,6,15"
5,1,39,56,7
6,1,51,98,9
7,1,64,79,10
8,2,87,160,"11,14"
9,1,104,149,12
10,1,104,133,13
11,1,157,166,16
12,3,165,255,"17,23,25"
13,1,166,206,18
14,2,174,208,"19,20"
15,3,212,312,"21,22,27"
16,1,232,328,24
17,1,257,334,26
18,3,333,472,"28,29,34"
19,2,399,472,"30,33"
20,2,411,578,"31,36"
21,1,425,428,32
22,7,507,716,"35,37,40,41,43,45,46"
23,3,533,766,"38,39,47"
24,1,593,598,42
25,1,623,780,44
26,1,691,700,48
27,1,697,697,49
28,2,733,811,"50,55"
29,4,765,880,"51,52,54,57"
30,5,791,1074,"53,60,64,68,71"
31,2,814,856,"56,58"
32,2,856,945,"59,63"
33,1,883,885,61
34,2,885,965,"62,66"
35,1,956,970,65
36,3,968,1078,"67,70,74"
37,1,977,1011,69
38,2,1029,1060,"72,73"
39,1,1070,1077,75
40,1,1077,1077,76
