src_tid,tgt_tid,verdict,reason,src_vy_pred,tgt_vy_pred,src_vy_at_tgt,discontinuity,src_arc_n_pts,tgt_arc_n_pts,src_g,tgt_g,gap_frames,fit_residual_src,fit_residual_tgt
41,43,OK,,-0.77,-0.48,3.23,3.7,23,6,-0.025,0.034,8,0.23,0.0
50,55,INSUFFICIENT,no arcs,,,,,,,,,,,
21,22,OK,,-12.13,-18.24,-10.63,7.61,6,36,2.684,1.803,3,6.73,107.4
23,25,VIOLATING,,1.46,18.77,2.96,15.8,9,14,-0.069,-0.524,3,0.49,18.44
40,41,OK,,0.45,-0.21,2.45,2.66,39,23,0.107,-0.025,4,0.54,0.23
45,46,OK,,4.5,9.21,7.5,1.71,43,43,0.113,-0.228,6,0.39,63.73
30,33,OK,,6.72,7.79,9.72,1.93,57,17,0.104,-0.327,6,0.76,3.3
64,68,VIOLATING,,10.49,-45.83,10.99,56.82,26,49,-1.297,1.917,1,652.56,116.18
67,70,VIOLATING,,-34.5,39.79,-31.5,71.28,55,25,-1.184,-2.332,6,3684.65,528.22
43,45,OK,,-0.31,-0.23,2.19,2.42,6,43,0.034,0.113,5,0.0,0.39
5,6,VIOLATING,,-8.9,0.4,-8.4,8.8,6,101,2.215,0.034,1,4.58,19032.97
51,52,VIOLATING,,-1.5,-11.27,1.0,12.27,6,11,0.178,0.413,5,0.03,1.64
60,64,VIOLATING,,-22.95,42.9,-21.45,64.36,82,26,-0.546,-1.297,3,19054.29,652.56
29,34,VIOLATING,,10.2,3.2,13.2,10.0,75,6,0.118,-0.225,6,5.97,0.05
39,47,OK,,6.81,11.22,9.81,1.41,135,85,0.124,-0.196,6,10.53,97.76
19,20,VIOLATING,,-0.14,15.98,0.86,15.12,27,12,1.517,0.197,2,59.58,9.08
28,29,OK,,1.37,1.46,3.37,1.91,55,75,0.134,0.118,4,2.2,5.97
25,27,VIOLATING,,11.95,-5.61,15.45,21.06,14,55,-0.524,-0.091,7,18.44,111.68
35,37,OK,,-3.17,-2.66,-0.17,2.49,21,6,-0.11,0.191,6,0.55,0.03
38,39,VIOLATING,,-3.4,-9.75,0.1,9.85,6,135,0.368,0.124,7,0.13,10.53
31,36,OK,,2.63,4.61,6.63,2.02,115,49,0.112,0.114,8,12.28,2.27
37,40,OK,,-1.7,-3.63,3.8,7.42,6,39,0.191,0.107,11,0.03,0.54
62,66,VIOLATING,,11.81,2.44,13.81,11.37,69,11,0.234,-0.513,4,5221.59,0.68
