src_tid,tgt_tid,verdict,reason,src_vy_pred,tgt_vy_pred,src_vy_at_tgt,discontinuity,src_arc_n_pts,tgt_arc_n_pts,src_g,tgt_g,gap_frames,fit_residual_src,fit_residual_tgt
33,36,VIOLATING,,17.42,-8.71,20.92,29.63,64,75,0.492,0.294,7,137.41,1852.57
22,26,VIOLATING,,1.21,-11.15,5.71,16.85,138,65,0.011,0.432,9,8270.93,249.18
4,18,OK,,-0.09,-0.02,2.91,2.93,413,292,-0.001,0.001,6,8899.22,9014.5
31,35,VIOLATING,,17.81,-11.55,21.81,33.36,62,65,0.476,0.442,8,120.24,300.15
11,14,VIOLATING,,15.7,-9.79,18.7,28.49,56,72,0.389,0.358,6,244.25,992.01
17,24,VIOLATING,,-0.67,-17.22,3.33,20.55,203,66,-0.007,0.528,8,8113.91,76.27
27,28,INSUFFICIENT,no arcs,,,,,,,,,,,
1,9,OK,,-4.64,-1.86,0.36,2.22,104,145,-0.092,0.028,10,6334.65,8841.71
2,8,VIOLATING,,17.82,0.06,21.82,21.76,74,347,0.459,0.0,8,289.08,8729.23
35,38,VIOLATING,,16.76,-15.44,19.26,34.7,65,29,0.442,0.613,5,300.15,1.26
3,6,VIOLATING,,11.99,-15.88,15.49,31.37,26,67,0.141,0.513,7,21.41,61.11
29,34,VIOLATING,,17.27,-0.12,19.77,19.89,64,129,0.451,0.004,5,286.18,6913.47
9,13,VIOLATING,,2.15,-11.74,6.15,17.89,145,62,0.028,0.468,8,8841.71,164.16
13,16,VIOLATING,,16.8,-0.06,22.3,22.36,62,133,0.468,0.008,11,164.16,7601.49
28,32,VIOLATING,,12.74,-0.44,13.24,13.67,65,139,0.25,0.019,1,1139.15,7645.58
15,25,OK,,-0.44,-1.06,3.56,4.62,270,147,-0.004,0.021,8,8598.41,9181.13
25,33,VIOLATING,,1.99,-13.58,3.49,17.07,147,64,0.021,0.492,3,9181.13,137.41
18,30,OK,,0.27,-0.02,2.27,2.29,292,134,0.001,0.01,4,9014.5,7266.54
20,21,VIOLATING,,7.36,-0.32,11.86,12.18,8,215,0.128,0.005,9,1.72,8842.73
26,31,VIOLATING,,16.52,-11.21,22.02,33.23,65,62,0.432,0.476,11,249.18,120.24
21,29,VIOLATING,,0.85,-11.12,3.35,14.47,215,64,0.005,0.451,5,8842.73,286.18
14,17,VIOLATING,,15.63,0.72,16.63,15.91,72,203,0.358,-0.007,2,992.01,8113.91
19,22,VIOLATING,,15.79,-0.28,20.29,20.57,57,138,0.404,0.011,9,239.56,8270.93
30,37,VIOLATING,,1.35,-15.7,4.35,20.04,134,44,0.01,0.565,6,7266.54,4.86
