src_tid,tgt_tid,verdict,reason,src_vy_pred,tgt_vy_pred,src_vy_at_tgt,discontinuity,src_arc_n_pts,tgt_arc_n_pts,src_g,tgt_g,gap_frames,fit_residual_src,fit_residual_tgt
5,6,INSUFFICIENT,no arcs,,,,,,,,,,,
50,55,INSUFFICIENT,no arcs,,,,,,,,,,,
19,20,VIOLATING,,-0.14,15.98,0.86,15.12,27,12,1.517,0.197,2,59.58,9.08
21,22,INSUFFICIENT,no arcs,,,,,,,,,,,
43,45,INSUFFICIENT,no arcs,,,,,,,,,,,
28,29,OK,,-0.0,1.46,2.0,0.54,6,75,0.0,0.118,4,0.0,5.97
60,64,VIOLATING,,-6.56,42.9,-5.06,47.96,41,26,0.588,-1.297,3,2170.8,652.56
45,46,OK,,4.53,5.77,6.53,0.76,40,27,0.103,0.057,4,0.57,2.03
39,47,OK,,7.66,9.37,9.66,0.29,58,59,0.139,-0.131,4,1.58,13.25
40,41,OK,,0.45,-0.21,2.45,2.66,39,23,0.107,-0.025,4,0.54,0.23
51,52,INSUFFICIENT,no arcs,,,,,,,,,,,
31,36,OK,,3.12,4.61,6.12,1.51,28,49,0.117,0.114,6,1.05,2.27
38,39,INSUFFICIENT,no arcs,,,,,,,,,,,
35,37,INSUFFICIENT,no arcs,,,,,,,,,,,
23,25,VIOLATING,,1.46,18.77,2.96,15.8,9,14,-0.069,-0.524,3,0.49,18.44
25,27,VIOLATING,,11.95,-5.61,15.45,21.06,14,55,-0.524,-0.091,7,18.44,111.68
67,70,VIOLATING,,-3.67,21.59,-1.67,23.27,31,16,0.958,0.138,4,536.08,32.15
29,34,INSUFFICIENT,no arcs,,,,,,,,,,,
30,33,OK,,6.72,7.79,9.72,1.93,57,17,0.104,-0.327,6,0.76,3.3
41,43,INSUFFICIENT,no arcs,,,,,,,,,,,
37,40,INSUFFICIENT,no arcs,,,,,,,,,,,
62,66,VIOLATING,,-12.91,1.77,-10.91,12.67,14,13,-0.761,-0.356,4,20.48,1.33
64,68,VIOLATING,,10.49,-43.72,10.99,54.7,26,24,-1.297,1.727,1,652.56,59.16
