event_id,video,stem,frame,time_seconds,hand,event_type,tid,point_x,point_y,wrist_x,wrist_y,dist,slope,pre_depth,pool_depth,identity_ambiguous,notes
1,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,27,0.9,right,UNMATCHED_EXIT,6,558.72,398.13,,,96.15,21.405,0,0,False,throw-side exit; hand was empty
2,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,31,1.0333,left,ENTRY,3,696.95,376.79,727.49,483.96,106.16,-23.593,0,1,False,token 1 created
3,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,33,1.1,right,ENTRY,4,477.9,422.75,486.21,480.34,55.99,-11.963,0,1,False,token 1 created
4,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,39,1.3,right,EXIT,7,397.72,458.07,486.21,480.34,66.22,2.155,1,0,False,consumed token 1 from 4
5,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,46,1.5333,left,ENTRY,8,736.11,573.44,741.24,507.19,50.3,-7.109,1,2,True,token 2 created
6,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,51,1.7,left,AMBIGUOUS_POOL_EXIT,9,730.88,446.01,727.49,483.96,31.19,24.337,2,1,True,consumed token 1 from 3
7,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,56,1.8667,left,ENTRY,7,734.99,425.14,747.13,481.19,50.14,-15.984,1,2,True,token 3 created
8,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,64,2.1333,left,AMBIGUOUS_POOL_EXIT,10,864.11,512.87,741.24,507.19,71.95,3.336,2,1,True,consumed token 2 from 8
9,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,87,2.9,right,UNMATCHED_EXIT,11,442.27,472.1,,,29.53,9.281,0,0,False,throw-side exit; hand was empty
10,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,97,3.2333,right,ENTRY,11,437.86,478.53,498.18,493.96,48.43,-4.97,0,1,False,token 2 created
11,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,98,3.2667,left,ENTRY,9,724.02,511.52,744.02,504.51,13.75,-12.895,1,2,True,token 4 created
12,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,122,4.0667,right,ENTRY,6,582.32,574.92,544.66,525.18,47.25,-4.299,1,2,True,token 3 created
13,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,126,4.2,right,AMBIGUOUS_POOL_EXIT,14,577.04,447.59,498.18,493.96,51.55,21.752,2,1,True,consumed token 2 from 11
14,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,133,4.4333,right,ENTRY,13,552.31,436.33,514.24,476.71,45.03,-10.308,1,2,True,token 4 created
15,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,138,4.6,right,AMBIGUOUS_POOL_EXIT,15,525.7,491.18,544.66,525.18,15.21,3.787,2,1,True,consumed token 3 from 6
16,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,149,4.9667,left,ENTRY,12,784.27,560.34,754.74,531.09,34.62,-8.075,2,3,True,token 5 created
17,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,149,4.9667,right,ENTRY,15,582.57,560.96,551.98,515.82,38.27,-6.45,1,2,True,token 5 created
18,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,160,5.3333,right,ENTRY,14,508.33,447.41,561.08,435.45,52.69,-16.652,2,3,True,token 6 created
19,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,206,6.8667,left,ENTRY,18,740.9,559.9,712.34,520.81,32.77,-6.107,3,4,True,token 6 created
20,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,207,6.9,right,ENTRY,17,609.49,525.47,581.54,511.4,20.95,-3.951,3,4,True,token 7 created
21,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,232,7.7333,right,AMBIGUOUS_POOL_EXIT,23,602.1,366.07,514.24,476.71,52.43,8.04,4,3,True,consumed token 4 from 13
22,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,252,8.4,left,ENTRY,22,564.53,453.72,633.38,458.77,46.69,-7.838,4,5,True,token 7 created
23,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,328,10.9333,right,ENTRY,24,575.4,373.23,633.29,395.59,60.58,-5.049,3,4,True,token 8 created
24,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,399,13.3,right,AMBIGUOUS_POOL_EXIT,30,663.23,263.13,551.98,515.82,93.82,2.652,4,3,True,consumed token 5 from 15
25,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,460,15.3333,left,ENTRY,29,667.24,396.66,663.61,447.3,47.51,-5.136,5,6,True,token 8 created
26,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,472,15.7333,right,ENTRY,33,709.66,577.75,658.41,577.56,51.09,-1.349,3,4,True,token 9 created
27,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,522,17.4,left,ENTRY,35,726.16,520.57,714.48,500.37,19.16,-2.308,6,7,True,token 9 created
28,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,545,18.1667,right,AMBIGUOUS_POOL_EXIT,39,614.79,400.37,561.08,435.45,62.73,4.596,4,3,True,consumed token 6 from 14
29,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,549,18.3,left,AMBIGUOUS_POOL_EXIT,40,687.75,406.55,747.13,481.19,93.97,3.947,7,6,True,consumed token 3 from 7
30,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,582,19.4,right,ENTRY,40,628.51,344.77,583.96,392.23,62.99,-1.392,3,4,True,token 10 created
31,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,631,21.0333,right,AMBIGUOUS_POOL_EXIT,45,619.27,313.04,581.54,511.4,60.86,1.718,4,3,True,consumed token 7 from 17
32,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,679,22.6333,left,AMBIGUOUS_POOL_EXIT,46,607.69,430.31,744.02,504.51,89.36,2.313,6,5,True,consumed token 4 from 9
33,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,733,24.4333,right,AMBIGUOUS_POOL_EXIT,50,561.77,653.32,633.29,395.59,50.3,1.404,3,2,True,consumed token 8 from 24
34,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,780,26.0,left,ENTRY,44,446.91,615.32,501.71,604.29,32.2,-7.436,5,6,True,token 10 created
35,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,780,26.0,right,ENTRY,52,571.05,387.19,524.36,429.3,40.48,-12.177,2,3,True,token 11 created
36,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,797,26.5667,right,AMBIGUOUS_POOL_EXIT,54,587.97,340.15,658.41,577.56,39.11,11.996,3,2,True,consumed token 9 from 33
37,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,829,27.6333,left,ENTRY,56,683.25,531.65,665.54,530.39,7.01,-12.578,6,7,True,token 11 created
38,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,830,27.6667,right,ENTRY,54,577.04,519.18,557.85,524.03,9.61,-8.958,2,3,True,token 12 created
39,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,839,27.9667,right,ENTRY,53,512.25,447.01,570.7,415.57,56.97,-24.622,3,4,True,token 13 created
40,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,856,28.5333,right,AMBIGUOUS_POOL_EXIT,59,662.0,342.84,583.96,392.23,80.19,12.576,4,3,True,consumed token 10 from 40
41,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,860,28.6667,right,AMBIGUOUS_POOL_EXIT,60,449.53,393.32,524.36,429.3,46.85,25.59,3,2,True,consumed token 11 from 52
42,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,872,29.0667,right,ENTRY,59,668.97,601.23,625.59,616.8,46.08,-6.071,2,3,True,token 14 created
43,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,885,29.5,left,AMBIGUOUS_POOL_EXIT,62,679.26,543.8,754.74,531.09,1.78,16.915,7,6,True,consumed token 5 from 12
44,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,885,29.5,right,ENTRY,61,604.91,595.62,588.91,556.54,8.21,-11.556,3,4,True,token 15 created
45,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,890,29.6667,right,AMBIGUOUS_POOL_EXIT,63,587.24,414.1,557.85,524.03,37.24,21.359,4,3,True,consumed token 12 from 54
46,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,948,31.6,right,ENTRY,62,580.74,556.39,549.55,565.81,22.19,-4.908,3,4,True,token 16 created
47,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,956,31.8667,left,AMBIGUOUS_POOL_EXIT,65,723.63,456.86,712.34,520.81,98.22,23.082,6,5,True,consumed token 6 from 18
48,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,965,32.1667,left,ENTRY,66,737.58,507.48,711.05,540.36,32.65,-2.895,5,6,True,token 12 created
49,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,970,32.3333,right,AMBIGUOUS_POOL_EXIT,68,561.28,668.72,570.7,415.57,36.23,2.482,4,3,True,consumed token 13 from 53
50,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,1015,33.8333,right,ENTRY,68,507.24,577.97,498.52,568.4,12.16,-22.004,3,4,True,token 17 created
51,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,1029,34.3,left,AMBIGUOUS_POOL_EXIT,72,704.74,473.73,633.38,458.77,16.95,21.582,6,5,True,consumed token 7 from 22
52,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,1029,34.3,right,AMBIGUOUS_POOL_EXIT,71,521.6,541.8,625.59,616.8,18.59,18.081,4,3,True,consumed token 14 from 59
53,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,1050,35.0,left,ENTRY,70,714.97,555.48,719.74,509.89,33.94,-11.775,5,6,True,token 13 created
54,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,1050,35.0,right,ENTRY,72,413.3,497.31,482.24,506.57,53.17,-7.877,3,4,True,token 18 created
55,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,1054,35.1333,right,AMBIGUOUS_POOL_EXIT,73,539.59,461.23,588.91,556.54,51.71,2.062,4,3,True,consumed token 15 from 61
56,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,1056,35.2,left,AMBIGUOUS_POOL_EXIT,74,709.98,385.55,663.61,447.3,101.84,20.34,6,5,True,consumed token 8 from 29
57,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,1060,35.3333,left,ENTRY,73,749.49,453.62,744.84,488.52,34.05,-12.761,5,6,True,token 14 created
58,videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,1077,35.9,left,ENTRY,75,774.32,456.73,747.6,490.98,33.64,-6.155,6,7,True,token 15 created
