video,stem,frame,time_seconds,left_depth,right_depth,left_tokens,right_tokens,left_token_tids,right_token_tids
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,27,0.9,0,0,,,,
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,30,1.0,0,0,,,,
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,31,1.0333,1,0,1,,3,
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,33,1.1,1,1,1,1,3,4
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,39,1.3,1,1,1,1,3,4
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,40,1.3333,1,1,1,1,3,4
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,46,1.5333,2,1,1;2,1,3;8,4
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,50,1.6667,2,1,1;2,1,3;8,4
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,51,1.7,2,1,1;2,1,3;8,4
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,56,1.8667,3,1,1;2;3,1,3;8;7,4
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,60,2.0,3,1,1;2;3,1,3;8;7,4
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,64,2.1333,3,1,1;2;3,1,3;8;7,4
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,70,2.3333,3,1,1;2;3,1,3;8;7,4
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,80,2.6667,3,1,1;2;3,1,3;8;7,4
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,87,2.9,3,1,1;2;3,1,3;8;7,4
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,90,3.0,3,1,1;2;3,1,3;8;7,4
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,97,3.2333,2,1,2;3,2,8;7,11
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,98,3.2667,3,1,2;3;4,2,8;7;9,11
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,100,3.3333,3,1,2;3;4,2,8;7;9,11
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,110,3.6667,2,1,3;4,2,7;9,11
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,120,4.0,1,1,4,2,9,11
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,122,4.0667,1,2,4,2;3,9,11;6
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,126,4.2,1,2,4,2;3,9,11;6
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,130,4.3333,1,2,4,2;3,9,11;6
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,133,4.4333,1,3,4,2;3;4,9,11;6;13
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,138,4.6,1,3,4,2;3;4,9,11;6;13
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,140,4.6667,1,3,4,2;3;4,9,11;6;13
