video,stem,from_tid,to_tid,hand,from_frame,to_frame,from_dist,to_dist,from_slope,to_slope,identity_ambiguous,kind
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,4,7,right,33,39,55.99,66.22,-11.963,2.155,False,EXIT
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,3,9,left,31,51,106.16,31.19,-23.593,24.337,True,AMBIGUOUS_POOL_EXIT
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,8,10,left,46,64,50.3,71.95,-7.109,3.336,True,AMBIGUOUS_POOL_EXIT
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,11,14,right,97,126,48.43,51.55,-4.97,21.752,True,AMBIGUOUS_POOL_EXIT
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,6,15,right,122,138,47.25,15.21,-4.299,3.787,True,AMBIGUOUS_POOL_EXIT
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,13,23,right,133,232,45.03,52.43,-10.308,8.04,True,AMBIGUOUS_POOL_EXIT
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,15,30,right,149,399,38.27,93.82,-6.45,2.652,True,AMBIGUOUS_POOL_EXIT
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,14,39,right,160,545,52.69,62.73,-16.652,4.596,True,AMBIGUOUS_POOL_EXIT
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,7,40,left,56,549,50.14,93.97,-15.984,3.947,True,AMBIGUOUS_POOL_EXIT
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,17,45,right,207,631,20.95,60.86,-3.951,1.718,True,AMBIGUOUS_POOL_EXIT
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,9,46,left,98,679,13.75,89.36,-12.895,2.313,True,AMBIGUOUS_POOL_EXIT
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,24,50,right,328,733,60.58,50.3,-5.049,1.404,True,AMBIGUOUS_POOL_EXIT
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,33,54,right,472,797,51.09,39.11,-1.349,11.996,True,AMBIGUOUS_POOL_EXIT
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,40,59,right,582,856,62.99,80.19,-1.392,12.576,True,AMBIGUOUS_POOL_EXIT
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,52,60,right,780,860,40.48,46.85,-12.177,25.59,True,AMBIGUOUS_POOL_EXIT
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,12,62,left,149,885,34.62,1.78,-8.075,16.915,True,AMBIGUOUS_POOL_EXIT
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,54,63,right,830,890,9.61,37.24,-8.958,21.359,True,AMBIGUOUS_POOL_EXIT
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,18,65,left,206,956,32.77,98.22,-6.107,23.082,True,AMBIGUOUS_POOL_EXIT
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,53,68,right,839,970,56.97,36.23,-24.622,2.482,True,AMBIGUOUS_POOL_EXIT
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,22,72,left,252,1029,46.69,16.95,-7.838,21.582,True,AMBIGUOUS_POOL_EXIT
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,59,71,right,872,1029,46.08,18.59,-6.071,18.081,True,AMBIGUOUS_POOL_EXIT
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,61,73,right,885,1054,8.21,51.71,-11.556,2.062,True,AMBIGUOUS_POOL_EXIT
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,29,74,left,460,1056,47.51,101.84,-5.136,20.34,True,AMBIGUOUS_POOL_EXIT
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,12,right,238,255,2.24,48.63,-4.846,12.164,False,EXIT
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,1,13,left,102,267,28.96,18.7,-11.657,11.889,False,EXIT
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,17,24,right,582,591,6.74,13.87,-4.906,5.28,False,EXIT
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,15,25,left,595,606,6.63,4.99,-2.076,8.773,False,EXIT
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,24,29,left,653,701,3.01,32.85,-4.323,13.031,False,EXIT
