video,stem,from_tid,to_tid,hand,from_frame,to_frame,from_dist,to_dist,from_slope,to_slope,identity_ambiguous,kind,tok_age_frames
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,3,9,left,31,51,106.16,31.19,-23.593,24.337,True,AMBIGUOUS_POOL_EXIT,20
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,11,14,right,97,126,48.43,51.55,-4.97,21.752,True,AMBIGUOUS_POOL_EXIT,29
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,17,23,right,207,232,20.95,52.43,-3.951,8.04,False,EXIT,25
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,35,40,left,522,549,19.16,93.97,-2.308,3.947,False,EXIT,27
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,52,54,right,780,797,40.48,39.11,-12.177,11.996,False,EXIT,17
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,54,59,right,830,856,9.61,80.19,-8.958,12.576,True,AMBIGUOUS_POOL_EXIT,26
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,53,60,right,839,860,56.97,46.85,-24.622,25.59,False,EXIT,21
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,59,63,right,872,890,46.08,37.24,-6.071,21.359,True,AMBIGUOUS_POOL_EXIT,18
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,68,71,right,1015,1029,12.16,18.59,-22.004,18.081,False,EXIT,14
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,72,73,right,1050,1054,53.17,51.71,-7.877,2.062,False,EXIT,4
videos/identical_balls_trick_000_018.mp4,identical_balls_trick_000_018,70,74,left,1050,1056,33.94,101.84,-11.775,20.34,False,EXIT,6
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,10,12,right,238,255,2.24,48.63,-4.846,12.164,False,EXIT,17
videos/youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090,15,25,left,595,606,6.63,4.99,-2.076,8.773,False,EXIT,11
