candidate_merge,cs_chain_id,cs_first_tid,cs_first_frame,cs_quality,event_chain_id,event,event_tid,event_frame,frame_diff,hand,h3_confirmed
chain3->chain2,3,4,21,0.4286,2,CATCH,9,41,20,left,True
chain3->chain2,3,4,21,0.4286,2,THROW,9,41,20,left,True
chain4->chain2,4,5,21,0.549,2,CATCH,9,41,20,left,True
chain4->chain2,4,5,21,0.549,2,THROW,9,41,20,left,True
chain5->chain2,5,7,39,0.4286,2,CATCH,9,41,2,left,True
chain5->chain2,5,7,39,0.4286,2,THROW,9,41,2,left,True
chain6->chain2,6,8,43,0.4286,2,CATCH,9,41,-2,left,True
chain6->chain2,6,8,43,0.4286,2,THROW,9,41,-2,left,True
chain7->chain2,7,10,64,0.4286,2,CATCH,9,41,-23,left,True
chain7->chain2,7,10,64,0.4286,2,THROW,9,41,-23,left,True
chain9->chain8,9,12,104,0.4286,8,CATCH,14,111,7,right,True
chain9->chain8,9,12,104,0.4286,8,THROW,14,111,7,right,True
chain10->chain8,10,13,104,0.4286,8,CATCH,14,111,7,right,True
chain10->chain8,10,13,104,0.4286,8,THROW,14,111,7,right,True
chain11->chain8,11,15,138,0.4286,8,CATCH,14,111,-27,right,True
chain11->chain8,11,15,138,0.4286,8,THROW,14,111,-27,right,True
chain31->chain30,31,53,791,0.4866,30,CATCH,54,788,-3,right,False
chain31->chain30,31,53,791,0.4866,30,THROW,54,788,-3,right,False
chain32->chain30,32,56,814,0.4286,30,CATCH,54,788,-26,right,False
chain32->chain30,32,56,814,0.4286,30,THROW,54,788,-26,right,False
chain32->chain30,32,56,814,0.4286,30,CATCH,59,843,29,right,True
chain32->chain30,32,56,814,0.4286,30,THROW,59,843,29,right,True
chain33->chain30,33,57,839,0.4286,30,CATCH,59,843,4,right,True
chain33->chain30,33,57,839,0.4286,30,THROW,59,843,4,right,True
chain33->chain31,33,57,839,0.4286,31,CATCH,60,849,10,right,True
chain33->chain31,33,57,839,0.4286,31,THROW,60,849,10,right,True
chain34->chain30,34,58,855,0.4286,30,CATCH,59,843,-12,right,True
chain34->chain30,34,58,855,0.4286,30,THROW,59,843,-12,right,True
chain34->chain30,34,58,855,0.4286,30,CATCH,63,881,26,right,True
chain34->chain30,34,58,855,0.4286,30,THROW,63,881,26,right,True
chain34->chain31,34,58,855,0.4286,31,CATCH,60,849,-6,right,True
chain34->chain31,34,58,855,0.4286,31,THROW,60,849,-6,right,True
chain35->chain30,35,61,883,0.4286,30,CATCH,63,881,-2,right,True
chain35->chain30,35,61,883,0.4286,30,THROW,63,881,-2,right,True
chain36->chain30,36,62,885,0.9436,30,CATCH,63,881,-4,right,True
chain36->chain30,36,62,885,0.9436,30,THROW,63,881,-4,right,True
chain40->chain31,40,72,1029,0.6625,31,CATCH,71,1022,-7,right,False
chain40->chain31,40,72,1029,0.6625,31,THROW,71,1022,-7,right,False
chain41->chain40,41,75,1070,0.4286,40,CATCH,73,1052,-18,right,False
chain41->chain40,41,75,1070,0.4286,40,THROW,73,1052,-18,right,False
chain42->chain40,42,76,1077,0.4286,40,CATCH,73,1052,-25,right,False
chain42->chain40,42,76,1077,0.4286,40,THROW,73,1052,-25,right,False
