frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence
2,2,0,0,2,0.962,TWO_BALL,0.962
3,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42
4,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42
5,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42
6,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42
7,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42
8,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42
9,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42
10,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42
11,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42
12,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42
13,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42
14,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42
15,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42
16,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42
17,3,0,0,3,0.841,MIXED_3+_UNCONFIRMED,0.42
18,1,0,0,1,0.598,SINGLE_BALL,0.598
19,1,0,0,1,0.598,SINGLE_BALL,0.598
20,1,0,0,1,0.598,SINGLE_BALL,0.598
21,3,0,0,3,0.755,MIXED_3+_UNCONFIRMED,0.378
22,3,0,1,3,0.755,MIXED_3+_UNCONFIRMED,0.453
23,2,0,1,3,0.755,MIXED_3+_UNCONFIRMED,0.453
24,2,0,1,3,0.755,MIXED_3+_UNCONFIRMED,0.453
25,2,0,1,3,0.755,MIXED_3+_UNCONFIRMED,0.453
26,2,0,1,3,0.755,MIXED_3+_UNCONFIRMED,0.453
27,3,0,1,3,0.755,MIXED_3+_UNCONFIRMED,0.453
28,3,0,0,3,0.755,MIXED_3+_UNCONFIRMED,0.378
29,3,0,0,3,0.755,MIXED_3+_UNCONFIRMED,0.378
30,3,0,0,3,0.755,MIXED_3+_UNCONFIRMED,0.378
31,3,1,0,3,0.755,CASCADE_3+,0.755
32,2,0,0,2,0.834,TWO_BALL,0.834
33,2,0,0,2,0.834,TWO_BALL,0.834
34,1,0,0,1,0.668,SINGLE_BALL,0.668
35,1,0,0,1,0.668,SINGLE_BALL,0.668
36,1,0,0,1,0.668,SINGLE_BALL,0.668
37,1,0,0,1,0.668,SINGLE_BALL,0.668
38,1,0,0,1,0.668,SINGLE_BALL,0.668
39,2,0,0,2,0.654,TWO_BALL,0.654
40,2,0,0,2,0.654,TWO_BALL,0.654
41,2,0,0,2,0.654,TWO_BALL,0.654
42,2,0,0,2,0.654,TWO_BALL,0.654
43,3,1,0,3,0.635,MIXED_3+,0.635
44,3,0,0,3,0.635,MIXED_3+,0.635
45,3,0,0,3,0.635,MIXED_3+,0.635
46,3,0,0,3,0.635,MIXED_3+,0.635
47,2,0,0,2,0.654,TWO_BALL,0.654
48,2,0,0,2,0.654,TWO_BALL,0.654
49,2,0,0,2,0.654,TWO_BALL,0.654
50,2,0,0,2,0.654,TWO_BALL,0.654
51,3,0,0,3,0.757,MIXED_3+,0.757
52,3,0,0,3,0.757,MIXED_3+,0.757
53,3,0,0,3,0.757,MIXED_3+,0.757
54,3,0,0,3,0.757,MIXED_3+,0.757
55,3,0,0,3,0.757,MIXED_3+,0.757
56,3,0,0,3,0.757,CASCADE_3+,0.757
57,2,0,0,2,0.816,TWO_BALL,0.816
58,2,0,0,2,0.816,TWO_BALL,0.816
59,2,0,0,2,0.816,TWO_BALL,0.816
60,2,0,0,2,0.816,TWO_BALL,0.816
61,2,0,0,2,0.816,TWO_BALL,0.816
62,2,0,0,2,0.816,TWO_BALL,0.816
63,2,0,0,2,0.816,TWO_BALL,0.816
64,3,0,0,3,0.757,MIXED_3+,0.757
65,3,0,0,3,0.757,MIXED_3+,0.757
66,3,0,0,3,0.757,MIXED_3+,0.757
67,3,0,0,3,0.757,MIXED_3+,0.757
68,3,0,0,3,0.757,MIXED_3+,0.757
69,3,0,0,3,0.757,MIXED_3+,0.757
70,3,0,0,3,0.757,MIXED_3+,0.757
71,3,0,0,3,0.757,MIXED_3+,0.757
72,3,0,0,3,0.757,MIXED_3+,0.757
73,3,0,0,3,0.757,MIXED_3+,0.757
74,3,0,0,3,0.757,MIXED_3+,0.757
75,3,0,0,3,0.757,MIXED_3+,0.757
76,3,0,0,3,0.757,MIXED_3+,0.757
77,3,0,0,3,0.757,MIXED_3+,0.757
78,3,0,0,3,0.757,MIXED_3+,0.757
79,3,0,0,3,0.757,MIXED_3+,0.757
80,2,0,0,2,0.816,TWO_BALL,0.816
81,2,0,0,2,0.816,TWO_BALL,0.816
82,2,0,0,2,0.816,TWO_BALL,0.816
83,2,0,0,2,0.816,TWO_BALL,0.816
84,2,0,0,2,0.816,TWO_BALL,0.816
85,2,0,0,2,0.816,TWO_BALL,0.816
