frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence
2,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
3,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
4,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
5,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
6,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
7,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
8,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
9,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
10,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
11,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
12,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
13,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
14,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
15,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
16,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
17,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
18,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
19,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
20,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
21,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
22,5,1,0,5,0.665,MIXED_3+_UNCONFIRMED,0.399
23,4,0,0,4,0.687,MIXED_3+_UNCONFIRMED,0.344
24,4,0,0,4,0.687,MIXED_3+_UNCONFIRMED,0.344
25,4,0,0,4,0.687,MIXED_3+_UNCONFIRMED,0.344
26,4,0,0,4,0.687,MIXED_3+_UNCONFIRMED,0.344
27,4,0,0,4,0.687,MIXED_3+_UNCONFIRMED,0.344
28,4,0,0,4,0.687,MIXED_3+_UNCONFIRMED,0.344
29,4,0,0,4,0.687,MIXED_3+_UNCONFIRMED,0.344
30,4,0,0,4,0.687,MIXED_3+_UNCONFIRMED,0.344
31,4,0,0,4,0.687,MIXED_3+_UNCONFIRMED,0.344
32,4,0,0,4,0.687,MIXED_3+_UNCONFIRMED,0.344
33,4,0,0,4,0.687,MIXED_3+_UNCONFIRMED,0.344
34,5,1,0,5,0.665,MIXED_3+_UNCONFIRMED,0.399
35,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
36,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
37,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
38,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
39,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
40,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
41,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
42,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
43,5,0,0,5,0.665,MIXED_3+_UNCONFIRMED,0.333
