frame,n_in_air,n_in_hand_left,n_in_hand_right,n_total,avg_quality,pattern,confidence,n_window_events,same_hand_run,unique_hands,alternation_score,catch_rate_hz
2,2,0,0,2,0.962,TWO_BALL,0.962,0,0,0,0.0,0.0
3,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.42,0,0,0,0.0,0.0
4,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.42,0,0,0,0.0,0.0
5,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.42,0,0,0,0.0,0.0
6,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.42,0,0,0,0.0,0.0
7,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.42,0,0,0,0.0,0.0
8,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.42,0,0,0,0.0,0.0
9,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.42,0,0,0,0.0,0.0
10,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.42,0,0,0,0.0,0.0
11,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.42,0,0,0,0.0,0.0
12,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.42,0,0,0,0.0,0.0
13,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.42,0,0,0,0.0,0.0
14,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.42,0,0,0,0.0,0.0
15,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.42,0,0,0,0.0,0.0
16,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.42,0,0,0,0.0,0.0
17,3,0,0,3,0.84,MIXED_3+_UNCONFIRMED,0.42,0,0,0,0.0,0.0
18,1,0,0,1,0.598,SINGLE_BALL,0.598,0,0,0,0.0,0.0
19,1,0,0,1,0.598,SINGLE_BALL,0.598,0,0,0,0.0,0.0
20,1,0,0,1,0.598,SINGLE_BALL,0.598,0,0,0,0.0,0.0
21,3,0,0,3,0.755,MIXED_3+_UNCONFIRMED,0.378,0,0,0,0.0,0.0
22,3,0,0,3,0.755,MIXED_3+_UNCONFIRMED,0.378,1,0,1,0.0,0.0
23,2,0,0,2,0.799,TWO_BALL,0.799,1,0,1,0.0,0.0
24,2,0,0,2,0.799,TWO_BALL,0.799,1,0,1,0.0,0.0
25,2,0,0,2,0.799,TWO_BALL,0.799,1,0,1,0.0,0.0
26,2,0,0,2,0.799,TWO_BALL,0.799,1,0,1,0.0,0.0
27,3,0,0,3,0.755,MIXED_3+_UNCONFIRMED,0.378,2,1,1,0.0,0.0
